	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.0	0.1517252	0.0	0.0	0.0	0.0	0.0	3.1404093e-24	0.0012162471	0.0
segsize2	1.6915638e-07	0.13302705	0.0	6.769612e-15	0.0	0.0	0.0	0.0	0.0020612823	0.0032194187
segsize3	1.1645229e-23	0.1622276	0.0	0.019230083	0.0	0.0	0.0	0.0	0.0020097182	0.021207066
segsize4	3.3176875e-05	0.14364417	0.0	0.05935145	0.0	0.0	1.9059725e-36	0.030997511	4.332381e-20	0.06535224
segsize5	1.26e-43	0.016807072	0.0	0.046298184	3.9849062e-25	0.0	0.0	0.056840036	0.0	0.058069758
segsize6	3.4716345e-22	8.5196e-41	0.0	0.03527259	0.0	0.0	0.0	0.06799973	0.0	0.04928879
segsize7	0.0011741169	0.0	0.0	0.018349413	0.0	0.0	0.0	0.07140649	0.008949382	0.03453803
segsize8	0.00074211607	0.0	0.0	0.0059115016	0.0	0.0	0.0	0.043907	0.012153355	0.014578509
segsize9	0.00024535158	0.0	0.0	0.00046220844	0.0	0.0	0.0	0.025572242	0.010031701	0.006839366
segsize10	0.00021845827	0.0	0.0	0.0017790823	0.0	0.0	0.0	0.03482236	0.019381968	0.0073727393
segsize11	0.0	0.0	0.0	0.0038020299	0.0	0.0	0.0	0.03043525	0.025739009	0.006948304
segsize12	0.0	0.0	0.0	0.0054990803	0.0	0.0	0.0	0.019743059	0.029459149	0.005672413
segsize13	0.00063868245	0.0	0.0	0.005279388	0.0	0.0	0.0	0.01030518	0.022504432	0.0026028387
segsize14	0.00091876206	0.0	0.0	0.0044522276	0.0	0.0	0.0	0.0044182404	0.015341055	0.00012909483
segsize15	0.0025721348	0.0	0.0	0.012654537	0.0	3.1087732e-24	3.8203728e-13	0.0018289395	0.023685552	5.537289e-36
segsize16	0.0018263741	0.0	0.0	0.0060619763	1.1091e-41	0.07830763	0.0	1.4959836e-13	0.010408997	7.570633e-29
segsize17	0.0027215304	0.0	0.0	0.003958659	0.005895497	0.097532816	0.0	0.0	0.014969421	0.0
segsize18	0.002049816	0.0	0.0	0.0017622851	0.0042754435	0.074831285	0.0	0.0	0.007455475	0.0
segsize19	0.001519255	0.0	0.0	1.7073953e-18	0.0027862133	0.10561702	0.0	0.0	0.0060623763	0.0
segsize20	0.0010863969	0.0	0.0	0.0	0.0	0.11688106	0.0	0.0	0.0020263914	0.0
segsize21	0.0029168446	0.0	0.0	0.0	0.0	0.18822333	0.0	0.0	0.0034114881	0.0
segsize22	0.0033734343	0.0	0.0	0.0	0.0	0.3386069	0.0	0.0	0.0	0.0
changepoint1	0.0071278284	0.013254	0.0	0.0063800993	0.0	0.0	0.3727122	1.5759056e-35	0.0057410193	5.7462467e-36
changepoint2	0.0017800344	0.0	0.0	0.0	0.0	0.0	0.6272822	0.025123848	0.019931182	0.0045797536
changepoint3	0.005691232	4e-45	0.0	0.0	0.0	0.0	0.0	1.6198224e-20	0.055966243	0.30278283
changepoint4	0.004109347	3.1775022e-21	0.0	0.14493436	0.0	0.0	0.0	0.004921388	0.040141135	0.15784284
changepoint5	0.0009567272	0.00022506027	0.0	0.44930714	0.0	0.0	0.0	1.5855647e-09	0.019271404	0.0032983045
changepoint6	0.0	0.0	0.0	0.05245486	0.25914687	0.0	0.0	0.0040725973	0.0014519738	0.0
changepoint7	0.0	0.0	0.0	0.01441712	0.26904532	0.0	0.0	0.00021987128	3.2654418e-07	0.0
changepoint8	0.0	0.0001573216	0.0	0.014305065	0.23798849	0.0	0.0	0.001398751	0.00019083884	0.0
changepoint9	1.2334811e-05	0.0003100131	0.09958805	0.0042114044	0.16811055	0.0	0.0	0.0013864656	4.998031e-05	2.7555997e-20
changepoint10	3.3817398e-07	0.00022342292	0.8966685	0.0012042793	0.050495494	0.0	0.0	0.00066551985	0.0	6.584275e-14
bp10MB1	0.60200095	8.9757286e-18	0.0	5.0019383e-34	0.0	0.0	0.0	0.00050775585	0.21192198	0.024483046
bp10MB2	0.23401828	5.391e-42	0.0	2.083634e-22	0.0	0.0	0.0	0.07960065	0.23525093	0.08306759
bp10MB3	0.0033898908	0.071384236	0.0	0.049748905	0.0	0.0	0.0	0.056283638	0.017477116	0.07486565
bpchrarm1	0.076654345	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bpchrarm2	0.040001996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.040081374	0.0
bpchrarm3	0.0011189095	0.02022862	0.0	0.006879644	0.0	0.0	0.0	0.0071973656	0.030047636	0.025716746
bpchrarm4	0.0	0.0075909426	0.0	0.0010610059	0.0	0.0	0.0	0.015486044	0.0	0.0054260916
bpchrarm5	0.0	0.0052730995	0.0037434674	0.0	0.0022561923	0.0	0.0	0.0	0.0	0.0
osCN1	0.0011012093	0.18969458	0.0	0.0	0.0	0.0	0.0	0.32906008	0.08475581	0.0
osCN2	0.0	0.08075111	0.0	0.02183259	0.0	0.0	0.0	0.07580002	0.020854082	0.03502671
osCN3	0.0	0.003476493	0.0	0.0031388784	0.0	0.0	5.6845956e-06	0.0	0.0	0.007091942
