	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.0	3.4346177e-18	0.0028569624	0.0	0.0	0.00021281565	0.0	0.0	0.0	0.18182252
segsize2	0.0	0.0008912511	1.7649551e-27	0.0	0.0	0.0063910373	0.005012528	0.0	0.0	0.15002687
segsize3	0.0	0.0010989268	0.0	0.0	0.0	0.02867627	0.024488077	0.0	0.0	0.17338747
segsize4	0.0	0.0	0.028005306	0.0	0.0016623336	0.08030469	0.060156014	0.0	0.021061497	0.12559189
segsize5	0.0	0.0	0.05107273	0.0	0.0	0.06848214	0.04288459	0.0	0.02053679	6.99418e-06
segsize6	0.00014090924	8.2928695e-26	0.06438975	0.0	0.0	0.053601727	0.030646611	0.0	0.0	0.0
segsize7	0.0013922408	0.009142939	0.06867561	0.0	0.0	0.03450651	0.013669461	0.0	0.0	0.0
segsize8	0.0008051108	0.012175078	0.042629443	0.0	0.0	0.013009269	0.0038135112	0.0	0.0	0.0
segsize9	0.00029295732	0.009912533	0.025203647	0.0	0.0	0.004993574	5.1423935e-06	0.0	0.0	0.0
segsize10	0.0002134624	0.019429242	0.034566645	0.0	0.0	0.0040713167	0.0012098985	0.0	0.0	0.0
segsize11	0.0	0.02565057	0.030702543	0.0	0.0	0.002777615	0.003946213	0.0	0.0	0.0
segsize12	0.0	0.029678343	0.021071859	0.0	0.0	7.10608e-08	0.0066121467	0.0	0.0	0.0
segsize13	0.0005298311	0.022577941	0.010547547	0.0	0.0	1.3319246e-09	0.0069340654	0.0	0.0	0.0
segsize14	0.00074387464	0.015233076	0.003629665	0.0	0.0	0.0	0.006346783	0.0	0.0	0.0
segsize15	0.002067487	0.022862675	7.0747285e-18	0.0	0.009392658	0.0	0.015707836	0.0021022863	0.010245228	0.0
segsize16	0.0016459015	0.010064753	1.941e-42	0.0	0.0	0.0	0.005664612	0.08186335	0.003247199	0.0
segsize17	0.0024298916	0.01454944	0.0	0.0	0.0	0.0	0.00469845	0.100247905	0.010082991	0.0
segsize18	0.0017980732	0.0071841446	0.0	0.0	0.0	0.0	0.0023408786	0.078179896	0.0059595187	0.0
segsize19	0.0014952254	0.0055716946	0.0	0.0	0.0	0.0	0.0010343124	0.104699135	0.003931865	0.0
segsize20	0.0010357653	0.0019738078	0.0	0.0	0.0	0.0	5.182965e-18	0.11621809	0.0	0.0
segsize21	0.0027199683	0.0031084393	0.0	0.0	0.0	0.0	0.0	0.18877319	0.003187173	0.0
segsize22	0.0033174914	0.0	0.0	0.0	0.0	0.0	0.0	0.32791618	0.0	0.0
changepoint1	0.0071238796	0.0055566276	0.0	0.0	0.3736633	0.0	0.007867391	0.0	0.0	0.012348322
changepoint2	0.002065424	0.020542445	0.025658846	0.0	0.61527133	4.5273535e-16	0.0	0.0	0.0	0.0
changepoint3	0.0052741994	0.06570098	1.1387334e-35	0.0	0.0	0.31633413	0.0	0.0	0.0	0.0
changepoint4	0.003976312	0.04457147	0.0058259196	0.0	0.0	0.16417825	0.14081582	1.093044e-39	0.0	0.0
changepoint5	0.000803419	0.01784649	6.263566e-17	0.0	0.0	0.001977244	0.44553337	0.0	0.0	0.0
changepoint6	0.0	0.0010344678	0.0049488256	0.0	0.0	0.0	0.051777814	0.0	0.23995365	0.0
changepoint7	0.0	0.0	0.00054694276	0.0	0.0	0.0	0.01437961	0.0	0.2502852	0.0
changepoint8	7.536865e-07	0.00014983478	0.0017040526	0.0	0.0	1.5827492e-19	0.013868775	0.0	0.22227493	8.530597e-09
changepoint9	6.565967e-06	1.1384437e-21	0.0014602481	0.09429865	0.0	0.00019972642	0.004047044	0.0	0.15952483	1.0331889e-14
changepoint10	1.1757042e-21	0.0	0.00065786944	0.8954313	0.0	1.4788765e-18	0.0011397473	0.0	0.049709097	0.00017165455
bp10MB1	0.60332227	0.21075892	0.013998428	0.0	0.0	0.0018745932	1.0750818e-21	0.0	0.0	5e-44
bp10MB2	0.23432219	0.23756087	0.08883799	0.0	0.0	0.05762986	2.2763297e-17	0.0	0.0	0.0
bp10MB3	0.0035418775	0.017727125	0.05597234	0.0	0.0	0.08164769	0.049373783	0.0	0.0	0.06364495
bpchrarm1	0.076693915	5.822559e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bpchrarm2	0.040001284	0.03997842	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bpchrarm3	0.0010374318	0.030288888	0.008264988	0.0	0.0	0.02459808	0.009325526	0.0	0.0	0.019863974
bpchrarm4	0.0	0.0	0.014654128	0.0	0.0	0.0065672593	0.0007759339	0.0	0.0	0.004622999
bpchrarm5	0.0	0.0	0.0	0.010270107	0.0	0.0011305498	0.0	0.0	0.0	0.0024637566
osCN1	0.0012022782	0.07748991	0.31926316	0.0	0.0	0.0	0.0	0.0	0.0	0.18686879
osCN2	0.0	0.019688642	0.07485453	0.0	0.0	0.038715024	0.022607207	0.0	0.0	0.076231435
osCN3	0.0	0.0	0.0	0.0	1.033733e-05	0.008120614	0.003316795	0.0	0.0	0.0029483717
