	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012074597	0.12950028
segsize2	0.0	0.0	2.815344e-19	0.0	0.002892445	0.0	1.100416e-26	0.0	0.0021103881	0.113685355
segsize3	0.0	0.0	0.01693488	0.0	0.019756489	0.0	8.792738e-18	0.0	0.0019273405	0.14283942
segsize4	0.0	0.0	0.07102134	0.0	0.074306436	0.0	2.55458e-40	0.0	1.2571637e-07	0.15465987
segsize5	0.0	0.0	0.049452946	0.04518637	0.059320044	0.0	0.0	1.8360843e-05	0.0	0.032032866
segsize6	0.0	0.0	0.039263964	0.062400583	0.050966498	0.0	2.3037382e-26	1.6071338e-21	0.0	1.1861136e-22
segsize7	0.0	0.0	0.02246534	0.07126761	0.03624616	0.0	0.0012601161	0.0	0.007314976	0.0
segsize8	0.0	0.0	0.0075587295	0.046156935	0.015167871	0.0	0.0007682568	0.0	0.010911668	0.0
segsize9	0.0	0.0	0.0013291786	0.028251685	0.0069966842	0.0	0.00027052508	0.0	0.008921543	0.0
segsize10	0.0	0.0	0.002127211	0.03956583	0.0073533263	0.0	0.00023014499	0.0	0.018086918	0.0
segsize11	0.0	0.0	0.003944128	0.035656326	0.006743375	0.0	0.0	0.0	0.024260372	0.0
segsize12	0.0	0.0	0.0041454243	0.025938474	0.0044144043	0.0	0.0	0.0	0.02845475	0.0
segsize13	0.0	0.0	0.0042418162	0.013727415	0.0019260669	0.0	0.0006203046	0.0	0.022074556	0.0
segsize14	0.0	0.0	0.00390425	0.006326839	5.384198e-05	0.0	0.0008360055	0.0	0.015221296	0.0
segsize15	0.008883554	0.0	0.013377916	0.0025805444	0.0	2.9598793e-18	0.0022331732	0.0	0.02349533	0.0
segsize16	0.0	0.0	0.006385858	2.8960261e-05	0.0	0.077603325	0.001752614	8.698191e-06	0.010556119	0.0
segsize17	0.0	0.0	0.0051625986	0.0	0.0	0.08965939	0.0027042949	0.008300476	0.015473809	0.0
segsize18	0.0	0.0	0.0012402032	0.0	0.0	0.074528255	0.0019455757	0.0062295482	0.007903626	0.0
segsize19	0.0	0.0	0.00089151604	0.0	0.0	0.10371007	0.0014940464	0.0033747533	0.006300779	0.0
segsize20	0.0	0.0	1.9371521e-08	0.0	0.0	0.11770638	0.0010520677	0.0	0.0021974014	0.0
segsize21	0.0	0.0	0.0	0.0	0.0	0.19096237	0.002806349	0.0022418613	0.0036623748	0.0
segsize22	0.0	0.0	0.0	0.0	0.0	0.34583014	0.0034101761	0.0	0.0	0.0
changepoint1	0.37013763	0.0	0.0054777786	0.0	0.0	0.0	0.0070959204	0.0	0.0061815623	0.012739634
changepoint2	0.6209788	0.0	0.0	0.030345628	0.004291145	0.0	0.001954261	0.0	0.018643051	0.0
changepoint3	0.0	0.0	0.0	0.0	0.29244965	0.0	0.006113687	0.0	0.055672098	0.0
changepoint4	0.0	0.0	0.13825901	6.5665077e-15	0.15451151	0.0	0.0044336854	0.0	0.04016628	4.331e-41
changepoint5	0.0	0.0	0.42302725	1e-45	5.6211393e-05	0.0	0.0013177712	0.0	0.018679751	1.053279e-18
changepoint6	0.0	0.0	0.053623952	0.0039369855	0.0	0.0	0.0	0.25095257	0.0012209356	0.0
changepoint7	0.0	0.0	0.015565114	0.00021517514	0.0	0.0	0.0	0.2658951	3.4374994e-15	0.0
changepoint8	0.0	0.0	0.015127494	0.0011177348	2.080648e-09	0.0	1.6751844e-06	0.23727827	0.00017801048	0.00018481164
changepoint9	0.0	0.09680008	0.0047282176	0.0011133822	0.00016984543	0.0	3.6999443e-06	0.17129093	1.9055573e-05	0.00016818263
changepoint10	0.0	0.90070283	0.0013524229	0.0005493616	3.1283645e-12	0.0	3.116797e-07	0.052452788	0.0	0.00026089803
bp10MB1	0.0	0.0	2.6012783e-18	1.8038876e-10	0.031980447	0.0	0.6017776	0.0	0.2255448	4.1274084e-22
bp10MB2	0.0	0.0	2.418427e-22	0.09959062	0.080209136	0.0	0.23336636	0.0	0.23823151	0.0
bp10MB3	0.0	0.0	0.052074462	0.050066072	0.075483315	0.0	0.0034501795	0.0	0.016365327	0.071861476
bpchrarm1	0.0	0.0	0.0	0.0	0.0	0.0	0.077504806	0.0	0.0	0.0
bpchrarm2	0.0	0.0	0.0	0.0	0.0	0.0	0.039443493	0.0	0.04276798	0.0
bpchrarm3	0.0	0.0	0.00616247	0.009619291	0.025501482	0.0	0.0011009127	0.0	0.029423665	0.017168831
bpchrarm4	0.0	0.0	0.0021335497	0.014187567	0.005763063	0.0	0.0	0.0	0.0	0.0075570485
bpchrarm5	0.0	0.002497137	0.0	0.0	0.0	0.0	0.0	0.0019565863	0.0	0.005042177
osCN1	0.0	0.0	0.0	0.33859387	0.0	0.0	0.0010519633	0.0	0.07814066	0.2274737
osCN2	0.0	0.0	0.025871474	0.07357671	0.036655724	0.0	0.0	0.0	0.018684546	0.082207166
osCN3	0.0	0.0	0.0031495465	0.0	0.0067848335	0.0	0.0	0.0	0.0	0.0026182542
