	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.0	0.00045090576	0.16735841	0.0027275542	2.822004e-31	0.0	0.0	0.0	0.0	0.0
segsize2	0.0041655353	0.001177701	0.13920373	0.0	0.0057166615	0.0	0.0	0.0	0.0	0.0
segsize3	0.022616358	0.0015946028	0.16152705	0.0	0.026221482	0.0	4.1214363e-37	0.0	0.0	0.0
segsize4	0.06555713	0.0	0.111074604	0.0	0.085803024	0.0	0.0	0.032394145	0.082937054	0.0
segsize5	0.04624944	0.0	0.004640018	0.044960577	0.06875652	0.0	0.0	0.0	0.03978943	0.0
segsize6	0.032834798	0.002159096	0.0	0.06497048	0.050667513	0.0	0.000114609706	0.0	2.7638755e-10	0.0
segsize7	0.017726861	0.009000097	0.0	0.072627276	0.034396462	0.0	0.0013990029	0.0	0.0	0.0
segsize8	0.0062165805	0.01175258	0.0	0.045977157	0.013616982	0.0	0.0007960192	0.0	0.0	0.0
segsize9	0.0011407649	0.009502973	0.0	0.027566617	0.0056545613	0.0	0.00026899294	0.0	0.0	0.0
segsize10	0.0026633441	0.018521264	0.0	0.03815592	0.0053780824	0.0	0.00019807908	0.0	0.0	0.0
segsize11	0.0049649505	0.024736105	0.0	0.03402613	0.003935438	0.0	0.0	0.0	0.0	0.0
segsize12	0.0058311713	0.028613498	0.0	0.02393604	0.001722869	0.0	0.0	0.0	0.0	0.0
segsize13	0.006752692	0.022050057	0.0	0.011965535	0.0005419598	0.0	0.0005101468	0.0	0.0	0.0
segsize14	0.005235213	0.014893026	0.0	0.0049676737	1.62277e-39	0.0	0.0007713401	0.0	0.0	0.0
segsize15	0.013929482	0.022521183	0.0	3.0078988e-09	0.0	2.1457196e-05	0.002108771	0.010706933	0.011211681	0.0
segsize16	0.0044166343	0.010127374	0.0	0.0	0.0	0.08136239	0.0016332868	0.0	0.004611287	0.0
segsize17	0.0030134504	0.014666321	0.0	0.0	0.0	0.10095359	0.0023445552	0.0	0.012453338	0.0
segsize18	0.0009773115	0.007362012	0.0	0.0	0.0	0.07584801	0.001874102	0.0	0.0067114867	0.0
segsize19	0.00051822216	0.005702685	0.0	0.0	0.0	0.103155404	0.0014897295	0.0	0.0049094763	0.0
segsize20	4.0770518e-10	0.0021094116	0.0	0.0	0.0	0.116740085	0.00097528007	0.0	6.0379996e-32	0.0
segsize21	0.0	0.003216667	0.0	0.0	0.0	0.1879125	0.0027031726	0.0	0.0032071066	0.0
segsize22	0.0	0.0	0.0	0.0	0.0	0.33400655	0.0033285047	0.0	0.0	0.0
changepoint1	0.0061658104	0.006106471	0.012266542	0.0	0.0	0.0	0.0074076112	0.35647842	0.0	0.0
changepoint2	0.0	0.020171048	0.0	0.028370518	0.0010169066	0.0	0.002183939	0.6004131	0.0	0.0
changepoint3	0.0	0.06398804	0.0	0.0	0.29171896	0.0	0.006385003	0.0	0.0	0.0
changepoint4	0.13679068	0.044776086	0.0	3.9385585e-14	0.15538381	0.0	0.0046355035	0.0	0.0	0.0
changepoint5	0.43165863	0.018426467	0.0	0.0	1.912452e-12	0.0	0.0011726246	0.0	0.0	0.0
changepoint6	0.052221	0.0012908367	0.0	0.004228939	0.0	0.0	0.0	0.0	0.21286272	0.0
changepoint7	0.0156481	1.2486103e-06	0.0	0.000379264	0.0	0.0	0.0	0.0	0.21926022	0.0
changepoint8	0.014505646	0.00021119109	9.54986e-10	0.0012225154	1.7362127e-05	0.0	1.7494539e-06	0.0	0.19817635	0.0
changepoint9	0.004392167	2.4139963e-05	4.545837e-06	0.0011830911	0.00023564737	0.0	6.169191e-06	0.0	0.1486316	0.07631801
changepoint10	0.0011554022	1e-45	7.132686e-05	0.00047066007	7.8657205e-05	0.0	1.6720445e-21	0.0	0.0552383	0.91495836
bp10MB1	9.641933e-16	0.21481626	0.0	2.3431795e-10	0.024014376	0.0	0.6013834	0.0	0.0	0.0
bp10MB2	4.5472546e-18	0.23585641	0.0	0.09334801	0.06656753	0.0	0.23368731	0.0	0.0	0.0
bp10MB3	0.05123501	0.017959747	0.06656301	0.054372508	0.07887737	0.0	0.0036793328	0.0	0.0	0.0
bpchrarm1	0.0	0.0	0.0	0.0	0.0	0.0	0.07710908	0.0	0.0	0.0
bpchrarm2	0.0	0.040324282	0.0	0.0	0.0	0.0	0.03966061	0.0	0.0	0.0
bpchrarm3	0.009962408	0.02953918	0.015082807	0.008580441	0.024455536	0.0	0.0010943604	0.0	0.0	0.0
bpchrarm4	0.0017955157	0.0	0.0063083665	0.014712309	0.007014999	0.0	0.0	0.0	0.0	0.0
bpchrarm5	0.0	0.0	0.0024229304	0.0	0.0011332438	0.0	0.0	0.0	0.0	0.008723667
osCN1	0.0	0.0770233	0.22925316	0.34499204	0.0	0.0	0.0010776932	0.0	0.0	0.0
osCN2	0.026199114	0.019327708	0.081690796	0.076258816	0.039561648	0.0	0.0	0.0	0.0	0.0
osCN3	0.0034606615	0.0	0.0025327087	0.0	0.007512488	0.0	0.0	7.354165e-06	0.0	0.0
