	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.0	0.0	0.0	0.0	0.0	0.15478529	0.0010505584	0.0011279897	0.0	0.0
segsize2	0.0036470494	0.0	0.0	0.0	0.0029381732	0.13298331	0.0017525083	4e-45	0.0	0.0
segsize3	0.022489596	0.0	0.0	0.0	0.02112207	0.16200398	0.0018454214	0.0	0.0	0.0
segsize4	0.068283394	0.0	0.0	2.2780462e-14	0.05930371	0.14013964	2.3063124e-31	0.03210649	1.955047e-14	0.0
segsize5	0.06048131	1.0286934e-13	0.0	0.0	0.044568736	0.015034203	0.0	0.05761379	0.0	0.0
segsize6	0.05093927	8.168e-42	0.0	0.0	0.033348653	0.0	1.7257412e-10	0.06896496	7.6852205e-16	0.0
segsize7	0.035449058	0.0	0.0	0.0	0.01700902	0.0	0.009096533	0.072000355	0.0012179532	0.0
segsize8	0.014592405	0.0	0.0	0.0	0.0053561935	0.0	0.012396233	0.04393858	0.00075054454	0.0
segsize9	0.0065261764	0.0	0.0	0.0	0.0002148288	0.0	0.010114695	0.025638385	0.00029763428	0.0
segsize10	0.0070305592	0.0	0.0	0.0	0.0018721167	0.0	0.01972603	0.034597024	0.0002040475	0.0
segsize11	0.0063628163	0.0	0.0	0.0	0.005046608	0.0	0.025863932	0.029557254	0.0	0.0
segsize12	0.004247718	0.0	0.0	0.0	0.006292296	0.0	0.029759215	0.01943081	0.0	0.0
segsize13	0.0019838263	0.0	0.0	0.0	0.006432178	0.0	0.022725642	0.0093706865	0.00063549436	0.0
segsize14	3.7146003e-10	0.0	0.0	0.0	0.00539785	0.0	0.015235944	0.0040226416	0.00089103857	0.0
segsize15	0.0	0.0	0.0	0.0047615813	0.015181607	0.0	0.023199657	0.00023102401	0.0022577872	0.0062178336
segsize16	0.0	3.53013e-20	0.0	0.0	0.0057812827	0.0	0.0103229685	6.3141797e-38	0.0017513953	0.07989106
segsize17	0.0	0.003640745	0.0	0.0	0.0049720886	0.0	0.01459863	0.0	0.002590482	0.10063374
segsize18	0.0	0.0037051693	0.0	0.0	0.0018895806	0.0	0.00738007	0.0	0.0019370109	0.076898284
segsize19	0.0	0.00054132566	0.0	0.0	0.0018184735	0.0	0.0056476747	0.0	0.0015466486	0.10160556
segsize20	0.0	0.0	0.0	0.0	0.0	0.0	0.0019398709	0.0	0.0011029721	0.11649377
segsize21	0.0	0.001880992	0.0	0.0	0.0	0.0	0.0031810598	0.0	0.0027834733	0.18766855
segsize22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0033155081	0.3305912
changepoint1	0.0	0.0	0.0	0.3730478	0.0066975723	0.011953984	0.005587228	0.0	0.007193057	0.0
changepoint2	0.0031834801	0.0	0.0	0.62218493	0.0	0.0	0.020511374	0.024781534	0.0019626354	0.0
changepoint3	0.30506742	0.0	0.0	0.0	0.0	0.0	0.05848366	2.783192e-39	0.0056035053	0.0
changepoint4	0.15971658	0.0	0.0	0.0	0.14239517	0.0	0.040816996	0.0048498404	0.004046044	0.0
changepoint5	0.0037857199	0.0	0.0	0.0	0.44186118	4.5279043e-33	0.017766174	2.1697552e-24	0.000782973	0.0
changepoint6	0.0	0.2568208	0.0	0.0	0.05295943	0.0	0.0012987168	0.004450789	0.0	0.0
changepoint7	0.0	0.26986054	0.0	0.0	0.014516108	0.0	4.1844686e-07	0.00031340958	0.0	0.0
changepoint8	3.4476015e-35	0.23954259	0.0	0.0	0.014346194	0.00012023643	0.00017410533	0.0015334241	2.1070873e-06	0.0
changepoint9	0.00016243596	0.16984463	0.09997419	0.0	0.004273258	4.6072655e-05	2.4869578e-05	0.0014024902	5.8530795e-06	0.0
changepoint10	3.6869464e-05	0.051223524	0.8958401	0.0	0.0012148006	0.00015033915	2.2405905e-21	0.00064551027	1.6212864e-08	0.0
bp10MB1	0.018044269	0.0	0.0	0.0	4.420245e-19	8.04672e-32	0.21068259	0.0005026073	0.6022482	0.0
bp10MB2	0.077860385	0.0	0.0	0.0	1.2299773e-16	0.0	0.23568776	0.07804485	0.234416	0.0
bp10MB3	0.076309636	0.0	0.0	0.0	0.04899646	0.06974196	0.017629134	0.056756962	0.0034412455	0.0
bpchrarm1	0.0	0.0	0.0	0.0	0.0	0.0	1.334e-42	0.0	0.07645727	0.0
bpchrarm2	0.0	0.0	0.0	0.0	0.0	0.0	0.039452754	0.0	0.04021302	0.0
bpchrarm3	0.025050933	0.0	0.0	0.0	0.008226431	0.019015234	0.030498052	0.006196552	0.0010996292	0.0
bpchrarm4	0.005918315	0.0	0.0	0.0	0.00088873855	0.0070069414	0.0	0.015674606	0.0	0.0
bpchrarm5	0.0	0.0029397286	0.0041856305	0.0	0.0	0.0052838307	0.0	0.0	0.0	0.0
osCN1	0.0	0.0	0.0	0.0	0.0	0.1980143	0.08470234	0.328872	0.0012463994	0.0
osCN2	0.03546056	0.0	0.0	0.0	0.021846157	0.080520995	0.020847136	0.07737538	0.0	0.0
osCN3	0.0073703146	0.0	0.0	5.5825544e-06	0.003232958	0.003199677	0.0	0.0	0.0	0.0
