	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	5.6304656e-05	0.0	0.0	0.0	1.9252064e-05	0.0	8.722051e-24	0.002950305	0.17921768	0.0008767791
segsize2	0.0008835464	0.0	0.0	0.0	0.0	0.0	0.0052745026	2.4918845e-12	0.14722417	0.0073071737
segsize3	0.001096313	0.0	0.0	0.0	0.0	0.0	0.02505822	0.0	0.16962901	0.030106835
segsize4	0.0	0.0	5.0186094e-07	0.0	0.0	0.0	0.06209506	0.029393686	0.1314134	0.08203055
segsize5	0.0	0.0	0.0	0.019190604	0.0	0.0	0.042535648	0.050162937	0.0013537164	0.07090748
segsize6	0.0021319755	0.0	0.0	0.0	0.00012597561	0.0	0.026940964	0.062172294	0.0	0.05306948
segsize7	0.009140139	0.0	0.0	0.0	0.0014695036	0.0	0.011961545	0.068057075	0.0	0.035146397
segsize8	0.011924591	0.0	0.0	0.0	0.0007924394	0.0	0.0035067766	0.042424526	0.0	0.012827613
segsize9	0.0096962415	0.0	0.0	0.0	0.0002213035	0.0	1.8780975e-18	0.02512674	0.0	0.00469905
segsize10	0.018713567	0.0	0.0	0.0	9.306174e-05	0.0	0.0014210474	0.03466977	0.0	0.0036829172
segsize11	0.02453185	0.0	0.0	0.0	0.0	0.0	0.0038888354	0.031788863	0.0	0.0012442897
segsize12	0.028029341	0.0	0.0	0.0	0.0	0.0	0.006179011	0.021900462	0.0	0.0
segsize13	0.022275724	0.0	0.0	0.0	0.0	0.0	0.00899791	0.010082854	0.0	1.2533583e-36
segsize14	0.014727291	0.0	0.0	0.0	0.00050700124	0.0	0.007421687	0.0037099586	0.0	0.0
segsize15	0.02326349	0.0438362	0.005084282	0.0	0.0	0.0	0.013537578	0.001739179	0.0	0.0
segsize16	0.010062136	0.07793465	0.0	0.0	0.0008115366	0.0	0.0062841005	0.0	0.0	0.0
segsize17	0.015048477	0.12634231	0.0	0.01157916	0.0	0.0	0.0028605745	0.0	0.0	0.0
segsize18	0.007764831	0.096879505	0.0	0.0061302553	0.0	0.0	0.0007556881	0.0	0.0	0.0
segsize19	0.0061047836	0.108640075	0.0	0.0021877573	0.0	0.0	0.00065046357	0.0	0.0004947265	0.0
segsize20	0.00190174	0.101261035	0.0	0.0	0.00047400966	0.0	0.00024180909	0.0	0.0	0.0
segsize21	0.0034027651	0.16679354	0.0	0.0	0.0016991975	0.0	0.0	0.0	0.0	0.0
segsize22	0.0	0.27831262	0.0	0.0	0.002302597	0.0	0.0	0.0	0.0	0.0
changepoint1	0.0055765193	0.0	0.3734686	0.0	0.0071230014	0.0	0.0077109113	0.0	0.012736877	0.0
changepoint2	0.020120868	0.0	0.62143815	0.0	0.0015607943	0.0	0.0	0.025118964	0.0	2.2181426e-14
changepoint3	0.0662872	0.0	0.0	0.0	0.004482797	0.0	0.0	0.0	0.0	0.31769976
changepoint4	0.043956775	2.4e-44	0.0	0.0	0.003477487	0.0	0.14244847	0.006331959	0.0	0.16472606
changepoint5	0.017081648	0.0	0.0	0.0	0.00068718015	0.0	0.44768468	1.8247041e-24	0.0	8.8051996e-07
changepoint6	0.0007232713	0.0	0.0	0.24934979	0.0	0.0	0.052872103	0.005643702	0.0	0.0
changepoint7	0.0	0.0	0.0	0.26157835	0.0	0.0	0.014839027	0.00091688946	0.0	0.0
changepoint8	0.000115178176	0.0	0.0	0.23321038	2.1795418e-06	0.0	0.01438101	0.0019480219	9.0241346e-20	1.4066282e-35
changepoint9	8.794824e-13	0.0	0.0	0.16641438	8.262118e-06	0.09725495	0.0042655817	0.0016291136	3.576695e-21	0.00018651802
changepoint10	0.0	0.0	0.0	0.05035935	1.9555646e-06	0.89200693	0.0012090118	0.0006910442	8.650241e-05	3.1050902e-05
bp10MB1	0.21668342	0.0	0.0	0.0	0.6138423	0.0	1.5114757e-30	0.012191	0.0	2.2951859e-07
bp10MB2	0.23709178	0.0	0.0	0.0	0.2363538	0.0	7.890434e-35	0.0908983	0.0	0.054177884
bp10MB3	0.017812984	0.0	0.0	0.0	0.003443047	0.0	0.048089664	0.055178884	0.06549182	0.082372636
bpchrarm1	2.2235897e-06	0.0	0.0	0.0	0.07900573	0.0	0.0	0.0	0.0	0.0
bpchrarm2	0.040829267	0.0	0.0	0.0	0.0397689	0.0	0.0	0.0	0.0	0.0
bpchrarm3	0.029654248	0.0	0.0	0.0	0.00066799205	0.0	0.011789542	0.008339924	0.017941706	0.023658449
bpchrarm4	0.0	0.0	0.0	0.0	0.0	0.0	0.0001309208	0.01470302	0.0050592977	0.0071430807
bpchrarm5	0.0	0.0	0.0	0.0	0.0	0.010738159	0.0	0.0	0.0023111203	0.0011323848
osCN1	0.07457636	0.0	0.0	0.0	0.0010587177	0.0	0.0	0.31663486	0.18754347	0.0
osCN2	0.018733142	0.0	0.0	0.0	0.0	0.0	0.02177	0.07559563	0.07620511	0.03856079
osCN3	0.0	0.0	8.480952e-06	0.0	0.0	0.0	0.0031976805	0.0	0.0032914095	0.008411613
