	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.1487732	0.0	0.0	7.2478796e-17	0.0010430383	0.0	0.0	0.0	0.0	0.0
segsize2	0.12689668	0.0	0.0	0.0	0.0016270679	0.0033786409	0.0	0.0	0.0	0.0023912026
segsize3	0.15628171	0.0	0.0	0.0	0.0017525618	0.021685721	0.0	0.0	0.0	0.020136146
segsize4	0.13984902	3.44736e-25	0.0	0.031831082	7.905e-42	0.0668605	0.0	1.62899e-10	3.5456985e-10	0.058806345
segsize5	0.017375292	0.0	0.0	0.057120286	0.0	0.06055241	0.0	0.0	0.011286504	0.04401928
segsize6	0.0	5.9659193e-16	0.0	0.06950017	0.002297594	0.048691113	0.0	0.0	9.590162e-30	0.03145135
segsize7	0.0	0.0012509545	0.0	0.07383947	0.009806615	0.03485189	0.0	0.0	0.0	0.017013611
segsize8	0.0	0.00073692645	0.0	0.044831794	0.012723676	0.014764454	0.0	0.0	0.0	0.005966739
segsize9	0.0	0.0003116015	0.0	0.026254628	0.0101797525	0.0067241555	0.0	0.0	0.0	0.00046434585
segsize10	0.0	0.00023211788	0.0	0.03489769	0.01972374	0.007535854	0.0	0.0	0.0	0.0024642423
segsize11	0.0	5.4465726e-32	0.0	0.02995658	0.02580851	0.007209445	0.0	0.0	0.0	0.0055272155
segsize12	0.0	0.0	0.0	0.01913706	0.029709682	0.0053274874	0.0	0.0	0.0	0.007052963
segsize13	0.0	0.0006568575	0.0	0.009059782	0.022511166	0.0025197053	0.0	0.0	0.0	0.0069953497
segsize14	0.0	0.0009153347	0.0	0.0037262691	0.015206972	0.00026149445	0.0	0.0	0.0	0.0058817533
segsize15	0.0	0.002403108	0.0043603205	0.000523195	0.023160096	0.0	0.0	0.0030840847	4.5613556e-12	0.015050017
segsize16	0.0	0.001761297	0.07916799	0.0	0.010187188	0.0	0.0	0.0	3.3485448e-28	0.005881621
segsize17	0.0	0.0026406103	0.10007067	0.0	0.01458109	0.0	0.0	0.0	0.005998883	0.0039920276
segsize18	0.0	0.0019415698	0.077084206	0.0	0.007287567	0.0	0.0	0.0	0.0042429133	0.0017780627
segsize19	0.0	0.0015119077	0.10432315	0.0	0.0056261346	0.0	0.0	0.0	0.0015819463	0.0015103976
segsize20	0.0	0.000985536	0.11682924	0.0	0.0019279793	0.0	0.0	0.0	0.0	6.9476695e-11
segsize21	0.0	0.0027510424	0.18837696	0.0	0.0032020418	0.0	0.0	0.0	0.0015149927	0.0
segsize22	0.0	0.0033040184	0.32978746	0.0	0.0	0.0	0.0	0.0	0.0	0.0
changepoint1	0.011903672	0.0072223907	0.0	0.0	0.0056980993	0.0	0.0	0.3721948	0.0	0.0060541322
changepoint2	0.0	0.0018961474	0.0	0.023829123	0.020729467	0.0049587064	0.0	0.6247211	0.0	0.0
changepoint3	0.0	0.0057449834	0.0	0.0	0.058248766	0.29850286	0.0	0.0	0.0	0.0
changepoint4	0.0	0.004147495	0.0	0.0046286625	0.04045662	0.15746906	0.0	0.0	0.0	0.14331223
changepoint5	0.0009684037	0.00088387437	0.0	3.436879e-15	0.017287333	0.0065387203	0.0	0.0	0.0	0.44248047
changepoint6	0.0	0.0	0.0	0.005175376	0.0014167094	0.0	0.0	0.0	0.25268266	0.052196022
changepoint7	0.0	0.0	0.0	0.00039722398	8.4382805e-07	0.0	0.0	0.0	0.26406902	0.0150858145
changepoint8	0.00019791326	1.2660747e-06	0.0	0.001613366	0.00017877396	3.191066e-05	0.0	0.0	0.23491192	0.014513942
changepoint9	0.0001701628	5.6796207e-06	0.0	0.001467278	2.3562821e-05	0.00016101365	0.09532299	0.0	0.16900228	0.004318517
changepoint10	0.00021826873	1.3394104e-07	0.0	0.0007077027	0.0	2.3389799e-05	0.901505	0.0	0.05220607	0.001179876
bp10MB1	5.0380747e-33	0.60167664	0.0	9.5062575e-14	0.20731205	0.01963684	0.0	0.0	0.0	5.571501e-26
bp10MB2	0.0	0.23457132	0.0	0.07608531	0.23371285	0.08208639	0.0	0.0	0.0	8.7333154e-20
bp10MB3	0.07022486	0.0034088872	0.0	0.05711913	0.018219227	0.075164266	0.0	0.0	0.0	0.04930634
bpchrarm1	0.0	0.07637838	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bpchrarm2	0.0	0.04026333	0.0	0.0	0.03880389	0.0	0.0	0.0	0.0	0.0
bpchrarm3	0.018521855	0.0011624775	0.0	0.0049181026	0.029919486	0.02582323	0.0	0.0	0.0	0.009735631
bpchrarm4	0.007400201	0.0	0.0	0.01676407	0.0	0.005711516	0.0	0.0	0.0	0.0006558553
bpchrarm5	0.0051758224	0.0	0.0	0.0	0.0	0.0	0.003172059	0.0	0.0025028351	0.0
osCN1	0.21245264	0.0012339939	0.0	0.3297986	0.08807815	0.0	0.0	0.0	0.0	0.0
osCN2	0.08023127	0.0	0.0	0.07681796	0.02155177	0.03656604	0.0	0.0	0.0	0.02150357
osCN3	0.0033590829	0.0	0.0	0.0	0.0	0.0069633177	0.0	0.0	0.0	0.0032749656
