	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.0	0.0	0.0	0.0	0.0010506666	0.0	0.0	0.0	0.0	0.14969979
segsize2	0.0	0.0	0.0	0.0	0.0019390519	4.5842567e-34	0.0030267516	7.761338e-08	0.0	0.13169675
segsize3	0.0	0.0	0.0	0.0	0.0019877192	0.018692754	0.02157353	0.0	0.0	0.16025989
segsize4	7.901174e-27	0.031921547	0.0	9.577299e-13	1.366602e-39	0.05754794	0.06822433	0.000101456004	0.0	0.14146788
segsize5	0.0	0.056610305	0.0	0.012335995	0.0	0.043488663	0.062337548	0.0	0.0	0.01476409
segsize6	0.0	0.06882374	0.0	1.2489586e-20	0.0022061947	0.030661765	0.05021155	2.5506995e-13	0.0	0.0
segsize7	0.0	0.07278461	0.0	0.0	0.0098437965	0.01607682	0.03564995	0.0012804031	0.0	0.0
segsize8	0.0	0.0442553	0.0	0.0	0.01265006	0.0054204124	0.014937767	0.00077056047	0.0	0.0
segsize9	0.0	0.025982644	0.0	0.0	0.010135921	0.0005991193	0.0067097507	0.00029642167	0.0	0.0
segsize10	0.0	0.034583647	0.0	0.0	0.01974923	0.0026106648	0.0070839007	0.00023372509	0.0	0.0
segsize11	0.0	0.029908368	0.0	0.0	0.025995143	0.0055809817	0.00620422	0.0	0.0	0.0
segsize12	0.0	0.019520696	0.0	0.0	0.029492566	0.0078107626	0.004161876	0.0	0.0	0.0
segsize13	0.0	0.008923688	0.0	0.0	0.022540247	0.007773812	0.00196855	0.00064068084	0.0	0.0
segsize14	0.0	0.003995597	0.0	0.0	0.015153299	0.005368632	3.3898872e-05	0.00086121756	0.0	0.0
segsize15	0.0038459885	2.9493684e-12	0.006802851	0.0050839707	0.023047252	0.01490607	0.0	0.0022690722	0.0	0.0
segsize16	0.0	0.0	0.08021263	0.00064383255	0.010150449	0.0055461894	0.0	0.001715675	0.0	0.0
segsize17	0.0	0.0	0.09911024	0.0064824903	0.014383826	0.0050827353	0.0	0.0026059356	0.0	0.0
segsize18	0.0	0.0	0.077292375	0.004803871	0.0071627633	0.0017398053	0.0	0.001916663	0.0	0.0
segsize19	0.0	0.0	0.10549579	0.0020016814	0.0055520106	0.0016538816	0.0	0.0014600919	0.0	0.0
segsize20	0.0	0.0	0.11323039	0.0	0.0019115245	2.107414e-08	0.0	0.0011505326	0.0	0.0
segsize21	0.0	0.0	0.18821813	0.0020395454	0.0031892129	0.0	0.0	0.0026892407	0.0	0.0
segsize22	0.0	0.0	0.32963765	0.0	0.0	0.0	0.0	0.0032723648	0.0	0.0
changepoint1	0.37333658	0.0	0.0	0.0	0.005594301	0.00640983	0.0	0.0071775285	0.0	0.011894481
changepoint2	0.622812	0.024666194	0.0	0.0	0.020770514	0.0	0.0035517265	0.0018933506	0.0	0.0
changepoint3	0.0	0.0	0.0	0.0	0.05916595	0.0	0.30113465	0.0057994467	0.0	0.0
changepoint4	0.0	0.0049844286	0.0	0.0	0.040788237	0.14428465	0.15879503	0.004176365	0.0	0.0
changepoint5	0.0	1.5787049e-15	0.0	0.0	0.017013721	0.44805744	0.006865994	0.0007351793	0.0	0.00086987414
changepoint6	0.0	0.0055776257	0.0	0.2521209	0.0012732312	0.052467667	0.0	0.0	0.0	0.0
changepoint7	0.0	0.0008664887	0.0	0.26236725	5.441224e-08	0.01497832	0.0	0.0	0.0	0.0
changepoint8	0.0	0.0020096442	0.0	0.23415667	0.00014567752	0.014446914	7.160538e-05	3.291638e-07	0.0	9.627897e-05
changepoint9	0.0	0.0016937755	0.0	0.16688837	1.16036335e-05	0.0043087825	0.00020509314	5.4314746e-06	0.09777373	5.2360807e-05
changepoint10	0.0	0.00071111793	0.0	0.051075418	6.385951e-36	0.0012111121	5.7692658e-05	1.6663978e-06	0.8966198	0.00013044025
bp10MB1	0.0	4.3440525e-11	0.0	0.0	0.20762499	3.4042362e-29	0.01869905	0.60197467	0.0	2.5091277e-35
bp10MB2	0.0	0.07797945	0.0	0.0	0.23401539	1.4875303e-19	0.077678256	0.23449191	0.0	0.0
bp10MB3	0.0	0.056796756	0.0	0.0	0.018260043	0.04782012	0.07555925	0.0035099369	0.0	0.0713463
bpchrarm1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.076547325	0.0	0.0
bpchrarm2	0.0	0.0	0.0	0.0	0.0390151	0.0	0.0	0.039960977	0.0	0.0
bpchrarm3	0.0	0.004763296	0.0	0.0	0.029971778	0.0105864825	0.025715271	0.0010998338	0.0	0.019610243
bpchrarm4	0.0	0.016246805	0.0	0.0	0.0	0.00048384987	0.005955826	0.0	0.0	0.0075522647
bpchrarm5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0056065177	0.006491763
osCN1	0.0	0.32969198	0.0	0.0	0.08684215	0.0	0.0	0.0013619267	0.0	0.20100157
osCN2	0.0	0.07670236	0.0	0.0	0.021366347	0.02145851	0.036236905	0.0	0.0	0.07924677
osCN3	5.506077e-06	0.0	0.0	0.0	0.0	0.0029252442	0.007350076	0.0	0.0	0.0038191606
