	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.16640297	0.0	0.0	0.0	0.0	0.0	0.0	0.0020545337	0.0	0.0008910656
segsize2	0.14519563	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0054286206	0.0019572705
segsize3	0.17063151	0.0	0.0	0.0	0.0	0.0	0.02049103	0.0	0.026266076	0.0019424743
segsize4	0.13950238	4.210572e-25	7.6643e-41	0.00015180375	0.0	0.0	0.057300203	0.032307167	0.07504231	8.048e-42
segsize5	0.010640218	2.7022582e-09	0.0	3.0299138e-30	0.0	0.0	0.042634938	0.055879273	0.06530947	0.0
segsize6	0.0	0.0	0.0	0.00011175557	0.0	0.0	0.030773321	0.06644628	0.053373538	0.0
segsize7	0.0	0.0	0.0	0.0013365153	0.0	0.0	0.014049967	0.069928505	0.035204463	0.009130211
segsize8	0.0	0.0	0.0	0.0007368735	0.0	0.0	0.004473459	0.042757705	0.013748228	0.012278441
segsize9	0.0	0.0	0.0	0.00024917527	0.0	0.0	0.00024478108	0.025063504	0.0053334	0.01009958
segsize10	0.0	0.0	0.0	0.00011699995	0.0	0.0	0.0024242154	0.03368373	0.0050236844	0.019493092
segsize11	0.0	0.0	0.0	0.0	0.0	0.0	0.0045948233	0.030107379	0.0027160204	0.025810191
segsize12	0.0	0.0	0.0	0.0	0.0	0.0	0.006917212	0.020031648	0.00094301056	0.02937895
segsize13	0.0	0.0	0.0	0.000426606	0.0	0.0	0.0076301773	0.009502347	7.3885545e-05	0.02269156
segsize14	0.0	0.0	6.1235926e-11	0.0	0.010453713	0.0	0.006677618	0.003123173	0.00068510976	0.015684163
segsize15	0.0	0.0	7.711238e-26	0.0	0.055603538	0.0	0.011657587	0.0018342055	6.1098307e-20	0.024221133
segsize16	0.0	1.0799615e-17	0.0	0.0013643322	0.08071579	0.0	0.005655195	3.2243146e-38	0.0	0.009983596
segsize17	0.0	0.008004582	0.0	0.001976694	0.10145691	0.0	0.0041741855	0.0	0.0	0.014491876
segsize18	0.0	0.0030630967	0.0	0.001611145	0.074870355	0.0	0.0021326574	0.0	0.0	0.0072333897
segsize19	0.0	0.0016901887	0.0	0.0012044528	0.099005096	0.0	0.0015338279	0.0	0.0	0.0055604014
segsize20	0.0	0.0	0.0	0.00084153435	0.10800488	0.0	0.00022230032	0.0	0.0	0.0018483797
segsize21	0.0	1.2466438e-07	0.0	0.0024191884	0.17454055	0.0	8.242673e-37	0.0	0.0	0.0031776126
segsize22	0.0	0.0	0.0	0.0030806328	0.2953492	0.0	0.0	0.0	0.0	0.0
changepoint1	0.012983665	0.0	0.37469772	0.007139381	2.561756e-31	0.0	0.006913517	0.0	0.0	0.005609769
changepoint2	0.0	0.0	0.6252872	0.00170707	0.0	0.0	0.0	0.024702052	0.0010075179	0.020704923
changepoint3	0.0	0.0	0.0	0.0050397613	0.0	0.0	0.0	1.0586274e-21	0.32114813	0.06168748
changepoint4	0.0	0.0	0.0	0.0038440141	1.9550392e-36	0.0	0.14536934	0.005607341	0.16634826	0.041291222
changepoint5	0.0012590776	0.0	0.0	0.001014586	0.0	0.0	0.44977555	6.5032677e-09	1.3397478e-09	0.015965067
changepoint6	0.0	0.25735587	0.0	0.0	0.0	0.0	0.054920282	0.0063677668	0.0	0.0
changepoint7	0.0	0.26997346	0.0	0.0	0.0	0.0	0.015131497	0.00067415764	0.0	0.0
changepoint8	6.0330036e-05	0.23979206	0.0	3.1711857e-06	0.0	0.0	0.0146435145	0.0019813115	1.266851e-28	7.9090285e-05
changepoint9	2.7541878e-07	0.1696862	0.0	6.50729e-06	0.0	0.10013511	0.0043740273	0.0017211332	0.00017032988	4.786295e-15
changepoint10	0.00020060358	0.05043448	0.0	1.1235913e-06	0.0	0.89624965	0.0012168976	0.0007789548	0.0	0.0
bp10MB1	7.608742e-38	0.0	0.0	0.60772353	0.0	0.0	6.156546e-29	0.009429392	0.0010288082	0.21136831
bp10MB2	0.0	0.0	0.0	0.2352365	0.0	0.0	2.7263185e-16	0.081242114	0.06272296	0.23856062
bp10MB3	0.06835024	0.0	0.0	0.0034095247	0.0	0.0	0.0479268	0.056703255	0.08064193	0.017541803
bpchrarm1	0.0	0.0	0.0	0.07742802	0.0	0.0	0.0	1.0250675e-38	0.0	1.1147403e-15
bpchrarm2	0.0	0.0	0.0	0.04015755	0.0	0.0	0.0	0.0	0.0	0.03960207
bpchrarm3	0.017599346	0.0	0.0	0.0007915317	0.0	0.0	0.01206361	0.0062023792	0.025700623	0.030114243
bpchrarm4	0.0070222938	0.0	0.0	0.0	0.0	0.0	0.0	0.015163464	0.0063910536	0.0
bpchrarm5	0.0023009633	0.0	0.0	0.0	0.0	0.00361532	0.0	0.0012090154	0.0	0.0
osCN1	0.17693077	0.0	0.0	0.0008700106	0.0	0.0	0.0	0.3194825	0.0	0.08157077
osCN2	0.077400774	0.0	0.0	0.0	0.0	0.0	0.020968532	0.076015726	0.03771767	0.020031156
osCN3	0.0035189956	0.0	1.503238e-05	0.0	0.0	0.0	0.003109003	0.0	0.007974926	0.0
