	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.0	0.0	0.15364677	0.0	0.0	0.0	0.0	0.0	0.0	0.0006440177
segsize2	0.004290763	0.0	0.13224809	0.0	0.0	0.0	0.0	0.0	0.0	0.0014431913
segsize3	0.023641175	0.0	0.1580915	0.0	0.019882405	0.0	0.0	0.0	0.0	0.001478011
segsize4	0.06958562	0.033456992	0.13629334	2.0280058e-09	0.05881281	0.0	0.0	0.0	8.7641126e-08	2.5662432e-32
segsize5	0.061745893	0.057748318	0.014449388	0.013057323	0.044210378	0.0	0.0	0.0	0.0	0.0
segsize6	0.048233263	0.069777966	0.0	4.0393624e-20	0.030132044	0.0	0.0	0.0	6.850035e-24	0.0027836906
segsize7	0.033787888	0.07361964	0.0	0.0	0.015750078	0.0	0.0	0.0	0.0012974243	0.010082128
segsize8	0.014058153	0.044525743	0.0	0.0	0.004506991	0.0	0.0	0.0	0.00081577763	0.012817492
segsize9	0.0064137755	0.025682077	0.0	0.0	0.00017102704	0.0	0.0	0.0	0.00027876117	0.010349972
segsize10	0.006541446	0.034432907	0.0	0.0	0.0022936533	0.0	0.0	0.0	0.00024518612	0.019797562
segsize11	0.0061336025	0.029755397	0.0	0.0	0.0049413512	0.0	0.0	0.0	2.7300847e-20	0.025939116
segsize12	0.004592283	0.01857858	0.0	0.0	0.0072238734	0.0	0.0	0.0	0.0	0.029582653
segsize13	0.002083196	0.009091743	0.0	0.0	0.00707555	0.0	0.0	0.0	0.00064707856	0.022438403
segsize14	2.6793914e-10	0.0033515994	0.0	0.0	0.0055554374	0.0	0.0	0.0	0.0009416847	0.0153126335
segsize15	0.0	1.1320386e-06	0.0	0.0040307124	0.015121349	0.004090077	0.0	0.005584364	0.0022941316	0.02296863
segsize16	0.0	0.0	0.0	3.853893e-08	0.0056903977	0.0	0.0	0.07916124	0.0018146735	0.009949076
segsize17	0.0	0.0	0.0	0.0058202078	0.0045842277	0.0	0.0	0.09945145	0.002595201	0.014513771
segsize18	0.0	0.0	0.0	0.0028313508	0.0023842882	0.0	0.0	0.07886381	0.0018842105	0.0071346825
segsize19	0.0	0.0	0.0	0.001817667	0.0015658165	0.0	0.0	0.10275986	0.001570806	0.005506072
segsize20	0.0	0.0	0.0	0.0	4.8146652e-26	0.0	0.0	0.11545679	0.0010699421	0.0019466534
segsize21	0.0	0.0	0.0	0.0013084187	0.0	0.0	0.0	0.18847542	0.0027440642	0.0031277707
segsize22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33024707	0.0033244272	0.0
changepoint1	0.0	0.0	0.012028834	0.0	0.0068023857	0.37290236	0.0	0.0	0.0071140826	0.0055003525
changepoint2	0.002772675	0.024594955	0.0	0.0	0.0	0.6229978	0.0	0.0	0.0018460056	0.020698734
changepoint3	0.29800588	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0058884444	0.06065608
changepoint4	0.1579266	0.0063855043	0.0	0.0	0.14357953	0.0	0.0	0.0	0.0041525704	0.04223396
changepoint5	0.008832176	0.00355898	0.0025710484	0.0	0.45159307	0.0	0.0	0.0	0.00047974492	0.018570887
changepoint6	0.0	0.005884563	0.0	0.254058	0.05200628	0.0	0.0	0.0	0.0	0.0014869627
changepoint7	0.0	0.00072222936	1.8657896e-05	0.2654941	0.014486006	0.0	0.0	0.0	0.0	9.4620685e-29
changepoint8	8.253593e-33	0.0019562072	0.00035104487	0.23538986	0.0141767105	0.0	0.0	0.0	3.504494e-27	0.00018070119
changepoint9	0.00015966418	0.0016457597	0.00016421652	0.1666708	0.0041290494	0.0	0.09888702	0.0	5.0127624e-06	2.5940406e-05
changepoint10	6.0380586e-21	0.00079310854	0.0002856428	0.049521465	0.0011545189	0.0	0.8918991	0.0	8.008639e-07	0.0
bp10MB1	0.020453418	1.6183829e-05	2.3524317e-31	0.0	6.7790323e-35	0.0	0.0	0.0	0.60199255	0.20511296
bp10MB2	0.078222185	0.07290672	0.0	0.0	4.016679e-31	0.0	0.0	0.0	0.23473045	0.2333556
bp10MB3	0.07601441	0.05790788	0.068136886	0.0	0.048320856	0.0	0.0	0.0	0.003480709	0.01852691
bpchrarm1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07641503	0.0
bpchrarm2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04009204	0.038644165
bpchrarm3	0.025975395	0.005185393	0.019928975	0.0	0.010188294	0.0	0.0	0.0	0.0011518179	0.029666897
bpchrarm4	0.0058956644	0.016491773	0.007240086	0.0	0.00027178353	0.0	0.0	0.0	0.0	0.0
bpchrarm5	0.00084962713	0.0	0.0024874273	0.0	0.0	0.0	0.009213943	0.0	0.0	0.0
osCN1	0.0	0.32519352	0.20850675	0.0	0.0	0.0	0.0	0.0	0.001127208	0.08601836
osCN2	0.036265913	0.07673507	0.08089922	0.0	0.020115651	0.0	0.0	0.0	0.0	0.021505954
osCN3	0.0075193313	0.0	0.00265214	0.0	0.0032740794	9.715795e-06	0.0	0.0	0.0	0.0
