"V1"	"W1"	"W2"	"W3"	"W4"	"W5"	"W6"	"W7"	"W8"	"W9"	"W10"
"segsize1"	"654.02014"	"5.249e-42"	"1.097e-42"	"4.843e-42"	"14701.904"	"2.448e-42"	"6.28e-43"	"474.7291"	"3.59e-43"	"5.511e-42"
"segsize2"	"2.0170075e-23"	"769.56415"	"1.097e-42"	"1435.4872"	"12445.446"	"1.749e-42"	"9.42e-43"	"1256.7695"	"3.59e-43"	"3.3381748e-37"
"segsize3"	"4.5778777e-14"	"4862.1006"	"1.464e-42"	"7954.1294"	"14976.978"	"1.398e-42"	"6.28e-43"	"1385.7551"	"3.59e-43"	"2.2044e-41"
"segsize4"	"11794.435"	"13272.141"	"6.3032936e-17"	"23652.684"	"12621.566"	"7.904178e-16"	"9.42e-43"	"3.511075e-26"	"3.59e-43"	"14.773746"
"segsize5"	"20938.24"	"9640.2705"	"2.562e-42"	"20981.682"	"968.1832"	"801.8249"	"9.42e-43"	"1.0616e-41"	"3.59e-43"	"3.3066e-41"
"segsize6"	"25959.082"	"7213.905"	"2.562e-42"	"17322.262"	"2.958e-42"	"6.346928e-16"	"1.256e-42"	"2.6539e-41"	"3.59e-43"	"2.3224425e-18"
"segsize7"	"27761.51"	"3412.0115"	"2.927e-42"	"11724.221"	"1.69e-42"	"3.147e-42"	"2.51e-42"	"7935.3237"	"3.59e-43"	"2224.9517"
"segsize8"	"17347.643"	"987.7116"	"4.392e-42"	"4699.0654"	"1.69e-42"	"2.448e-42"	"2.824e-42"	"10872.69"	"3.59e-43"	"1329.0497"
"segsize9"	"10120.083"	"33.51113"	"5.856e-42"	"2057.8882"	"2.113e-42"	"1.749e-42"	"1.568e-42"	"8826.194"	"1.8e-43"	"469.15863"
"segsize10"	"13965.421"	"286.90692"	"4.026e-42"	"2019.2701"	"2.113e-42"	"1.749e-42"	"1.882e-42"	"17323"	"1.8e-43"	"405.7857"
"segsize11"	"12335.27"	"886.93994"	"5.123e-42"	"1765.51"	"2.113e-42"	"1.749e-42"	"1.256e-42"	"22929.08"	"1.8e-43"	"3.2424087e-33"
"segsize12"	"8507.702"	"1191.7257"	"3.293e-42"	"1091.7039"	"2.536e-42"	"1.749e-42"	"9.42e-43"	"26399.7"	"3.59e-43"	"2.5718e-41"
"segsize13"	"4281.8345"	"1356.7697"	"5.489e-42"	"403.0113"	"3.381e-42"	"3.147e-42"	"1.256e-42"	"20305.723"	"3.59e-43"	"994.07947"
"segsize14"	"1803.2242"	"1211.2073"	"2.086e-41"	"1.5176041e-17"	"5.071e-42"	"9.094e-42"	"3.138e-42"	"13594.053"	"3.59e-43"	"1409.959"
"segsize15"	"539.6124"	"3324.7678"	"539.6664"	"1.0492e-41"	"3.805e-42"	"9.989815e-11"	"95.14636"	"20850.076"	"3.59e-43"	"3856.447"
"segsize16"	"1.7138585e-20"	"1331.9268"	"4.026e-42"	"9.686e-42"	"3.381e-42"	"99.43345"	"4032.7498"	"9184.679"	"5.38e-43"	"2950.8643"
"segsize17"	"8.886e-42"	"1078.6477"	"2.196e-42"	"5.65e-42"	"2.536e-42"	"541.1495"	"4907.313"	"13344.941"	"1.076e-42"	"4356.4385"
"segsize18"	"5.332e-42"	"523.85077"	"2.196e-42"	"3.229e-42"	"4.65e-42"	"246.33493"	"3780.7007"	"6724.985"	"1.076e-42"	"3318.7861"
"segsize19"	"5.332e-42"	"413.74365"	"2.196e-42"	"3.229e-42"	"4.226e-42"	"151.09698"	"5194.112"	"5121.929"	"1.076e-42"	"2519.304"
"segsize20"	"6.22e-42"	"44.639637"	"1.83e-42"	"4.036e-42"	"3.381e-42"	"3.3029313e-29"	"5836.1094"	"1794.8384"	"7.17e-43"	"1845.4071"
"segsize21"	"5.332e-42"	"2.6902e-41"	"1.464e-42"	"3.229e-42"	"2.113e-42"	"140.91124"	"9502.341"	"3021.253"	"1.076e-42"	"4698.819"
"segsize22"	"1.777e-42"	"1.312e-42"	"1.464e-42"	"1.614e-42"	"8.45e-43"	"6.99e-43"	"16777.5"	"3.981e-42"	"1.8e-43"	"5701.3438"
"changepoint1"	"1.5994e-41"	"1582.8809"	"25327.438"	"1.7756e-41"	"1150.6562"	"2.448e-42"	"1.99534e-40"	"5079.203"	"3.59e-43"	"12115.693"
"changepoint2"	"10194.929"	"5.249e-42"	"42338.895"	"968.1489"	"5.071e-42"	"1.749e-42"	"1.882e-42"	"17976.541"	"3.59e-43"	"3023.6426"
"changepoint3"	"1.2239134e-22"	"3.28e-42"	"2.927e-42"	"103518.14"	"5.071e-42"	"1.749e-42"	"1.568e-42"	"54118.316"	"3.59e-43"	"9328.98"
"changepoint4"	"2279.0322"	"31204.428"	"2.196e-42"	"53902.953"	"7.388319e-37"	"2.448e-42"	"3.244e-40"	"37350.227"	"5.38e-43"	"6880.052"
"changepoint5"	"1.2617778e-07"	"97070.766"	"1.83e-42"	"984.964"	"8.700236e-10"	"3.498e-42"	"3.765e-42"	"16351.95"	"5.38e-43"	"1429.8265"
"changepoint6"	"1850.0226"	"11510.045"	"7.31e-43"	"4.036e-42"	"2.113e-42"	"15582.813"	"6.28e-43"	"1096.3125"	"1.8e-43"	"3.674e-42"
"changepoint7"	"138.39505"	"3195.725"	"7.31e-43"	"4.036e-42"	"1.69e-42"	"16322.335"	"6.28e-43"	"0.22124505"	"3.59e-43"	"3.674e-42"
"changepoint8"	"595.3611"	"3105.771"	"1.464e-42"	"2.0781893e-22"	"9.590642"	"14529.661"	"2.824e-42"	"164.30202"	"9.1149714e-20"	"3.7299795"
"changepoint9"	"503.22977"	"925.9047"	"1.097e-42"	"54.708225"	"1.5460787"	"10434.66"	"4.392e-42"	"24.807978"	"1567.7009"	"9.615517"
