	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.0	0.1519855	0.0	0.0	0.0	0.0011434748	0.0	0.0	0.0	0.0
segsize2	0.0	0.13039349	0.0024671408	2.1480492e-34	0.0	0.0017606608	0.0	0.0	0.0031100817	0.0
segsize3	0.0	0.16030097	0.020516286	3e-45	0.0	0.001891932	0.0	0.0	0.021510163	0.0
segsize4	0.0	0.14020959	0.058686763	3.297534e-15	0.03218073	7.353771e-29	0.0	0.0	0.06744799	0.0
segsize5	3.5094538e-07	0.017183004	0.044215623	0.0	0.058206208	0.0	0.0	0.0	0.060207013	0.0
segsize6	2.0189936e-30	0.0	0.033622917	2.2879373e-14	0.06960578	1.3500993e-08	0.0	0.0	0.051191375	0.0
segsize7	0.0	0.0	0.017360978	0.0012362975	0.07270691	0.008896146	0.0	0.0	0.035822853	0.0
segsize8	0.0	0.0	0.005803721	0.0007701858	0.04408413	0.012243768	0.0	0.0	0.015198742	0.0
segsize9	0.0	0.0	0.0004712312	0.00028632552	0.025865776	0.010072965	0.0	0.0	0.0067332746	0.0
segsize10	0.0	0.0	0.0023951833	0.00021253632	0.03424988	0.01967239	0.0	0.0	0.007537924	0.0
segsize11	0.0	0.0	0.004667329	0.0	0.029870478	0.025975907	0.0	0.0	0.0065499996	0.0
segsize12	0.0	0.0	0.007070646	0.0	0.018772818	0.029819595	0.0	0.0	0.0047688317	0.0
segsize13	0.0	0.0	0.0072389473	0.000586534	0.009015105	0.022614729	0.0	0.0	0.0025700503	0.0
segsize14	0.0	0.0	0.005019039	0.0009668936	0.003858262	0.01525058	0.0	0.0	1.9231279e-29	0.0
segsize15	1.7800952e-13	0.0	0.013488775	0.0022459705	0.0006614438	0.023822557	0.009655502	0.0	0.0	4.191004e-07
segsize16	3.096774e-07	0.0	0.0055525578	0.0017632128	1.387e-42	0.010249012	0.079953335	0.0	0.0	0.0
segsize17	0.0047311196	0.0	0.0043598353	0.002553253	0.0	0.014718396	0.101008765	0.0	0.0	0.0
segsize18	0.0034176928	0.0	0.002116174	0.0019601579	0.0	0.0073165772	0.07590187	0.0	0.0	0.0
segsize19	0.000461426	0.0	0.0014543245	0.0015699308	0.0	0.0057374802	0.10259277	0.0	0.0	0.0
segsize20	0.0	0.0	0.00030418634	0.0011119565	0.0	0.001870841	0.11466341	0.0	0.0	0.0
segsize21	0.0010455003	0.0	0.0	0.002724693	0.0	0.0031742898	0.18933806	0.0	0.0	0.0
segsize22	0.0	0.0	0.0	0.0033933988	0.0	0.0	0.32688633	0.0	0.0	0.0
changepoint1	0.0	0.011840273	0.006447825	0.007178623	0.0	0.005670631	0.0	0.0	0.0	0.37387583
changepoint2	0.0	0.0	0.0	0.0019071907	0.02472726	0.020526547	0.0	0.0	0.0037027476	0.62611747
changepoint3	0.0	0.0	0.0	0.0057475655	0.0	0.058725175	0.0	0.0	0.30401993	0.0
changepoint4	0.0	1.69652e-40	0.14331439	0.0041253325	0.0048341346	0.040818125	0.0	0.0	0.15913321	0.0
changepoint5	0.0	0.00037833955	0.44276413	0.0008087067	2.6758164e-25	0.017973937	0.0	0.0	0.00415023	0.0
changepoint6	0.25906697	0.0	0.051591925	0.0	0.0047600423	0.0012940365	0.0	0.0	0.0	0.0
changepoint7	0.26940322	0.0	0.014576196	0.0	0.00031329106	0.0	0.0	0.0	0.0	0.0
changepoint8	0.23891503	0.00016950979	0.014066898	1.9999e-06	0.0015865541	0.00016997854	0.0	0.0	5.663924e-34	0.0
changepoint9	0.16966215	0.00010110562	0.0042042923	5.112181e-06	0.0014331214	1.7760163e-05	0.0	0.09805208	0.00017001574	0.0
changepoint10	0.050870687	0.00018911486	0.0011828495	5.208581e-20	0.0006797409	0.0	0.0	0.89742476	2.9735804e-05	0.0
bp10MB1	0.0	8.0063935e-27	1.8406716e-25	0.6018497	2.0929423e-05	0.20990673	0.0	0.0	0.017288595	0.0
bp10MB2	0.0	0.0	1.8830507e-17	0.23466145	0.07613694	0.23632866	0.0	0.0	0.07738214	0.0
bp10MB3	0.0	0.0693777	0.049720895	0.0033509943	0.05767702	0.017607018	0.0	0.0	0.076269545	0.0
bpchrarm1	0.0	0.0	0.0	0.07643185	0.0	7.5636316e-20	0.0	0.0	0.0	0.0
bpchrarm2	0.0	0.0	0.0	0.040164642	0.0	0.039265767	0.0	0.0	0.0	0.0
bpchrarm3	0.0	0.02206438	0.00979146	0.001070803	0.0050225505	0.03004707	0.0	0.0	0.02583813	0.0
bpchrarm4	0.0	0.006210426	0.0007087397	0.0	0.016111245	0.0	0.0	0.0	0.0059303916	0.0
bpchrarm5	0.0024255626	0.0051433686	0.0	0.0	0.0	0.0	0.0	0.004523239	0.0	0.0
osCN1	0.0	0.20005818	0.0	0.0013147081	0.3308204	0.08473007	0.0	0.0	0.0	0.0
osCN2	0.0	0.081051745	0.02150253	0.0	0.07679919	0.020687079	0.0	0.0	0.036276568	0.0
osCN3	0.0	0.0033432553	0.0033163102	0.0	0.0	0.0	0.0	0.0	0.0071605654	6.3977586e-06
