	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.0	0.0	0.00027487896	0.0	0.0030403538	0.0	0.0	0.0	0.18153423	0.0
segsize2	0.004474094	0.0	0.0062425295	0.0	0.0010977099	0.0	0.0	0.0	0.1498029	0.00076977804
segsize3	0.02474929	0.0	0.029788515	0.0	0.0	0.0	0.0	0.0	0.17232934	0.0012199167
segsize4	0.059476692	0.03528596	0.085327595	0.0	0.02095357	0.006100408	0.0	0.0	0.12154582	0.0
segsize5	0.04127024	0.029851688	0.072313294	0.0	0.042738784	0.0	0.0	0.0	7.917055e-12	0.0
segsize6	0.028144168	5.8437706e-37	0.054421432	0.00031511422	0.057594843	0.0	0.0	0.0	0.0	0.0
segsize7	0.012366083	0.0	0.035067234	0.0014924732	0.064063214	0.0	0.0	0.0	0.0	0.007609226
segsize8	0.0027548072	0.0	0.012535016	0.0007739763	0.041335132	0.0	0.0	0.0	0.0	0.010970317
segsize9	2.3313662e-34	0.0	0.004836519	0.00018746653	0.02460503	0.0	0.0	0.0	0.0	0.008988373
segsize10	0.00069256284	0.0	0.0032466203	2.2835295e-08	0.035142798	0.0	0.0	0.0	0.0	0.017904349
segsize11	0.0014541941	0.0	0.00024340014	0.0	0.033746958	0.0	0.0	0.0	0.0	0.023741186
segsize12	0.0034626536	0.0	0.0	0.0	0.024495002	0.0	0.0	0.0	0.0	0.027446615
segsize13	0.0072350185	0.0	0.0	0.0	0.011926193	0.0	0.0	0.0	0.0	0.02221179
segsize14	0.008746227	5.2449456e-33	0.0	0.0	0.0046072914	0.0	0.0	0.0	0.0	0.01544975
segsize15	0.021808453	0.013918426	0.0	0.0	0.0	0.032829493	0.0	0.0	0.0	0.023069877
segsize16	0.0069316826	0.0051151	0.0	0.0013905133	1.2570181e-28	0.0	0.08083085	0.0	0.0	0.01050866
segsize17	0.0057384237	0.013862479	0.0	0.0021765612	0.0	0.0	0.09686787	0.0	0.0	0.015114297
segsize18	0.002465474	0.007894339	0.0	0.001825769	0.0	0.0	0.073806286	0.0	0.0	0.007600754
segsize19	0.0019450607	0.00500275	0.0	0.0014331057	0.0	0.0	0.10222896	0.0	0.0	0.005932563
segsize20	0.00032391676	0.0009405071	0.0	0.001149018	0.0	0.0	0.115744844	0.0	0.0	0.0020886762
segsize21	0.0	0.0049670646	0.0	0.002920417	0.0	0.0	0.18740574	0.0	0.0	0.0034674231
segsize22	0.0	0.0	0.0	0.003605392	0.0	0.0	0.3431154	0.0	0.0	0.0
changepoint1	0.008880728	0.0	0.0	0.0066246646	0.0	0.36364812	0.0	0.0	0.01323007	0.005886195
changepoint2	0.0	0.0	2.0319857e-27	0.0010664084	0.026475763	0.5974093	0.0	0.0	0.0	0.019581044
changepoint3	0.0	0.0	0.31448507	0.003906845	7.574647e-35	0.0	0.0	0.0	0.0	0.0717865
changepoint4	0.13987294	0.0	0.1645236	0.0030306329	0.0072541004	0.0	0.0	0.0	0.0	0.046750236
changepoint5	0.4493907	0.0	0.004296326	0.00023655435	1.50874e-08	0.0	0.0	0.0	0.0	0.016619386
changepoint6	0.05279093	0.22570764	0.0	0.0	0.0063593322	0.0	0.0	0.0	0.0	0.0
changepoint7	0.014282662	0.23737215	0.0	0.0	0.00081595394	0.0	0.0	0.0	0.0	0.0
changepoint8	0.013798087	0.21257555	2.6509997e-26	2.3386314e-11	0.0017763379	0.0	0.0	0.0	8.636932e-18	7.869624e-05
changepoint9	0.0039284225	0.15550727	0.00017748254	6.4191677e-06	0.0013450903	0.0	0.0	0.08685737	1.8786706e-21	0.0
changepoint10	0.0010813226	0.051999122	1.179094e-05	8.489895e-07	0.0005500846	0.0	0.0	0.9028353	0.00014210992	0.0
bp10MB1	5.4819235e-31	0.0	5.1446347e-10	0.610733	0.029191073	0.0	0.0	0.0	0.0	0.22207853
bp10MB2	4.0270473e-28	0.0	0.050319668	0.23420003	0.10552141	0.0	0.0	0.0	0.0	0.2400021
bp10MB3	0.048522636	0.0	0.08303184	0.0033884079	0.051870443	0.0	0.0	0.0	0.06419328	0.017034413
bpchrarm1	0.0	0.0	0.0	0.07890125	0.0	0.0	0.0	0.0	0.0	6.7377414e-07
bpchrarm2	0.0	0.0	0.0	0.03941963	0.0	0.0	0.0	0.0	0.0	0.043264166
bpchrarm3	0.009568679	0.0	0.023374546	0.00050265307	0.011766236	0.0	0.0	0.0	0.018427584	0.029804494
bpchrarm4	0.00019620414	0.0	0.0072386167	0.0	0.0129932705	0.0	0.0	0.0	0.005268904	0.0
bpchrarm5	0.0	0.0	0.0012848105	0.0	0.0	0.0	0.0	0.010307364	0.0016547356	0.0
osCN1	0.0	0.0	0.0	0.0007128669	0.30533248	0.0	0.0	0.0	0.19127898	0.066363655
osCN2	0.02060884	0.0	0.0385578	0.0	0.07340157	0.0	0.0	0.0	0.07723121	0.016656363
osCN3	0.00303884	0.0	0.008401469	0.0	2.4064e-41	1.2686267e-05	0.0	0.0	0.0033608172	0.0
