	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.0	0.000999906	0.0	0.0	0.0	3.4728304e-10	0.0	0.15659268	0.0	0.0
segsize2	0.0	0.0018340165	0.0	1.5865234e-24	0.0034688974	2.916e-42	1.99e-42	0.13698868	0.0	0.0
segsize3	0.0	0.0018470965	0.0	0.019132847	0.02215257	8.693295e-26	5.3177554e-32	0.16567835	0.0	0.0
segsize4	1.9056893e-13	3.3722194e-23	0.0	0.057622015	0.06764485	0.03318157	7.125009e-05	0.14148566	0.0	4.548118e-19
segsize5	0.0	0.0	0.0	0.044871148	0.06010144	0.059078623	5.91383e-40	0.0134419855	0.0	0.00012191892
segsize6	0.0	5.107485e-17	0.0	0.03403928	0.050717864	0.06986626	1.2085238e-17	0.0	0.0	1.1879975e-20
segsize7	0.0	0.009213854	0.0	0.017660635	0.035181187	0.07244541	0.0011979645	0.0	0.0	0.0
segsize8	0.0	0.012640766	0.0	0.0055827987	0.014440149	0.04384686	0.00071442977	0.0	0.0	0.0
segsize9	0.0	0.010182257	0.0	0.0007339978	0.006424576	0.025603885	0.00025886993	0.0	0.0	0.0
segsize10	0.0	0.01975164	0.0	0.0026462323	0.007058336	0.034153115	0.00022191451	0.0	0.0	0.0
segsize11	0.0	0.026014574	0.0	0.005000307	0.0065463562	0.029184239	3.6061568e-36	0.0	0.0	0.0
segsize12	0.0	0.029702911	0.0	0.006772806	0.0048497305	0.018758908	0.0	0.0	0.0	0.0
segsize13	0.0	0.02249181	0.0	0.007193669	0.0024353147	0.008698739	0.0006357384	0.0	0.0	0.0
segsize14	6e-45	0.015525598	0.0	0.005623086	1.39391875e-14	0.0035189253	0.000900405	0.0	0.0	2.0004587e-38
segsize15	9.533328e-05	0.023498118	0.004596243	0.014237772	6e-45	0.00018143155	0.002460139	0.0	0.0	5.2123115e-09
segsize16	0.0	0.010124853	0.07892829	0.0056723333	0.0	2.0314551e-30	0.0017676321	0.0	0.0	0.00050800433
segsize17	0.0	0.014627549	0.1013274	0.004004181	0.0	0.0	0.0025773935	0.0	0.0	0.005901687
segsize18	0.0	0.0072699417	0.07820678	0.0019041409	0.0	0.0	0.001897444	0.0	0.0	0.0035978209
segsize19	0.0	0.0056032264	0.105421714	0.0014464046	0.0	0.0	0.00150987	0.0	0.0	0.0014332394
segsize20	0.0	0.0019017052	0.1146826	2.4053796e-21	0.0	0.0	0.0010884549	0.0	0.0	0.0
segsize21	0.0	0.0032040633	0.18929392	0.0	0.0	0.0	0.0026809997	0.0	0.0	0.0012796841
segsize22	0.0	0.0	0.32754308	0.0	0.0	0.0	0.0033211093	0.0	0.0	0.0
changepoint1	0.37669986	0.005953388	2.1624103e-21	0.006359244	3.4897394e-37	1.9577505e-35	0.0071561686	0.012132438	0.0	0.0
changepoint2	0.6231978	0.021408042	0.0	0.0	0.0027568478	0.02507604	0.0019724225	0.0	0.0	0.0
changepoint3	0.0	0.05761487	0.0	0.0	0.30861336	1.7240338e-22	0.0057380795	0.0	0.0	0.0
changepoint4	0.0	0.040359054	5.0227874e-24	0.14388138	0.16109	0.0045784228	0.004166821	9.761296e-26	0.0	0.0
changepoint5	0.0	0.018022215	3.974979e-34	0.4450708	0.0028057771	1.6770085e-20	0.0009470165	1.1589876e-09	0.0	0.0
changepoint6	0.0	0.0013782433	0.0	0.052035592	0.0	0.0040678135	0.0	0.0	0.0	0.25750157
changepoint7	0.0	5.39902e-07	0.0	0.014452167	0.0	0.00023738488	0.0	0.0	0.0	0.2681247
changepoint8	0.0	0.00019172608	0.0	0.014162563	1.0624335e-27	0.0013712931	2.2124639e-13	0.00010504743	0.0	0.2377615
changepoint9	0.0	2.7242053e-05	2.2962114e-37	0.004207806	0.0001569044	0.0013377873	5.59517e-06	5.3912292e-05	0.098294735	0.16918553
changepoint10	0.0	1.1609998e-37	0.0	0.0011844977	2.2859946e-05	0.00065223756	1.5578929e-29	0.00017329241	0.8968391	0.051902834
bp10MB1	0.0	0.20977938	0.0	2.9235958e-12	0.0146621615	0.0011451562	0.6018052	5.4431647e-17	0.0	0.0
bp10MB2	0.0	0.2351062	0.0	8.326689e-11	0.07876243	0.07619663	0.23467824	3.7003287e-33	0.0	0.0
bp10MB3	0.0	0.017518278	0.0	0.049447615	0.07560737	0.05749252	0.0034764034	0.070905685	0.0	0.0
bpchrarm1	0.0	7.579305e-27	0.0	0.0	0.0	0.0	0.076442674	0.0	0.0	0.0
bpchrarm2	0.0	0.039277267	0.0	0.0	0.0	0.0	0.04001212	0.0	0.0	0.0
bpchrarm3	0.0	0.030200297	0.0	0.008260593	0.02543301	0.00567666	0.0012038077	0.021213539	0.0	0.0
bpchrarm4	0.0	0.0	0.0	0.0012933882	0.0058002006	0.01586772	0.0	0.006609554	0.0	0.0
bpchrarm5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005028046	0.0048662126	0.0026815594
osCN1	0.0	0.08574747	1e-45	1e-45	2.138e-42	0.3309852	0.0010918296	0.1876002	0.0	0.0
osCN2	0.0	0.020981796	0.0	0.022278985	0.03588105	0.07679717	0.0	0.07871969	0.0	0.0
osCN3	7.1671034e-06	0.0	0.0	0.0032217423	0.0073868176	0.0	0.0	0.0032712726	0.0	0.0
