	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.0	3.9668e-41	0.0	0.0	0.0	0.0	0.0	0.0	0.0011090402	0.15552145
segsize2	0.0	0.0	0.0	2.2083e-39	0.0033546945	0.0	0.0	0.0	0.001975874	0.13606995
segsize3	0.0	6.4538984e-20	0.019243143	2.262337e-28	0.021845827	0.0	0.0	0.0	0.001953294	0.16537733
segsize4	1.261007e-19	0.034569822	0.057329297	8.0237616e-05	0.067054115	1.1645883e-34	0.0	0.0	1.4431306e-23	0.14232412
segsize5	5.3407657e-05	0.06119795	0.044085387	1.008192e-39	0.05967313	0.0	0.0	0.0	0.0	0.014478133
segsize6	4.440626e-25	0.07204603	0.0336491	7.061034e-21	0.050521694	0.0	0.0	0.0	1.7990712e-14	0.0
segsize7	0.0	0.07408875	0.016931107	0.0011985325	0.03515814	0.0	0.0	0.0	0.009408384	0.0
segsize8	0.0	0.044400457	0.005339097	0.0007357422	0.014705464	0.0	0.0	0.0	0.012841586	0.0
segsize9	0.0	0.025669068	0.00059931946	0.00026373068	0.0066596	3.64e-43	0.0	0.0	0.010378349	0.0
segsize10	0.0	0.033975244	0.0024213823	0.00019715691	0.0074391044	0.0	0.0	0.0	0.020086363	0.0
segsize11	0.0	0.028704708	0.0049950574	1.413559e-37	0.0068825395	0.0	0.0	0.0	0.026447881	0.0
segsize12	0.0	0.017407062	0.0075449357	0.0	0.0055773063	0.0	0.0	0.0	0.030080918	0.0
segsize13	0.0	0.008103397	0.0071640676	0.0006495783	0.0023313744	0.0	0.0	0.0	0.02309938	0.0
segsize14	7.214e-42	0.0029453565	0.005729612	0.0009520933	0.0005048851	1.7e-44	0.0	0.0	0.015271372	0.0
segsize15	2.159822e-11	0.00017130189	0.013998504	0.0023956823	9.640935e-37	5.057281e-19	0.007024985	0.0	0.02373288	0.0
segsize16	6.1632363e-18	2.6010048e-37	0.0047892565	0.0016882833	0.0	0.0	0.08393643	0.0	0.010212493	0.0
segsize17	0.0043618805	0.0	0.00419667	0.002629902	0.0	0.0	0.09978449	0.0	0.014626494	0.0
segsize18	0.0029937355	0.0	0.00188225	0.0018744882	0.0	0.0	0.07904395	0.0	0.0071984893	0.0
segsize19	2.755051e-07	0.0	0.0013454338	0.0015374906	0.0	0.0	0.10395283	0.0	0.0056509874	0.0
segsize20	0.0	0.0	5.237515e-29	0.0010474432	0.0	0.0	0.11512198	0.0	0.0018248768	0.0
segsize21	5.299923e-16	0.0	0.0	0.0026739724	0.0	0.0	0.18762136	0.0	0.0031799735	0.0
segsize22	0.0	0.0	0.0	0.0032507482	0.0	0.0	0.32351398	0.0	0.0	0.0
changepoint1	0.0	1.1956e-41	0.0061378693	0.0071745426	1.3e-44	0.37313473	2.426447e-19	0.0	0.0056825834	0.012502481
changepoint2	0.0	0.024021303	0.0	0.0018236734	0.003851141	0.6268603	0.0	0.0	0.020995146	0.0
changepoint3	0.0	1.1733897e-25	0.0	0.0059540696	0.307086	0.0	0.0	0.0	0.05725776	1.443e-42
changepoint4	0.0	0.004303198	0.14460965	0.0042522927	0.16110061	0.0	2.113266e-25	0.0	0.040311087	7.178605e-23
changepoint5	0.0	1.0524306e-12	0.44914213	0.00080839946	0.004631714	0.0	5.1798428e-30	0.0	0.017890353	0.0004092743
changepoint6	0.26045755	0.004225713	0.052163348	0.0	0.0	0.0	0.0	0.0	0.0014748382	0.0
changepoint7	0.26869246	0.00024162547	0.014515185	0.0	0.0	0.0	0.0	0.0	2.6316073e-07	0.0
changepoint8	0.23917618	0.0014665395	0.0142291635	0.0	1.9519207e-24	0.0	0.0	0.0	0.00019316415	0.00012384134
changepoint9	0.17019187	0.0014239744	0.004161904	5.5234145e-06	0.0001473193	0.0	1.9803008e-30	0.098070025	2.7079985e-05	7.012421e-05
changepoint10	0.051804025	0.00072259497	0.0011318113	6.77584e-40	7.296407e-06	0.0	0.0	0.899298	2.811e-42	0.00020950138
bp10MB1	0.0	0.00010181267	4.1468966e-17	0.6014968	0.011670211	0.0	0.0	0.0	0.20505224	2.8231566e-19
bp10MB2	0.0	0.06893771	5.507483e-12	0.23496982	0.07864555	0.0	0.0	0.0	0.23599298	4.216506e-33
bp10MB3	0.0	0.05916713	0.048792984	0.0034685463	0.07609852	0.0	0.0	0.0	0.01766291	0.07081455
bpchrarm1	0.0	0.0	0.0	0.07606902	0.0	0.0	0.0	0.0	1.4894684e-33	0.0
bpchrarm2	0.0	0.0	0.0	0.040529914	0.0	0.0	0.0	0.0	0.037888117	0.0
bpchrarm3	0.0	0.0044731456	0.009056306	0.0011920106	0.026063073	0.0	0.0	0.0	0.03061534	0.018200327
bpchrarm4	0.0	0.016437886	0.00084633485	0.0	0.005725234	0.0	0.0	0.0	0.0	0.006787074
bpchrarm5	0.0022685726	0.0	0.0	0.0	0.0	0.0	0.0	0.0026319688	0.0	0.005428899
osCN1	0.0	0.3334291	0.0	0.0010802179	0.0	0.0	4e-45	0.0	0.08812873	0.18867055
osCN2	0.0	0.077769145	0.020662408	0.0	0.03597696	0.0	0.0	0.0	0.021748763	0.07967673
osCN3	0.0	0.0	0.003307267	0.0	0.007288484	4.9658256e-06	0.0	0.0	0.0	0.003335652
