"V1"	"W1"	"W2"	"W3"	"W4"	"W5"	"W6"	"W7"	"W8"	"W9"	"W10"
"segsize1"	"14897.661"	"2.413e-42"	"6.28e-43"	"948.52936"	"1.093e-42"	"3.6855485e-13"	"2.567e-42"	"2.459e-42"	"5.511e-42"	"3.62e-43"
"segsize2"	"12995.613"	"1177.5488"	"9.43e-43"	"1744.7223"	"1.457e-42"	"1.1053e-40"	"3.21e-42"	"1.406e-42"	"1.6535e-41"	"3.62e-43"
"segsize3"	"15766.429"	"7593.881"	"9.43e-43"	"1793.2567"	"1.822e-42"	"9.06e-42"	"4015.0542"	"1.406e-42"	"2.3885e-41"	"3.62e-43"
"segsize4"	"13519.399"	"23094.51"	"1.257e-42"	"1.0851605e-32"	"1.6031e-41"	"12526.713"	"12135.413"	"5.767708e-20"	"115.26439"	"3.62e-43"
"segsize5"	"1198.6923"	"20466.107"	"1.257e-42"	"1.0564e-41"	"2.55e-42"	"21993.545"	"8905.853"	"734.1517"	"3.6745e-41"	"3.62e-43"
"segsize6"	"3.446e-42"	"16945.11"	"1.257e-42"	"1.3206e-41"	"1.457e-42"	"26810.312"	"6749.1455"	"2.3785207e-30"	"3.3576395e-11"	"3.62e-43"
"segsize7"	"1.722e-42"	"11484.066"	"2.199e-42"	"7816.1597"	"2.186e-42"	"28412.117"	"3139.3408"	"3.161e-42"	"2243.833"	"3.62e-43"
"segsize8"	"1.722e-42"	"4670.565"	"2.513e-42"	"10671.466"	"4.372e-42"	"17587.93"	"894.8908"	"2.459e-42"	"1324.5613"	"3.62e-43"
"segsize9"	"2.154e-42"	"2023.7035"	"1.257e-42"	"8729.237"	"6.194e-42"	"10348.058"	"0.0003578286"	"1.756e-42"	"476.103"	"1.81e-43"
"segsize10"	"2.154e-42"	"2026.4535"	"1.571e-42"	"17116.283"	"4.008e-42"	"14162.808"	"257.1711"	"1.756e-42"	"426.8911"	"3.62e-43"
"segsize11"	"2.154e-42"	"1913.423"	"1.571e-42"	"22530.88"	"5.101e-42"	"12501.19"	"923.15686"	"2.108e-42"	"5.756157e-09"	"1.81e-43"
"segsize12"	"2.584e-42"	"1368.8282"	"1.257e-42"	"25915.064"	"4.372e-42"	"8667.76"	"1255.7189"	"1.756e-42"	"7.5328e-41"	"1.81e-43"
"segsize13"	"3.016e-42"	"560.45264"	"1.571e-42"	"20038.254"	"5.101e-42"	"4413.305"	"1393.7407"	"3.161e-42"	"972.20856"	"3.62e-43"
"segsize14"	"4.308e-42"	"4.1508413e-17"	"2.828e-42"	"13528.802"	"1.0201e-41"	"2084.358"	"976.7394"	"7.376e-42"	"1506.1443"	"3.62e-43"
"segsize15"	"3.876e-42"	"1.1264e-41"	"395.3939"	"20832.18"	"1.4964186e-05"	"1076.0052"	"3004.482"	"4.992052e-08"	"3796.6118"	"3.62e-43"
"segsize16"	"3.876e-42"	"1.2874e-41"	"3960.859"	"9062.626"	"3.279e-42"	"4.597548e-11"	"1369.4647"	"176.6975"	"3086.3337"	"7.22e-43"
"segsize17"	"3.016e-42"	"6.436e-42"	"4792.5415"	"13193.72"	"2.55e-42"	"1.0871e-41"	"1291.0992"	"475.00778"	"4455.5137"	"1.083e-42"
"segsize18"	"4.738e-42"	"4.023e-42"	"3886.2373"	"6594.7876"	"2.186e-42"	"5.436e-42"	"480.33905"	"318.88638"	"3270.5095"	"1.263e-42"
"segsize19"	"3.876e-42"	"3.219e-42"	"5126.3433"	"5278.7065"	"1.822e-42"	"5.436e-42"	"412.27527"	"106.854195"	"2575.3828"	"1.083e-42"
"segsize20"	"3.016e-42"	"4.827e-42"	"5803.4297"	"1797.014"	"1.822e-42"	"7.248e-42"	"75.98777"	"3.9117583e-16"	"1793.5168"	"7.22e-43"
"segsize21"	"2.154e-42"	"3.219e-42"	"9552.442"	"2975.1626"	"1.457e-42"	"5.436e-42"	"7.38228e-40"	"149.77632"	"4671.4097"	"1.083e-42"
"segsize22"	"8.62e-43"	"1.609e-42"	"16742.21"	"3.961e-42"	"1.457e-42"	"1.812e-42"	"1.284e-42"	"7.02e-43"	"5753.942"	"1.81e-43"
"changepoint1"	"1220.4404"	"1.6091e-41"	"7.854e-42"	"5094.077"	"25280.02"	"1.7214e-41"	"1502.8744"	"2.459e-42"	"12154.295"	"3.62e-43"
"changepoint2"	"4.738e-42"	"943.253"	"1.885e-42"	"17678.342"	"42319.973"	"10380.094"	"5.136e-42"	"1.756e-42"	"3144.9807"	"3.62e-43"
"changepoint3"	"6.03e-42"	"104458.61"	"1.571e-42"	"53323.594"	"4.008e-42"	"1.0771767e-07"	"3.21e-42"	"2.108e-42"	"9243.828"	"5.41e-43"
"changepoint4"	"7.753e-42"	"54585.953"	"9.11e-42"	"36115.9"	"2.186e-42"	"3471.203"	"30658.809"	"2.81e-42"	"6736.5645"	"5.41e-43"
"changepoint5"	"2.3737456e-09"	"2425.5132"	"3.77e-42"	"15250.512"	"1.822e-42"	"1250.7"	"95903.484"	"4.567e-42"	"898.8695"	"5.41e-43"
"changepoint6"	"2.154e-42"	"4.827e-42"	"6.28e-43"	"1036.282"	"7.29e-43"	"1967.155"	"10976.186"	"16033.418"	"3.674e-42"	"1.81e-43"
"changepoint7"	"1.722e-42"	"3.219e-42"	"6.28e-43"	"0.0010297345"	"7.29e-43"	"194.08"	"2959.524"	"16526.459"	"3.674e-42"	"3.62e-43"
"changepoint8"	"22.451519"	"8.703913e-27"	"3.142e-42"	"138.76561"	"1.457e-42"	"687.5476"	"2922.4204"	"14635.055"	"2.5686905"	"0.028046116"
"changepoint9"	"6.7546964"	"61.905033"	"4.713e-42"	"0.008259426"	"1.093e-42"	"535.70966"	"857.6949"	"10400.271"	"11.407682"	"1647.5902"
"changepoint10"	"17.011263"	"5.1403312e-15"	"2.513e-42"	"2.2449e-41"	"1.093e-42"	"256.35526"	"230.58221"	"3148.8967"	"1.8008122"	"14867.445"
"bp10MB1"	"8.384381e-27"	"0.063268505"	"2.513e-42"	"189881.73"	"3.643e-42"	"8702.002"	"3.789994e-27"	"4.567e-42"	"1036806.25"	"5.41e-43"
"bp10MB2"	"6.892e-42"	"23258.986"	"2.199e-42"	"209776.97"	"5.101e-42"	"37964.34"	"3.516332e-32"	"2.81e-42"	"403357.78"	"3.62e-43"
"bp10MB3"	"6668.4995"	"25807.629"	"1.571e-42"	"15369.154"	"5.101e-42"	"22888.734"	"9911.252"	"4.917e-42"	"5918.4985"	"3.62e-43"
"bpchrarm1"	"1.722e-42"	"6.436e-42"	"2.828e-42"	"4.0938e-41"	"2.915e-42"	"1.9025e-41"	"5.136e-42"	"1.406e-42"	"131920.9"	"3.62e-43"
"bpchrarm2"	"3.016e-42"	"8.046e-42"	"2.828e-42"	"36356.47"	"4.008e-42"	"7.248e-42"	"3.852e-42"	"2.108e-42"	"68550.625"	"5.41e-43"
"bpchrarm3"	"1763.127"	"8652.07"	"9.43e-43"	"26823.549"	"2.915e-42"	"3176.5452"	"1923.7244"	"2.459e-42"	"1858.5222"	"3.62e-43"
"bpchrarm4"	"661.8245"	"1887.8446"	"3.14e-43"	"1.32e-42"	"3.64e-43"	"6179.7637"	"15.649999"	"1.406e-42"	"1.837e-42"	"1.81e-43"
"bpchrarm5"	"517.19226"	"0"	"0"	"0"	"0"	"0"	"0"	"129.53633"	"0"	"69.91386"
"osCN1"	"17400.604"	"1.2068e-41"	"3.456e-42"	"72467.74"	"7.651e-42"	"129045.016"	"7.061e-42"	"4.215e-42"	"1877.3552"	"7.22e-43"
"osCN2"	"7465.346"	"11813.28"	"6.28e-43"	"18195.139"	"1.093e-42"	"30739.38"	"4035.326"	"4.215e-42"	"5.511e-42"	"3.62e-43"
"osCN3"	"352.66263"	"2437.3745"	"3.14e-43"	"3.961e-42"	"0.48531222"	"6.342e-42"	"676.9561"	"7.02e-43"	"1.837e-42"	"1.81e-43"
