	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.0	0.0	0.0	0.16792968	0.0	0.0003221777	0.0	0.002679254	0.0	0.0
segsize2	0.0	0.0	0.0	0.1402026	0.0054617007	0.0010565179	0.0	4.9900193e-19	0.0	0.004551675
segsize3	0.0	0.0	0.0	0.16596968	0.025739253	0.0012558928	0.0	0.0	0.0	0.023417395
segsize4	6.4824e-18	8.295953e-09	0.0	0.1333246	0.07363524	0.0	0.0	0.03280146	3.7130204e-10	0.06136531
segsize5	0.013660317	0.0	0.0	0.0064451206	0.065165184	0.0	0.0	0.055734515	0.0	0.04487794
segsize6	3.281059e-33	3.5191322e-15	0.0	0.0	0.050139677	0.0027598343	0.0	0.067491144	0.0	0.029799653
segsize7	0.0	0.0012709675	0.0	0.0	0.03516769	0.010337755	0.0	0.07120683	0.0	0.015697626
segsize8	0.0	0.00077428063	0.0	0.0	0.014094673	0.012841901	0.0	0.04374615	0.0	0.005424865
segsize9	0.0	0.0003000011	0.0	0.0	0.006142883	0.010239328	0.0	0.025766818	0.0	0.00018378231
segsize10	0.0	0.00025217846	0.0	0.0	0.0056726285	0.02001455	0.0	0.034415998	0.0	0.0022702846
segsize11	0.0	0.0	0.0	0.0	0.0049923747	0.026085276	0.0	0.029798431	0.0	0.0050499598
segsize12	0.0	0.0	0.0	0.0	0.0032131388	0.02966264	0.0	0.019317843	0.0	0.007151131
segsize13	0.0	0.0006576491	0.0	0.0	0.00092732266	0.022572156	0.0	0.009835932	0.0	0.006446847
segsize14	0.0	0.00085674797	0.0	0.0	2e-44	0.015113022	0.0	0.0034012066	0.0	0.0064170593
segsize15	0.0055533345	0.002212552	0.0058026933	0.0	0.0	0.022545306	0.0	2.732168e-16	0.006894195	0.015039209
segsize16	0.0007355621	0.0016995261	0.081033476	0.0	0.0	0.010039967	0.0	0.0	0.0	0.0050877226
segsize17	0.0076142475	0.0024736316	0.10301484	0.0	0.0	0.014235908	0.0	0.0	0.0	0.004797411
segsize18	0.004813879	0.0019182529	0.076971725	0.0	0.0	0.0070865564	0.0	0.0	0.0	0.0019025567
segsize19	0.0019903714	0.0015213822	0.103134125	0.0	0.0	0.005495174	0.0	0.0	0.0	0.0012696995
segsize20	0.0	0.0010525947	0.11569351	0.0	0.0	0.0018070214	0.0	0.0	0.0	0.00018439883
segsize21	0.0024217973	0.0027040609	0.18705572	0.0	0.0	0.003054842	0.0	0.0	0.0	0.0
segsize22	0.0	0.00324441	0.32729387	0.0	0.0	0.0	0.0	0.0	0.0	0.0
changepoint1	0.0	0.0071361186	0.0	0.012067033	0.0	0.005313327	0.0	0.0	0.37264457	0.0071553807
changepoint2	0.0	0.0018704737	0.0	0.0	0.0023477327	0.020630393	0.0	0.024852974	0.620454	0.0
changepoint3	0.0	0.005767942	0.0	0.0	0.30379075	0.06256017	0.0	0.0	0.0	0.0
changepoint4	0.0	0.00421097	0.0	0.0	0.15913561	0.042995743	0.0	0.0039108405	0.0	0.13995816
changepoint5	0.0	0.0008902457	0.0	0.0	0.0021534234	0.017845362	0.0	0.0	0.0	0.4357779
changepoint6	0.24926941	0.0	0.0	0.0	0.0	0.0012427033	0.0	0.004981071	0.0	0.053003505
changepoint7	0.26203978	0.0	0.0	0.0	0.0	0.0	0.0	0.00076493213	0.0	0.015329459
changepoint8	0.23378515	1.4244947e-06	0.0	1.13764855e-07	3.6412373e-05	0.00016298358	0.0	0.0019155424	0.0	0.014654232
changepoint9	0.16705686	4.5395655e-06	0.0	4.1679546e-12	0.00019656181	1.801272e-05	0.096208386	0.0017369537	0.0	0.0045045028
changepoint10	0.051059276	7.9929913e-07	0.0	0.000101202415	3.9907885e-05	0.0	0.89448863	0.00073687796	0.0	0.001274961
bp10MB1	0.0	0.6020819	0.0	0.0	0.01363802	0.20499936	0.0	2.09483e-05	0.0	4.1293975e-17
bp10MB2	0.0	0.23466447	0.0	0.0	0.07154158	0.23463826	0.0	0.07720406	0.0	4.9358777e-18
bp10MB3	0.0	0.0034020666	0.0	0.06451328	0.079109706	0.01853034	0.0	0.05714958	0.0	0.050019674
bpchrarm1	0.0	0.0762275	0.0	0.0	0.0	1.0797512e-32	0.0	0.0	0.0	0.0
bpchrarm2	0.0	0.04038422	0.0	0.0	0.0	0.038153082	0.0	0.0	0.0	0.0
bpchrarm3	0.0	0.0010542832	0.0	0.020403989	0.024808839	0.030298911	0.0	0.0058655567	0.0	0.010096469
bpchrarm4	0.0	0.0	0.0	0.005304878	0.0064389743	0.0	0.0	0.01627486	0.0	0.00081228884
bpchrarm5	0.0	0.0	0.0	0.0022362552	0.0010721015	0.0	0.009303019	0.0	0.0	0.0
osCN1	0.0	0.0013647749	0.0	0.20144832	0.0	0.08494811	0.0	0.3313592	0.0	0.0
osCN2	0.0	0.0	0.0	0.07734127	0.037681274	0.021137338	0.0	0.077030994	0.0	0.023119614
osCN3	0.0	0.0	0.0	0.0027120414	0.007657341	0.0	0.0	0.0	7.2229586e-06	0.003359313
