	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.0	6.806711e-10	0.0	0.17748173	0.0	1.0032052e-05	0.0	0.0032044582	0.0	3.2520692e-26
segsize2	0.0	0.00093466835	0.0	0.14567313	0.0	0.0	0.0	0.0	0.0049802256	0.005983177
segsize3	0.0	0.0013508523	0.0	0.16656636	0.0	0.0	0.0	0.0	0.024226533	0.027039016
segsize4	0.0	0.0	0.0328171	0.10592517	0.0	0.0	0.087183595	0.0	0.06642074	0.08745571
segsize5	0.0	0.0	2.9791234e-27	1.3719726e-05	0.0	0.0	0.045705397	0.044294894	0.04485011	0.06959354
segsize6	0.0	0.0023167846	0.0	0.0	0.0	0.00014241542	0.00783561	0.06340057	0.029942753	0.050475348
segsize7	0.0	0.00905656	0.0	0.0	0.0	0.0014876348	0.0	0.072917454	0.015203847	0.03340286
segsize8	0.0	0.011672495	0.0	0.0	0.0	0.00086068566	0.0	0.046406914	0.0044461032	0.012853923
segsize9	0.0	0.009482046	0.0	0.0	0.0	0.00030418218	0.0	0.027429096	0.00010057285	0.0055266893
segsize10	0.0	0.018596075	0.0	0.0	0.0	0.0002482583	0.0	0.03832747	0.0010818659	0.0046969606
segsize11	0.0	0.024487574	0.0	0.0	0.0	0.0	0.0	0.03432954	0.0045940704	0.003586151
segsize12	0.0	0.028389454	0.0	0.0	0.0	0.0	0.0	0.024248322	0.005867088	0.0018363938
segsize13	0.0	0.022031713	0.0	0.0	0.0	0.0005713253	0.0	0.012326388	0.0063987207	0.0001260872
segsize14	0.0	0.014895502	1.348e-42	0.0	0.0	0.00073962053	0.0	0.004699701	0.005977384	6.04388e-40
segsize15	4.4446e-41	0.022511201	0.011034945	0.0	0.0	0.0020108265	0.010633325	5.6713797e-13	0.01531431	0.0
segsize16	0.079669744	0.01022368	0.0	0.0	0.0	0.0017144518	0.0058639306	1.18e-43	0.00430176	0.0
segsize17	0.098092414	0.0146670295	0.0	0.0	0.0	0.002433313	0.011064335	0.0	0.0040098107	0.0
segsize18	0.07493264	0.0074508875	0.0	0.0	0.0	0.0019475309	0.007625291	0.0	0.0007861602	0.0
segsize19	0.103663385	0.0058168764	0.0	0.0	0.0	0.0014690841	0.0046950984	0.0	0.00056170113	0.0
segsize20	0.11528382	0.001959804	0.0	0.0	0.0	0.0011484098	0.0015320721	0.0	2.7165336e-06	0.0
segsize21	0.18684478	0.0033215205	0.0	0.0	0.0	0.0028182152	0.00387528	0.0	0.0	0.0
segsize22	0.3415132	0.0	0.0	0.0	0.0	0.0033932538	0.0	0.0	0.0	0.0
changepoint1	0.0	0.005642001	0.35963196	0.011593737	0.0	0.0071217366	0.0	0.0	0.007392539	0.0
changepoint2	0.0	0.01962594	0.5965101	0.0	0.0	0.0019205617	0.0	0.028138535	0.0	0.000999044
changepoint3	0.0	0.06580454	0.0	0.0	0.0	0.0063212737	0.0	0.0	0.0	0.29107338
changepoint4	0.0	0.045704037	0.0	0.0	0.0	0.0045097447	0.0	6.495826e-08	0.13950558	0.15544282
changepoint5	0.0	0.01873273	0.0	0.0	0.0	0.0010797625	0.0	1e-45	0.43901616	7.826429e-12
changepoint6	0.0	0.0013149956	0.0	0.0	0.0	0.0	0.20689754	0.004300596	0.051679894	0.0
changepoint7	0.0	3.1750767e-07	0.0	0.0	0.0	0.0	0.2138695	0.00032241273	0.0145813115	0.0
changepoint8	0.0	0.00021092982	0.0	4.206418e-17	0.0	2.587877e-06	0.19283506	0.001146745	0.013741182	8.20616e-40
changepoint9	0.0	1.5077752e-05	0.0	6.961658e-06	0.071919255	9.478876e-06	0.14550176	0.0010784218	0.0038685356	0.00024131144
changepoint10	0.0	0.0	0.0	0.00010631246	0.9178167	6.198045e-07	0.054882213	0.00043602192	0.00094537355	6.196833e-05
bp10MB1	0.0	0.215343	0.0	0.0	0.0	0.6014881	0.0	0.00021879695	2.7951697e-21	0.023245607
bp10MB2	0.0	0.23561147	0.0	0.0	0.0	0.23356567	0.0	0.09454249	3.724538e-22	0.06679611
bp10MB3	0.0	0.018179955	0.0	0.066101804	0.0	0.0037018126	0.0	0.05521966	0.050264664	0.07872362
bpchrarm1	0.0	0.0	0.0	0.0	0.0	0.07700252	0.0	0.0	0.0	0.0
bpchrarm2	0.0	0.04045265	0.0	0.0	0.0	0.039762232	0.0	0.0	0.0	0.0
bpchrarm3	0.0	0.029748864	0.0	0.017456671	0.0	0.0010481225	0.0	0.008495543	0.009498205	0.024494864
bpchrarm4	0.0	0.0	0.0	0.0044429186	0.0	0.0	0.0	0.014905019	0.0015408525	0.0072330968
bpchrarm5	0.0	0.0	0.0	0.0019907407	0.010264042	0.0	0.0	0.0	0.0	0.0011103511
osCN1	0.0	0.075276434	0.0	0.22034444	0.0	0.0011664752	0.0	0.34339872	0.0	0.0
osCN2	0.0	0.019172305	0.0	0.079204656	0.0	0.0	0.0	0.07621211	0.025594002	0.04028698
osCN3	0.0	0.0	5.8403753e-06	0.0030916145	0.0	0.0	0.0	0.0	0.0033052007	0.0077149915
