	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.0	0.0	0.171839	0.0	0.0027270338	0.0	0.0002483461	0.0	0.0	0.0
segsize2	0.0	0.0	0.14344549	0.005450726	1.2045712e-35	0.0	0.0009735215	0.0	0.0	0.004556035
segsize3	0.0	0.0	0.16833909	0.025511589	0.0	0.0	0.001085279	0.0	0.0	0.02384812
segsize4	1.1140185e-07	4.8122318e-24	0.13211766	0.07141497	0.035122573	4.462821e-15	0.0	0.0	0.0	0.06032139
segsize5	0.0	0.0	0.003998744	0.06251814	0.058754034	0.012053466	0.0	0.0	0.0	0.04335272
segsize6	1.2423938e-24	0.0	0.0	0.04759058	0.06904056	3.9658625e-24	0.0031891433	0.0	0.0	0.027976153
segsize7	0.0012902176	0.0	0.0	0.03315843	0.07276304	0.0	0.010812601	0.0	0.0	0.013630221
segsize8	0.00078936847	0.0	0.0	0.013460357	0.04372086	0.0	0.013342086	0.0	0.0	0.0044229296
segsize9	0.00030275434	0.0	0.0	0.00583624	0.025554726	0.0	0.0105647985	0.0	0.0	0.00014360264
segsize10	0.00021957509	0.0	0.0	0.0061190357	0.033758335	0.0	0.020355392	0.0	0.0	0.0019997964
segsize11	0.0	0.0	0.0	0.0057196203	0.028959498	0.0	0.026331946	0.0	0.0	0.0053353673
segsize12	0.0	0.0	0.0	0.00410863	0.018163403	0.0	0.029832516	0.0	0.0	0.008194774
segsize13	0.00064383895	0.0	0.0	0.0019545495	0.008595177	0.0	0.022747168	0.0	0.0	0.007308082
segsize14	0.0009047618	0.0	0.0	2.8044687e-06	0.0032913273	0.0	0.015212218	0.0	0.0	0.006355676
segsize15	0.0024835602	0.004440391	0.0	0.0	2.9260444e-19	0.0039271074	0.022809437	0.00027744533	0.0	0.015366871
segsize16	0.001796524	0.0	0.0	0.0	0.0	0.00017938802	0.010087252	0.07943083	0.0	0.005797471
segsize17	0.0025884884	0.0	0.0	0.0	0.0	0.0063098096	0.014376677	0.10150447	0.0	0.004953785
segsize18	0.001988353	0.0	0.0	0.0	0.0	0.003176415	0.007101115	0.07719793	0.0	0.002484864
segsize19	0.0016027886	0.0	0.0	0.0	0.0	0.00036970727	0.005541429	0.10316425	0.0	0.0019367558
segsize20	0.0010803426	0.0	0.0	0.0	0.0	8.446599e-37	0.0019138097	0.11766274	0.0	6.4855126e-24
segsize21	0.0027991638	0.0	0.0	0.0	0.0	0.001984861	0.0030967311	0.18862827	0.0	0.0
segsize22	0.003341611	0.0	0.0	0.0	0.0	0.0	0.0	0.33213404	0.0	0.0
changepoint1	0.007262301	0.3742044	0.012090033	0.0	0.0	0.0	0.0052772732	0.0	0.0	0.0071483306
changepoint2	0.0020756165	0.62134624	0.0	0.002153786	0.023998996	0.0	0.021192921	0.0	0.0	0.0
changepoint3	0.0056530647	0.0	0.0	0.2979867	0.0	0.0	0.061818242	0.0	0.0	0.0
changepoint4	0.004127971	0.0	0.0	0.15755142	0.0041395007	0.0	0.042676203	0.0	0.0	0.14046673
changepoint5	0.0008100123	0.0	3.798785e-18	0.0065617706	6.528285e-25	0.0	0.01764017	0.0	0.0	0.43942028
changepoint6	0.0	0.0	0.0	0.0	0.005199702	0.25316128	0.0012961223	0.0	0.0	0.052890033
changepoint7	0.0	0.0	0.0	0.0	0.0006212916	0.26494268	5.1263115e-08	0.0	0.0	0.015360352
changepoint8	4.4212754e-07	0.0	7.92234e-06	6.149426e-05	0.0019854656	0.23585862	0.00014516941	0.0	0.0	0.014552683
changepoint9	5.12956e-06	0.0	2.3531848e-09	0.00018332168	0.0017520341	0.16835223	1.3027469e-05	0.0	0.0972311	0.004354472
changepoint10	0.0	0.0	0.00013452144	3.0176516e-05	0.0007905745	0.04968446	0.0	0.0	0.89176965	0.0012641158
bp10MB1	0.60144526	0.0	4e-44	0.022819772	6.570275e-06	0.0	0.2007494	0.0	0.0	5.500242e-27
bp10MB2	0.23452803	0.0	0.0	0.07713221	0.07280119	0.0	0.23330502	0.0	0.0	6.482997e-17
bp10MB3	0.0034566203	0.0	0.0657595	0.07624182	0.058354314	0.0	0.018696377	0.0	0.0	0.049349546
bpchrarm1	0.07610571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bpchrarm2	0.04038762	0.0	0.0	0.0	0.0	0.0	0.0376747	0.0	0.0	0.0
bpchrarm3	0.0010478393	0.0	0.019640453	0.02574729	0.0048658065	0.0	0.030175658	0.0	0.0	0.012097973
bpchrarm4	0.0	0.0	0.0062590325	0.0060606315	0.016472325	0.0	0.0	0.0	0.0	0.00037311175
bpchrarm5	0.0	0.0	0.0019358101	0.0011148326	0.0	0.0	0.0	0.0	0.010999239	0.0
osCN1	0.0012629281	0.0	0.19365855	0.0	0.3297158	0.0	0.088056825	0.0	0.0	0.0
osCN2	0.0	0.0	0.07789425	0.036056988	0.07884582	0.0	0.021661406	0.0	0.0	0.02138036
osCN3	0.0	8.924609e-06	0.0028798666	0.007452311	0.0	0.0	0.0	0.0	0.0	0.00335737
