	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.0	0.0	0.0	0.0	0.0	0.0018269885	0.0	0.16449732	0.00044362666	0.0
segsize2	0.0038370404	0.0	0.0	0.004380551	0.0	0.0	0.0	0.13887562	0.0012297579	0.0
segsize3	0.022995811	0.0	0.0	0.023913125	0.0	1.0508113e-14	0.0	0.16549046	0.0013462139	0.0
segsize4	0.06021024	0.0	1.6417648e-08	0.06939767	0.0	0.034181796	3.1440464e-05	0.13514726	0.0	1.0118653e-17
segsize5	0.043352243	0.0	0.0	0.061545238	0.0	0.057811376	0.012842941	0.008340867	0.0	0.0
segsize6	0.028578807	0.0	2.7076325e-12	0.04733224	0.0	0.069337286	2.1197433e-31	0.0	0.0027099322	0.0
segsize7	0.014164024	0.0	0.0012747697	0.033359647	0.0	0.07290568	0.0	0.0	0.010288976	0.0
segsize8	0.0040691067	0.0	0.0008181271	0.013560779	0.0	0.044339802	0.0	0.0	0.012869137	0.0
segsize9	6.733319e-09	0.0	0.0002766781	0.006023952	0.0	0.026045298	0.0	0.0	0.010276021	0.0
segsize10	0.0017068412	0.0	0.00023649815	0.006554047	0.0	0.03427984	0.0	0.0	0.01994651	0.0
segsize11	0.0049494333	0.0	5.8065887e-28	0.0060337842	0.0	0.029506799	0.0	0.0	0.025953038	0.0
segsize12	0.007092776	0.0	0.0	0.0049202153	0.0	0.018864557	0.0	0.0	0.02949286	0.0
segsize13	0.0073858257	0.0	0.00062983215	0.0021208501	0.0	0.0090773655	0.0	0.0	0.022463413	0.0
segsize14	0.0057095494	0.0	0.0008453974	0.0003589416	0.0	0.0035426104	0.0	0.0	0.015266679	0.0
segsize15	0.01565491	0.0	0.0024699026	0.0	4.695235e-07	1.3466385e-10	0.0033675167	0.0	0.023049189	0.0044727568
segsize16	0.005899549	0.0	0.0018216444	0.0	0.080420464	0.0	1.1248625e-06	0.0	0.010004243	0.0
segsize17	0.0050488543	0.0	0.0025968866	0.0	0.09959758	0.0	0.0063150455	0.0	0.014451364	0.0
segsize18	0.0019693715	0.0	0.0019581963	0.0	0.07827508	0.0	0.004097693	0.0	0.007222037	0.0
segsize19	0.0018959119	0.0	0.0015523835	0.0	0.1044004	0.0	0.0006744744	0.0	0.0055897334	0.0
segsize20	0.0002698968	0.0	0.0011055054	0.0	0.11596717	0.0	0.0	0.0	0.0019068272	0.0
segsize21	0.0	0.0	0.0028762917	0.0	0.18643995	0.0	0.0022071968	0.0	0.0031378844	0.0
segsize22	0.0	0.0	0.0033376936	0.0	0.33489892	0.0	0.0	0.0	0.0	0.0
changepoint1	0.0068887365	0.0	0.0071347356	0.0	0.0	0.0	0.0	0.0122814765	0.005539755	0.37269115
changepoint2	0.0	0.0	0.0017858386	0.003245506	0.0	0.024143575	0.0	0.0	0.020854276	0.62283605
changepoint3	0.0	0.0	0.0054709287	0.30293664	0.0	2.9192194e-38	0.0	0.0	0.059459105	0.0
changepoint4	0.14290285	0.0	0.003994202	0.15885514	0.0	0.004959059	0.0	0.0	0.041561097	0.0
changepoint5	0.44428402	0.0	0.00082252297	0.004844484	0.0	1.9661044e-05	0.0	0.00079058536	0.018683923	0.0
changepoint6	0.05230508	0.0	0.0	0.0	0.0	0.004252591	0.2524757	0.0	0.001467151	0.0
changepoint7	0.014423439	0.0	0.0	0.0	0.0	0.00029469654	0.26237753	0.0	4.153159e-07	0.0
changepoint8	0.014088429	0.0	2.9069683e-06	9.889245e-24	0.0	0.0013872512	0.23337492	3.5410914e-05	0.00021328038	0.0
changepoint9	0.0041292543	0.09532771	7.194473e-06	0.00015366427	0.0	0.001317238	0.16690591	1.1459734e-05	3.8996077e-05	0.0
changepoint10	0.0011077992	0.9000831	4.319373e-06	5.326332e-10	0.0	0.00066353806	0.051491853	0.00018363229	0.0	0.0
bp10MB1	9.822054e-27	0.0	0.6022435	0.020069819	0.0	0.00029813833	0.0	2.3644418e-37	0.20542698	0.0
bp10MB2	3.1970535e-21	0.0	0.23448054	0.07913685	0.0	0.074118346	0.0	0.0	0.23467234	0.0
bp10MB3	0.04892069	0.0	0.0034274226	0.07653932	0.0	0.058441777	0.0	0.06625104	0.018111803	0.0
bpchrarm1	0.0	0.0	0.07629541	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bpchrarm2	0.0	0.0	0.0402516	0.0	0.0	0.0	0.0	0.0	0.03889186	0.0
bpchrarm3	0.011512209	0.0	0.0010547244	0.026530609	0.0	0.0060631507	0.0	0.017476512	0.029506654	0.0
bpchrarm4	0.0003655807	0.0	0.0	0.0056429156	0.0	0.01647478	0.0	0.0064828834	0.0	0.0
bpchrarm5	0.0	0.0045891004	0.0	0.0	0.0	0.0	0.0038366439	0.004323578	0.0	0.0
osCN1	0.0	0.0	0.0012242987	0.0	0.0	0.32738665	0.0	0.19841138	0.08663307	0.0
osCN2	0.021068187	0.0	0.0	0.035130735	0.0	0.078460164	0.0	0.07818114	0.021291774	0.0
osCN3	0.003213453	0.0	0.0	0.0074132965	0.0	0.0	0.0	0.0032193665	0.0	0.0
