	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.0	0.0	0.0	0.17309603	0.0	2.1084164e-25	0.0	0.0025429567	0.00053818175	0.0
segsize2	0.0	0.0	0.0	0.14485519	0.0	0.005546709	0.0	5.722838e-16	0.001262295	0.0044489987
segsize3	0.0	0.0	0.0	0.17022987	0.0	0.0262252	0.0	5.977335e-14	0.001350628	0.02372232
segsize4	6.7690425e-20	0.0	3.5103435e-29	0.13490626	6.1057327e-12	0.073250815	0.0	0.031604704	0.0	0.06018099
segsize5	0.0	0.0	1.5740406e-14	0.006479001	0.0	0.062734485	0.0	0.05541545	0.0	0.04356591
segsize6	0.0	0.0	0.0	0.0	1.1364357e-06	0.05156795	0.0	0.06540557	4.0883547e-11	0.031579826
segsize7	0.0	0.0	0.0	0.0	0.0013231245	0.03403232	0.0	0.069253296	0.009215989	0.01443192
segsize8	0.0	0.0	0.0	0.0	0.0007656777	0.013377961	0.0	0.04243582	0.012547291	0.0043980274
segsize9	0.0	0.0	0.0	0.0	0.00028461847	0.00570053	0.0	0.025315333	0.009943203	9.0053004e-10
segsize10	0.0	0.0	0.0	0.0	0.00022793112	0.0057264557	0.0	0.033983912	0.019649243	0.0014709876
segsize11	0.0	0.0	0.0	0.0	7.228435e-21	0.005061547	0.0	0.029580344	0.025959497	0.0041115554
segsize12	0.0	0.0	0.0	0.0	0.0	0.0035311594	0.0	0.020158075	0.029501362	0.006243645
segsize13	0.0	0.0	0.0	0.0	0.0005969074	0.0015707533	0.0	0.009582925	0.022613527	0.0070598023
segsize14	0.0	0.0	0.0	0.0	0.0008450797	2.6372249e-22	0.0	0.0041354233	0.015141208	0.0059670745
segsize15	0.00708887	0.0	9.726103e-17	0.0	0.0023185173	0.0	0.00011456029	0.00045253613	0.023280563	0.016265148
segsize16	0.0	0.0	1.7290482e-13	0.0	0.0017768416	0.0	0.079295196	3.8309267e-37	0.0102897985	0.006690286
segsize17	0.0	0.0	0.006558421	0.0	0.0026262177	0.0	0.097860545	0.0	0.014828077	0.00533125
segsize18	0.0	0.0	0.003863347	0.0	0.0019634003	0.0	0.075219475	0.0	0.007235572	0.0029677993
segsize19	0.0	0.0	0.0013372982	0.0	0.0015293563	0.0	0.10317458	0.0	0.005786397	0.0020551267
segsize20	0.0	0.0	1.1485936e-20	0.0	0.0011002873	0.0	0.11643881	0.0	0.0019404572	0.0005840906
segsize21	0.0	0.0	0.0013604653	0.0	0.002817923	0.0	0.18958645	0.0	0.003326272	0.0
segsize22	0.0	0.0	0.0	0.0	0.0033187182	0.0	0.33831036	0.0	0.0	0.0
changepoint1	0.37226838	0.0	0.0	0.01263912	0.007132483	0.0	0.0	0.0	0.005561163	0.007371281
changepoint2	0.62063426	0.0	0.0	0.0	0.0019339441	0.001641974	0.0	0.024946505	0.02041281	0.0
changepoint3	0.0	0.0	0.0	0.0	0.0053463546	0.31065708	0.0	2.5692246e-25	0.062084157	0.0
changepoint4	0.0	0.0	0.0	0.0	0.003940519	0.16297393	0.0	0.005104346	0.042417955	0.14027275
changepoint5	0.0	0.0	0.0	3.5591416e-05	0.0008635327	0.0058982065	0.0	7.8914e-06	0.017195126	0.4373756
changepoint6	0.0	0.0	0.25850683	0.0	0.0	0.0	0.0	0.004707048	0.0012005073	0.052212883
changepoint7	0.0	0.0	0.26990506	0.0	0.0	0.0	0.0	0.00039291361	1.7711785e-07	0.015196387
changepoint8	0.0	0.0	0.23931986	3.694333e-05	2.542966e-06	4.6141287e-24	0.0	0.0016984476	0.00014069634	0.014615103
changepoint9	0.0	0.09987898	0.16960509	2.4927682e-10	5.4841903e-06	0.00017499035	0.0	0.0014813544	5.8361366e-06	0.0044246167
changepoint10	0.0	0.89129645	0.049543664	0.00013947958	9.0243907e-07	7.879962e-06	0.0	0.00069111615	0.0	0.0012877875
bp10MB1	0.0	0.0	0.0	4.16874e-40	0.602537	0.0055215345	0.0	0.011444567	0.21122772	2.8509522e-24
bp10MB2	0.0	0.0	0.0	0.0	0.23449215	0.06992867	0.0	0.085063554	0.2359259	1.3930838e-18
bp10MB3	0.0	0.0	0.0	0.06580242	0.0034912624	0.07810805	0.0	0.05593083	0.01754753	0.049030125
bpchrarm1	0.0	0.0	0.0	0.0	0.076500915	0.0	0.0	0.0	0.0	0.0
bpchrarm2	0.0	0.0	0.0	0.0	0.039936423	0.0	0.0	0.0	0.03993072	0.0
bpchrarm3	0.0	0.0	0.0	0.019827813	0.0010892432	0.025639767	0.0	0.0070162937	0.030001994	0.010917339
bpchrarm4	0.0	0.0	0.0	0.0056899744	0.0	0.0057354835	0.0	0.015871035	0.0	0.00032344676
bpchrarm5	0.0	0.008824615	0.0	0.00265679	0.0	0.000960236	0.0	0.0	0.0	0.0
osCN1	0.0	0.0	0.0	0.18350318	0.0012315491	0.0	0.0	0.32019162	0.08179373	0.0
osCN2	0.0	0.0	0.0	0.07671325	0.0	0.036774997	0.0	0.07558616	0.020144457	0.022879986
osCN3	8.397006e-06	0.0	0.0	0.0033890675	0.0	0.007651269	0.0	0.0	0.0	0.0030178747
