	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.0	0.0	0.0	0.0	0.0027781937	0.16412832	0.0	0.0	0.0	3.5079234e-30
segsize2	0.004592311	0.0	0.0	0.0	4.8897637e-13	0.13690092	0.0	0.0	0.005323851	0.00096901075
segsize3	0.023493765	0.0	0.0	0.0	0.0	0.16170096	0.0	0.0	0.025980925	0.0011851016
segsize4	0.059537902	0.0	0.0	0.0	0.026292639	0.12742965	0.023138572	0.0022569117	0.07637686	0.0
segsize5	0.043113545	0.0	0.0	0.0	0.05013316	0.007103654	0.02363057	0.0	0.06704945	0.0
segsize6	0.031855855	0.0	0.00018172599	0.0	0.06511914	0.0	2.1915906e-05	0.0	0.053619288	0.0
segsize7	0.014905411	0.0	0.0014456863	0.0	0.07003914	0.0	0.0	0.0	0.03593134	0.008637724
segsize8	0.0046603526	0.0	0.000841097	0.0	0.04353655	0.0	0.0	0.0	0.014104985	0.011993545
segsize9	3.1963243e-06	0.0	0.00030993382	0.0	0.025726318	0.0	0.0	0.0	0.0058999043	0.009777704
segsize10	0.0016225937	0.0	0.00025686168	0.0	0.035396338	0.0	0.0	0.0	0.005621399	0.01900762
segsize11	0.0048047947	0.0	0.0	0.0	0.031439416	0.0	0.0	0.0	0.0042172046	0.025272086
segsize12	0.0064100884	0.0	0.0	0.0	0.021839553	0.0	0.0	0.0	0.0014271433	0.029359724
segsize13	0.007378983	0.0	0.00053658633	0.0	0.010939601	0.0	0.0	0.0	0.0002696222	0.02241343
segsize14	0.0060289283	0.0	0.0007360519	0.0	0.0046430505	0.0	8.284823e-15	7.6495977e-31	0.0	0.015054879
segsize15	0.014993968	0.0057215844	0.0020086912	0.0	2.8445292e-31	0.0	0.0100044375	0.009328395	0.0	0.02285299
segsize16	0.005816284	0.07846447	0.001664012	0.0	0.0	0.0	0.0029980398	0.0	0.0	0.010215227
segsize17	0.0043450003	0.10154328	0.0024095976	0.0	0.0	0.0	0.012472273	0.0	0.0	0.014518864
segsize18	0.0014568712	0.07611457	0.0019073294	0.0	0.0	0.0	0.0070280917	0.0	0.0	0.0073169596
segsize19	0.0014731203	0.10309807	0.0015334687	0.0	0.0	0.0	0.0035662563	0.0	0.0	0.0056561437
segsize20	0.00031065108	0.11440226	0.0010617295	0.0	0.0	0.0	1.5834471e-16	0.0	0.0	0.0019553069
segsize21	0.0	0.18817638	0.0027626266	0.0	0.0	0.0	0.0035234927	0.0	0.0	0.0031645084
segsize22	0.0	0.3324794	0.0033446178	0.0	0.0	0.0	0.0	0.0	0.0	0.0
changepoint1	0.007518326	0.0	0.007154956	0.0	0.0	0.011626299	0.0	0.37179878	0.0	0.005455183
changepoint2	0.0	0.0	0.001954144	0.0	0.026010744	0.0	0.0	0.61660737	0.0014571721	0.020124186
changepoint3	0.0	0.0	0.005462803	0.0	0.0	0.0	0.0	0.0	0.30191493	0.06483716
changepoint4	0.14079843	0.0	0.004019912	0.0	0.005847976	0.0	0.0	0.0	0.15794761	0.044324156
changepoint5	0.44488448	0.0	0.0007281324	0.0	0.0016971475	5.06304e-25	0.0	0.0	0.0025273368	0.018658267
changepoint6	0.050764766	0.0	0.0	0.0	0.0061945817	0.0	0.235728	0.0	0.0	0.0011039142
changepoint7	0.01411145	0.0	0.0	0.0	0.0011319871	0.0	0.24598405	0.0	0.0	1.1168986e-07
changepoint8	0.01377859	0.0	2.8042498e-06	0.0	0.0020222256	7.0609734e-05	0.21940391	0.0	2.2861248e-10	0.00015164216
changepoint9	0.003913413	0.0	7.528948e-06	0.090143695	0.0016563847	2.7748269e-05	0.15915965	0.0	0.00021553744	3.4749337e-21
changepoint10	0.0010585937	0.0	5.0022123e-07	0.9007797	0.0006706606	0.00014577627	0.053340774	0.0	3.763948e-05	0.0
bp10MB1	7.491904e-24	0.0	0.602782	0.0	1.7616008e-05	0.0	0.0	0.0	0.017776469	0.21450864
bp10MB2	1.3415237e-25	0.0	0.23413172	0.0	0.08585959	0.0	0.0	0.0	0.06581679	0.23776408
bp10MB3	0.049165394	0.0	0.0035115993	0.0	0.05617434	0.06657936	0.0	0.0	0.07876701	0.017636225
bpchrarm1	0.0	0.0	0.07675845	0.0	0.0	0.0	0.0	0.0	0.0	1.85654e-40
bpchrarm2	0.0	0.0	0.039980892	0.0	0.0	0.0	0.0	0.0	0.0	0.04016278
bpchrarm3	0.010881702	0.0	0.0009754053	0.0	0.008220078	0.018100208	0.0	0.0	0.023950806	0.030043682
bpchrarm4	0.00072499947	0.0	0.0	0.0	0.014948404	0.006034985	0.0	0.0	0.0065082307	0.0
bpchrarm5	0.0	0.0	0.0	0.009076545	0.0	0.002053416	0.0	0.0	0.0011556948	0.0
osCN1	0.0	0.0	0.0015291768	0.0	0.32570398	0.21536013	0.0	0.0	0.0	0.076555036
osCN2	0.022354275	0.0	0.0	0.0	0.075961195	0.0797867	0.0	0.0	0.038344283	0.019324142
osCN3	0.0032420114	0.0	0.0	0.0	0.0	0.002951279	0.0	8.5125e-06	0.0077585676	0.0
