	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.0	2.5428516e-08	0.00017554674	4.1470772e-33	0.0030704509	0.0	0.0	0.17890027	0.0	0.0
segsize2	0.0	0.0	0.0010696803	0.0060321004	0.0	0.0	0.0	0.14735527	0.004606676	0.0
segsize3	0.0	1.8e-44	0.001502234	0.027403163	0.0	0.0	0.0	0.16803473	0.02346017	0.0
segsize4	0.033676032	0.0	0.0	0.08853925	0.0	0.087537885	0.0	0.10625206	0.06587632	0.0
segsize5	0.0	0.0	0.0	0.06998632	0.045185253	0.041532855	0.0	1.4242717e-06	0.045026053	0.0
segsize6	0.0	0.00013641517	0.0024181234	0.050713424	0.06440498	1.7267253e-23	0.0	0.0	0.031010691	0.0
segsize7	0.0	0.0014689383	0.009104306	0.033906493	0.07219989	0.0	0.0	0.0	0.016145231	0.0
segsize8	0.0	0.0008335361	0.011931304	0.012879234	0.045742452	0.0	0.0	0.0	0.005045261	0.0
segsize9	0.0	0.0003077963	0.009586596	0.005166654	0.02735684	0.0	0.0	0.0	0.00038605157	0.0
segsize10	0.0	0.00025352632	0.018665412	0.0045244177	0.037918627	0.0	0.0	0.0	0.002018942	0.0
segsize11	0.0	0.0	0.024787718	0.0035218776	0.03356231	0.0	0.0	0.0	0.004887992	0.0
segsize12	0.0	0.0	0.028686447	0.0010680438	0.023902416	0.0	0.0	0.0	0.0063082753	0.0
segsize13	0.0	0.0005871067	0.021955632	3.0777812e-06	0.012178599	0.0	0.0	0.0	0.0067560086	0.0
segsize14	0.0	0.0007460187	0.014858552	1.054e-42	0.0047474373	0.0	0.0	0.0	0.005984147	0.0
segsize15	0.012636766	0.0019931805	0.022297848	0.0	2.7599005e-18	0.011276203	0.0	0.0	0.014747011	0.0031511474
segsize16	0.0	0.0016000858	0.010146589	0.0	0.0	0.0052738674	0.0	0.0	0.005048214	0.079752944
segsize17	0.0	0.0024723094	0.014602178	0.0	0.0	0.011890461	0.0	0.0	0.0032740298	0.09910192
segsize18	0.0	0.0018590068	0.007143649	0.0	0.0	0.006645457	0.0	0.0	0.0017090101	0.0757516
segsize19	0.0	0.0014274027	0.005685595	0.0	0.0	0.0056283614	0.0	0.0	0.00055455125	0.10479005
segsize20	0.0	0.0010316683	0.0019809925	0.0	0.0	0.0	0.0	0.0	0.0003235488	0.11632129
segsize21	0.0	0.0027284482	0.0031166158	0.0	0.0	0.0034675908	0.0	0.0	0.0	0.18869448
segsize22	0.0	0.003342822	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33243656
changepoint1	0.35901013	0.007134469	0.0055552693	0.0	0.0	0.0	0.0	0.011308893	0.0073863543	0.0
changepoint2	0.5946702	0.0019748393	0.01978495	0.0003745405	0.028277742	0.0	0.0	0.0	0.0	0.0
changepoint3	0.0	0.0063206647	0.065484196	0.29245362	0.0	0.0	0.0	0.0	0.0	0.0
changepoint4	0.0	0.0046228883	0.045252528	0.15507361	0.0028552476	0.0	0.0	0.0	0.13682552	0.0
changepoint5	0.0	0.0010414651	0.018880412	0.0017371346	4.2679327e-31	0.0	0.0	2.4626558e-37	0.43603912	0.0
changepoint6	0.0	0.0	0.0013737526	0.0	0.004433556	0.2114292	0.0	0.0	0.051124036	0.0
changepoint7	0.0	0.0	1.2282276e-06	0.0	0.00053562794	0.21736501	0.0	0.0	0.01460517	0.0
changepoint8	0.0	2.6563766e-06	0.00021713926	2.3916245e-09	0.0013481561	0.19589418	0.0	9.112932e-19	0.013772765	0.0
changepoint9	0.0	9.207581e-06	2.0203315e-05	0.0002316485	0.0012219661	0.14723024	0.0743805	4.204725e-08	0.0038776868	0.0
changepoint10	0.0	7.6250865e-07	0.0	6.561325e-05	0.00048699472	0.054828744	0.91735154	8.363296e-05	0.0009574033	0.0
bp10MB1	0.0	0.60154027	0.21354005	0.024045529	1.0402143e-06	0.0	0.0	0.0	3.3533747e-24	0.0
bp10MB2	0.0	0.23389044	0.23588264	0.06363694	0.09345255	0.0	0.0	0.0	3.4157687e-22	0.0
bp10MB3	0.0	0.0037096152	0.01830552	0.078755304	0.05511332	0.0	0.0	0.062972866	0.051148873	0.0
bpchrarm1	0.0	0.076779015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bpchrarm2	0.0	0.039854184	0.040111378	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bpchrarm3	0.0	0.0010832665	0.02969728	0.02398651	0.008517765	0.0	0.0	0.018311642	0.010782886	0.0
bpchrarm4	0.0	0.0	0.0	0.007314682	0.015154569	0.0	0.0	0.0053870725	0.0009662531	0.0
bpchrarm5	0.0	0.0	0.0	0.0010561459	0.0	0.0	0.008267993	0.00260059	0.0	0.0
osCN1	0.0	0.0012479923	0.07666015	0.0	0.34222183	0.0	0.0	0.21663631	0.0	0.0
osCN2	0.0	0.0	0.01951841	0.03980643	0.07611047	0.0	0.0	0.079620846	0.025939995	0.0
osCN3	6.980225e-06	0.0	0.0	0.0077181156	0.0	0.0	0.0	0.002534341	0.0034057244	0.0
