	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.0	0.0	0.0	0.0	0.0	0.15633623	0.0	0.0	2.9565856e-24	0.0010727737
segsize2	2.1404687e-36	0.0	0.0	0.0	0.0	0.13635737	0.0	0.0033023858	0.0	0.001948202
segsize3	1.1336072e-17	0.0	0.0	0.0	0.019194156	0.16558349	0.0	0.021694278	4.126483e-31	0.0018902052
segsize4	6.587477e-05	0.0	2.1336857e-18	1.2177238e-17	0.05751641	0.14075589	0.0	0.066089906	0.034390803	1.1200956e-18
segsize5	3.8754914e-33	0.0	0.0	7.36237e-05	0.044003557	0.013769455	0.0	0.058766264	0.060743827	0.0
segsize6	3.752525e-18	0.0	0.0	1.9595078e-20	0.033460617	1.21385e-40	0.0	0.04947801	0.07138509	4.372693e-18
segsize7	0.0012072978	0.0	0.0	0.0	0.016824536	0.0	0.0	0.03423018	0.073625356	0.009445721
segsize8	0.0007340401	0.0	0.0	0.0	0.0052734595	0.0	0.0	0.014352475	0.044341765	0.012763612
segsize9	0.00026707578	0.0	6.895037e-36	0.0	0.0004015434	0.0	0.0	0.006594653	0.025632452	0.010438674
segsize10	0.00021398239	0.0	0.0	0.0	0.0017524878	0.0	0.0	0.006971508	0.034379777	0.020120483
segsize11	2.0687545e-33	0.0	0.0	0.0	0.004604979	0.0	0.0	0.0068079364	0.028945912	0.026331773
segsize12	0.0	0.0	0.0	0.0	0.0072686244	0.0	0.0	0.0055093197	0.017793313	0.030067071
segsize13	0.0006401032	0.0	0.0	0.0	0.006641906	0.0	0.0	0.0029152315	0.008288269	0.022935413
segsize14	0.00088903273	0.0	7.9165693e-35	1.4e-44	0.005599592	1.13488e-40	0.0	0.0002145153	0.003231031	0.015394905
segsize15	0.0024149152	0.0055392603	0.0032930141	6.7287884e-14	0.014804091	0.0	0.0	1.8016579e-32	5.0564035e-05	0.023485422
segsize16	0.0018646255	0.07746292	0.0	1.6843173e-07	0.0053624143	0.0	0.0	0.0	8.4447825e-26	0.010257831
segsize17	0.0025445952	0.10301305	0.0	0.00481339	0.0042354614	0.0	0.0	0.0	0.0	0.01477629
segsize18	0.0020191516	0.07574107	0.0	0.002801763	0.0019626087	3.9e-44	0.0	0.0	0.0	0.007256596
segsize19	0.0015138867	0.104928665	0.0	0.0009566248	0.0015709307	0.0	0.0	0.0	0.0	0.0056300513
segsize20	0.0010548851	0.11637143	0.0	0.0	1.6628254e-23	0.0	0.0	0.0	0.0	0.0019490423
segsize21	0.0027783734	0.18757431	0.0	0.0016454597	0.0	0.0	0.0	0.0	0.0	0.003136184
segsize22	0.0032734983	0.32936934	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
changepoint1	0.0071440637	5.896293e-30	0.37258014	0.0	0.0063969432	0.012875209	0.0	3.506081e-33	7.6875996e-36	0.0055326982
changepoint2	0.0018109772	0.0	0.62412006	0.0	0.0	0.0	0.0	0.0039728144	0.02414396	0.020745091
changepoint3	0.005829554	0.0	0.0	0.0	0.0	1.23524e-40	0.0	0.301423	6.4854656e-21	0.05721517
changepoint4	0.0041571045	7.0264996e-31	0.0	0.0	0.14434734	1.07106696e-17	0.0	0.15899773	0.0044808867	0.04011569
changepoint5	0.00080760167	7.1e-44	0.0	0.0	0.44705558	0.0035239288	0.0	0.006850522	5.8272144e-11	0.017387986
changepoint6	0.0	0.0	0.0	0.2546196	0.054011256	0.0	0.0	0.0	0.0042062323	0.0015214381
changepoint7	0.0	0.0	0.0	0.26843038	0.015157773	0.0	0.0	0.0	0.00023890586	3.8352206e-07
changepoint8	1.4816382e-06	0.0	0.0	0.23887691	0.0145974755	0.00015530994	0.0	1.7484464e-15	0.0014461299	0.00019551786
changepoint9	5.4678603e-06	1.3019925e-38	0.0	0.17183171	0.0042972867	9.7524215e-05	0.09454018	0.0001557851	0.0013875858	2.5274045e-05
changepoint10	1.2472988e-06	0.0	0.0	0.05294709	0.0011608212	0.00022863733	0.90252763	2.566622e-16	0.0007062998	1.1409312e-36
bp10MB1	0.6020289	0.0	0.0	0.0	2.9072838e-17	1.3319261e-14	0.0	0.018141326	0.00034404537	0.20648336
bp10MB2	0.23445348	0.0	0.0	0.0	5.052249e-12	9.355946e-28	0.0	0.0840675	0.07064095	0.23548554
bp10MB3	0.0034629446	0.0	0.0	0.0	0.048665024	0.0693405	0.0	0.074874215	0.058274034	0.017904311
bpchrarm1	0.0761184	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.4487877e-37
bpchrarm2	0.04047763	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.038712695
bpchrarm3	0.0011178259	0.0	0.0	0.0	0.010103579	0.018738862	0.0	0.026603175	0.004379941	0.030241996
bpchrarm4	0.0	0.0	0.0	0.0	0.00014670278	0.0077397493	0.0	0.0053034103	0.016809696	0.0
bpchrarm5	0.0	0.0	0.0	0.0030032883	0.0	0.0049535213	0.0029321508	0.0	0.0	0.0
osCN1	0.001101999	0.0	0.0	0.0	0.0	0.18577182	0.0	3.2125e-41	0.33228338	0.08808692
osCN2	0.0	0.0	0.0	0.0	0.020437235	0.08042955	0.0	0.035583556	0.07784979	0.021445647
osCN3	0.0	0.0	6.8327354e-06	0.0	0.0031455196	0.0033428555	0.0	0.0071003437	0.0	0.0
