	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.0	0.0	0.0	0.00027434353	0.14353502	0.0	0.0	0.0	0.00159301	0.0009846513
segsize2	0.0	0.0030226007	0.0	0.0011478958	0.12090345	0.0	0.0	1.5308423e-34	0.0	0.0052993465
segsize3	0.0	0.019643044	0.0	0.0013221047	0.14663568	0.0	0.0	6.161124e-16	0.0	0.024421783
segsize4	0.0	0.075166844	0.024314959	2.7238759e-33	0.13950269	0.0	0.0	0.0	0.0	0.08092168
segsize5	0.016979743	0.048107065	0.0	0.0	0.020573746	0.0	0.0	0.0	0.045102127	0.06532354
segsize6	3.014544e-12	0.03771527	0.0	3.3840856e-17	1.268e-42	0.0	0.0	4.2970377e-13	0.06331126	0.053853728
segsize7	0.0	0.020172164	0.0	0.007837183	0.0	0.0	0.0	0.001368023	0.072065845	0.03644695
segsize8	0.0	0.0070125856	0.0	0.011129193	0.0	0.0	0.0	0.000816725	0.0463107	0.014780818
segsize9	0.0	0.0011143256	0.0	0.009221461	0.0	0.0	0.0	0.0002925788	0.028309554	0.0060011894
segsize10	0.0	0.0023959144	0.0	0.018310616	0.0	0.0	0.0	0.0002467344	0.039102025	0.0060051535
segsize11	0.0	0.0047422796	0.0	0.024562936	0.0	0.0	0.0	0.0	0.03505201	0.0048901644
segsize12	0.0	0.005364769	0.0	0.028630273	0.0	0.0	0.0	0.0	0.0248518	0.0023451361
segsize13	0.0	0.005322794	0.0	0.022321178	0.0	0.0	0.0	0.00061324186	0.012814557	0.00039785466
segsize14	0.0	0.005628792	0.0	0.01496174	0.0	0.0	0.0	0.0007510571	0.0052237576	3.0992752e-22
segsize15	0.0	0.015205205	0.009703122	0.023084674	0.0	6.016076e-18	0.0	0.0021522413	0.0007305786	0.0
segsize16	0.0	0.0056815087	0.0	0.010488935	0.0	0.078193545	0.0	0.0016987652	5.344712e-33	0.0
segsize17	0.009950477	0.0038264948	0.0	0.01493589	0.0	0.10090244	0.0	0.0024295098	0.0	0.0
segsize18	0.0057869456	0.0017387525	0.0	0.0074457354	0.0	0.075778864	0.0	0.0018828163	0.0	0.0
segsize19	0.0024560844	0.0011786734	0.0	0.005936352	0.0	0.103952765	0.0	0.0014473634	0.0	0.0
segsize20	0.0	0.0	0.0	0.0020449471	0.0	0.11686349	0.0	0.0010853558	0.0	0.0
segsize21	0.0	0.0	0.0	0.0034995126	0.0	0.18894564	0.0	0.0027571053	0.0	0.0
segsize22	0.0	0.0	0.0	0.0	0.0	0.3353633	0.0	0.0033641164	0.0	0.0
changepoint1	0.0	0.0063580037	0.36352417	0.0057870424	0.011683137	0.0	0.0	0.0071239094	0.0	0.0
changepoint2	0.0	0.0	0.6024555	0.019300576	0.0	0.0	0.0	0.0020588369	0.030353885	0.0018233815
changepoint3	0.0	0.0	0.0	0.06194246	0.0	0.0	0.0	0.006360454	0.0	0.29185
changepoint4	0.0	0.13265826	0.0	0.04349014	0.0	0.0	0.0	0.0047107297	2.3067248e-20	0.15496255
changepoint5	0.0	0.4141125	0.0	0.018428516	0.0	0.0	0.0	0.0013360557	0.0	8.7941064e-11
changepoint6	0.24783383	0.052466393	0.0	0.0011619146	0.0	0.0	0.0	0.0	0.0046597854	0.0
changepoint7	0.2612488	0.015930949	0.0	3.923922e-07	0.0	0.0	0.0	0.0	0.00046340475	0.0
changepoint8	0.23437202	0.01504517	0.0	0.00015541777	0.00023407086	0.0	0.0	2.9301846e-06	0.0015004096	2.9770707e-08
changepoint9	0.16960707	0.0047813216	0.0	6.73027e-06	9.888717e-05	0.0	0.09524982	4.27165e-06	0.0013213967	0.00021164477
changepoint10	0.05176508	0.0013959298	0.0	0.0	0.00015236835	0.0	0.89479494	9.443401e-07	0.00057001255	3.808969e-05
bp10MB1	0.0	6.193016e-17	0.0	0.2214364	1.00892166e-32	0.0	0.0	0.6012719	1.3549628e-14	0.024635324
bp10MB2	0.0	4.7062656e-17	0.0	0.23896262	0.0	0.0	0.0	0.23357312	0.09627984	0.066919915
bp10MB3	0.0	0.05206932	0.0	0.017096339	0.068555534	0.0	0.0	0.0035810224	0.051154308	0.07884273
bpchrarm1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07722342	0.0	0.0
bpchrarm2	0.0	0.0	0.0	0.041251656	0.0	0.0	0.0	0.03956492	0.0	0.0
bpchrarm3	0.0	0.009071866	0.0	0.02997924	0.017802157	0.0	0.0	0.0011055616	0.008094753	0.023907669
bpchrarm4	0.0	0.002144987	0.0	0.0	0.006105206	0.0	0.0	0.0	0.0142502375	0.00702247
bpchrarm5	0.0	0.0	0.0	0.0	0.0022533794	0.0	0.009955242	0.0	0.0	0.0009335399
osCN1	0.0	0.0	0.0	0.07524095	0.2391095	0.0	0.0	0.00117618	0.34319082	0.0
osCN2	0.0	0.027684335	0.0	0.018604677	0.080517456	0.0	0.0	0.0	0.07369396	0.0397504
osCN3	0.0	0.0032417784	2.218772e-06	0.0	0.0023377412	0.0	0.0	0.0	0.0	0.0074301646
