	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	1.0298136e-16	0.0	0.0	0.15473808	0.0	0.0	0.0	0.0	0.0	0.0015206771
segsize2	0.0014019354	0.0	0.0047156187	0.13445798	0.0	0.0	0.0	0.0	0.0	0.0
segsize3	0.0016018464	0.0	0.025675299	0.16132392	0.0	0.019154673	0.0	0.0	0.0	0.0
segsize4	0.0	3.5358487e-05	0.07876346	0.14052172	0.0	0.057150844	0.0	0.0	0.0	0.025269276
segsize5	0.0	0.0	0.07073306	0.012367763	0.021659274	0.040764976	0.0	0.0	0.0	0.045001365
segsize6	0.0	0.0	0.056509554	0.0	3.769402e-05	0.029464893	0.000232862	0.0	0.0	0.05846088
segsize7	0.0073329033	0.0	0.038155295	0.0	0.0	0.013708124	0.0014574459	0.0	0.0	0.06435263
segsize8	0.010846273	0.0	0.014412321	0.0	0.0	0.003972448	0.000725373	0.0	0.0	0.04108594
segsize9	0.009154376	0.0	0.0053755613	0.0	0.0	3.5428143e-09	0.00016893251	0.0	0.0	0.024569249
segsize10	0.017943202	0.0	0.0044686543	0.0	0.0	0.0009868677	0.0	0.0	0.0	0.034675848
segsize11	0.023746895	0.0	0.0009789006	0.0	0.0	0.0017163072	0.0	0.0	0.0	0.0335593
segsize12	0.0274238	0.0	0.0	0.0	0.0	0.003927618	0.0	0.0	0.0	0.024100695
segsize13	0.022098424	0.0	0.0	0.0	0.0	0.0076909	0.0	0.0	0.0	0.011638786
segsize14	0.015491142	0.0	0.0	0.0	0.0	0.00856592	0.0	0.0	0.0	0.004366102
segsize15	0.02316405	0.028930936	0.0	0.0	0.0126239825	0.022700418	0.0	0.0	0.0	0.0
segsize16	0.010403987	0.0	0.0	0.0	0.004320416	0.0069520166	0.0011625732	0.0	0.08047954	0.0
segsize17	0.016172806	0.0	0.0	0.0	0.013776389	0.0049973982	0.0	0.0	0.13236292	0.0
segsize18	0.0075217034	0.0	0.0	0.0	0.0066489596	0.0029922705	0.0014668921	0.0	0.07674485	0.0
segsize19	0.0058858227	0.0	0.0	0.0	0.0029486709	0.0024524408	0.0011725908	0.0	0.09934107	0.0
segsize20	0.00203559	0.0	0.0	0.0	9.467936e-12	0.0006814229	0.000911183	0.0	0.11015257	0.0
segsize21	0.003537328	0.0	0.0	0.0	0.0035710414	0.0	0.0024632185	0.0	0.1808027	0.0
segsize22	0.0	0.0	0.0	0.0	0.0	0.0	0.0031683485	0.0	0.3201164	0.0
changepoint1	0.005702966	0.3677741	0.0	0.0130803045	0.0	0.008517213	0.0068163318	0.0	0.0	0.0
changepoint2	0.019539159	0.6032508	0.0008101402	0.0	0.0	0.0	0.0013082208	0.0	0.0	0.02628813
changepoint3	0.06863476	0.0	0.31549865	0.0	0.0	0.0	0.0037275166	0.0	0.0	0.0
changepoint4	0.04434911	0.0	0.16631103	0.0	0.0	0.14359216	0.0027881477	0.0	0.0	0.010988287
changepoint5	0.0149741955	0.0	0.008028342	9.228679e-06	0.0	0.45717826	5.410622e-05	0.0	0.0	0.010520692
changepoint6	0.0	0.0	0.0	0.0	0.24072206	0.052916624	0.0	0.0	0.0	0.0079974495
changepoint7	0.0	0.0	0.0	0.0	0.2523124	0.0138335265	0.0	0.0	0.0	0.0013567999
changepoint8	8.779381e-05	0.0	0.0	0.0001657598	0.22584236	0.013686099	0.0	0.0	0.0	0.002125279
changepoint9	1.0991657e-05	0.0	0.0	0.0003823788	0.16214086	0.003817477	1.5959777e-05	0.09402878	0.0	0.0015744587
changepoint10	0.0	0.0	0.0	0.0002301928	0.050832406	0.0010518465	2.3223224e-06	0.9008071	0.0	0.00060511264
bp10MB1	0.22299992	0.0	2.2588627e-05	0.0	0.0	0.0	0.61481816	0.0	0.0	0.021053175
bp10MB2	0.2427729	0.0	0.050673075	0.0	0.0	3.35e-43	0.23437513	0.0	0.0	0.0998713
bp10MB3	0.016697295	0.0	0.08152302	0.070091106	0.0	0.045072522	0.0034157082	0.0	0.0	0.052931756
bpchrarm1	6.5518485e-08	0.0	0.0	0.0	0.0	0.0	0.07958428	0.0	0.0	0.0
bpchrarm2	0.04271313	0.0	0.0	0.0	0.0	0.0	0.039453782	0.0	0.0	0.0
bpchrarm3	0.030414032	0.0	0.023798734	0.021220526	0.0	0.01133175	0.0	0.0	0.0	0.009291005
bpchrarm4	0.0	0.0	0.0071080886	0.0054595526	0.0	3.0863357e-05	0.0	0.0	0.0	0.013085057
bpchrarm5	0.0	0.0	0.0	0.0049882494	0.0025634684	0.0	0.0	0.005164128	0.0	0.0
osCN1	0.06834611	0.0	0.0	0.19724847	0.0	0.0	0.00071079726	0.0	0.0	0.30104378
osCN2	0.016995478	0.0	0.038018394	0.080915965	0.0	0.017857393	0.0	0.0	0.0	0.072666846
osCN3	0.0	8.7484095e-06	0.008420126	0.0027987605	0.0	0.0032348225	0.0	0.0	0.0	0.0
