	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.0	0.0	0.0005781555	0.0	0.0	0.0	0.0	0.0	0.0029096866	0.18059064
segsize2	0.005156539	0.0	0.0067585674	0.0	0.0009042158	0.0	0.0	0.0	5.4978934e-26	0.14772248
segsize3	0.024296694	0.0	0.029200386	0.0	0.0013832609	0.0	0.0	0.0	0.0	0.16743071
segsize4	0.06616594	0.0888166	0.09266266	0.0	0.0	0.0	0.0	0.03389712	0.0	0.10194203
segsize5	0.043636084	0.04579859	0.07259974	0.0	0.0	0.0	0.0	0.0026089824	0.0421296	1.2021749e-32
segsize6	0.028847674	0.006570585	0.052192323	0.00021335986	0.002070736	0.0	0.0	0.0	0.0615286	0.0
segsize7	0.014175059	0.0	0.034065723	0.0015323744	0.008735212	0.0	0.0	0.0	0.07060983	0.0
segsize8	0.0040583652	0.0	0.012365526	0.0008655696	0.011568245	0.0	0.0	0.0	0.045191918	0.0
segsize9	3.2443258e-20	0.0	0.0051463875	0.00032079095	0.009351706	0.0	0.0	0.0	0.02683267	0.0
segsize10	0.0016158402	0.0	0.003664124	0.00024193527	0.0182822	0.0	0.0	0.0	0.037878424	0.0
segsize11	0.004419842	0.0	0.0023887635	0.0	0.024499953	0.0	0.0	0.0	0.034028128	0.0
segsize12	0.0065235957	0.0	0.000106756226	0.0	0.028509563	0.0	0.0	0.0	0.023870884	0.0
segsize13	0.007095646	0.0	5.2075923e-25	0.0004792902	0.021938534	0.0	0.0	0.0	0.012190165	0.0
segsize14	0.0061165844	0.0	0.0	0.0007192724	0.0148433	0.0	0.0	2.525176e-30	0.004832278	0.0
segsize15	0.015135681	0.012276126	0.0	0.0018685309	0.022560336	0.0017929176	0.0	0.014026078	0.0	0.0
segsize16	0.0053830734	0.0056189885	0.0	0.0016817129	0.009999664	0.077394985	0.0	0.0	0.0	0.0
segsize17	0.0033534411	0.012987092	0.0	0.0022819552	0.014843508	0.1013971	0.0	0.0	0.0	0.0
segsize18	0.0013017424	0.0070172776	0.0	0.0018467846	0.007455298	0.075809985	0.0	0.0	0.0	0.0
segsize19	0.0007580271	0.005359216	0.0	0.0014269798	0.0057448503	0.10420156	0.0	0.0	0.0	0.0
segsize20	0.00011097602	0.00063604594	0.0	0.0010541143	0.0019913185	0.11453118	0.0	0.0	0.0	0.0
segsize21	0.0	0.003449871	0.0	0.002681561	0.0033219822	0.18904059	0.0	0.0	0.0	0.0
segsize22	0.0	0.0	0.0	0.0032958633	0.0	0.3358317	0.0	0.0	0.0	0.0
changepoint1	0.0076482273	0.0	0.0	0.007099392	0.005637087	0.0	0.0	0.35739568	0.0	0.0113205975
changepoint2	0.0	0.0	2.0806337e-05	0.0018703673	0.019659832	0.0	0.0	0.5920654	0.027606731	0.0
changepoint3	0.0	0.0	0.30130672	0.0060754954	0.06792603	0.0	0.0	0.0	0.0	0.0
changepoint4	0.1371523	0.0	0.15814447	0.004537747	0.046280704	0.0	0.0	0.0	0.0043932926	0.0
changepoint5	0.4417072	0.0	9.727009e-09	0.0009788871	0.018620713	0.0	0.0	0.0	0.0	0.0
changepoint6	0.051365174	0.20738935	0.0	0.0	0.0012594889	0.0	0.0	0.0	0.0040205624	0.0
changepoint7	0.014069176	0.21372943	0.0	0.0	1.11258e-06	0.0	0.0	0.0	0.00037508368	0.0
changepoint8	0.013548748	0.19162688	4.2918106e-07	2.3386895e-06	0.00021393271	0.0	0.0	0.0	0.0011629662	0.0
changepoint9	0.0037344936	0.14423005	0.0002422084	9.521576e-06	1.9811207e-05	0.0	0.0727736	0.0	0.0010706895	9.072899e-15
changepoint10	0.00089632097	0.05449388	6.820157e-05	1.5046987e-06	0.0	0.0	0.91669667	0.0	0.00041992505	8.734345e-05
bp10MB1	5.772514e-25	0.0	0.0090901265	0.60247695	0.21627522	0.0	0.0	0.0	0.012853174	0.0
bp10MB2	2.218755e-34	0.0	0.056008153	0.23380023	0.23606914	0.0	0.0	0.0	0.10134357	0.0
bp10MB3	0.050519474	0.0	0.081318386	0.0037187606	0.018054826	0.0	0.0	0.0	0.054286916	0.065970786
bpchrarm1	0.0	0.0	0.0	0.07718594	0.0	0.0	0.0	0.0	0.0	0.0
bpchrarm2	0.0	0.0	0.0	0.039525375	0.04068335	0.0	0.0	0.0	0.0	0.0
bpchrarm3	0.01131781	0.0	0.023834977	0.0010371887	0.029608445	0.0	0.0	0.0	0.009918396	0.019316869
bpchrarm4	0.0010333927	0.0	0.007657577	0.0	0.0	0.0	0.0	0.0	0.0142691815	0.0040809144
bpchrarm5	0.0	0.0	0.0012186646	0.0	0.0	0.0	0.010529665	0.0	0.0	0.0020080002
osCN1	0.0	0.0	0.0	0.0011702655	0.072988905	0.0	0.0	0.0	0.33140782	0.21935868
osCN2	0.025521567	0.0	0.041304935	0.0	0.018697497	0.0	0.0	0.0	0.074869476	0.077526465
osCN3	0.0033353262	0.0	0.008055214	0.0	0.0	0.0	0.0	6.675579e-06	0.0	0.0026444236
