	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.0	0.0	0.0	0.0014850305	0.00057567446	0.0	0.0	0.0	0.14441864	0.0
segsize2	0.0	0.0032271668	0.0042081727	0.0	0.0013875576	0.0	0.0	0.0	0.12196031	0.0
segsize3	0.0	0.020691037	0.022716062	0.0	0.0015325268	0.0	8.1278264e-29	0.0	0.14935407	0.0
segsize4	0.025158402	0.078023374	0.079229146	0.0	2.3055595e-22	0.0	0.0	0.0	0.1420806	0.0
segsize5	0.0	0.04833907	0.06415238	0.045890648	0.0	0.0	0.0	0.016306356	0.02012438	0.0
segsize6	0.0	0.036580693	0.052921843	0.064121425	0.0	0.0	6.4083747e-25	8.3544285e-20	4.756464e-37	0.0
segsize7	0.0	0.019013297	0.035785694	0.072894685	0.007585151	0.0	0.0013883954	0.0	0.0	0.0
segsize8	0.0	0.0060890294	0.014491948	0.046460073	0.011091672	0.0	0.0008147599	0.0	0.0	0.0
segsize9	0.0	0.00038700807	0.0063090897	0.027966876	0.009311408	0.0	0.0002945956	0.0	0.0	0.0
segsize10	0.0	0.0013747168	0.0064438377	0.039100833	0.018033428	0.0	0.0002772415	0.0	0.0	0.0
segsize11	0.0	0.003666886	0.0053873244	0.03487493	0.024538927	0.0	0.0	0.0	0.0	0.0
segsize12	0.0	0.0045838165	0.0030849976	0.024386538	0.02874611	0.0	0.0	0.0	0.0	0.0
segsize13	0.0	0.005230762	0.0008694024	0.01252967	0.022234628	0.0	0.00060034683	0.0	0.0	0.0
segsize14	0.0	0.004633291	5.6745877e-33	0.005220729	0.01515943	0.0	0.00080939726	0.0	0.0	0.0
segsize15	0.009979522	0.015065823	0.0	0.00074851676	0.023353891	3.8691126e-29	0.0021349322	0.0	0.0	0.0
segsize16	0.0	0.00584898	0.0	1.2131273e-22	0.010456026	0.07548675	0.001843532	1.1179635e-28	0.0	0.0
segsize17	0.0	0.0036948496	0.0	0.0	0.015182216	0.09764961	0.002462947	0.010695859	0.0	0.0
segsize18	0.0	0.0017481667	0.0	0.0	0.0075937933	0.07522334	0.0019098261	0.004862502	0.0	0.0
segsize19	0.0	0.0009446868	0.0	0.0	0.0059719933	0.10363019	0.0014942029	0.0029669187	0.0	0.0
segsize20	0.0	0.00023592223	0.0	0.0	0.0020699615	0.11835634	0.0010707964	0.0	0.0	0.0
segsize21	0.0	0.0	0.0	0.0	0.0034954397	0.18838733	0.0027940243	0.002472752	0.0	0.0
segsize22	0.0	0.0	0.0	0.0	0.0	0.34126645	0.003370632	0.0	0.0	0.0
changepoint1	0.36073384	0.0061552753	0.0	0.0	0.00596849	0.0	0.007096529	0.0	0.011527689	0.0
changepoint2	0.60412586	0.0	0.003032727	0.028847104	0.019105783	0.0	0.001917425	0.0	0.0	0.0
changepoint3	0.0	0.0	0.29607543	0.0	0.06075595	0.0	0.0063266535	0.0	0.0	0.0
changepoint4	0.0	0.13517733	0.15637861	9.585944e-11	0.043422423	0.0	0.0046158414	0.0	0.0	0.0
changepoint5	0.0	0.41858643	3.1671356e-13	4.6e-44	0.01972222	0.0	0.0012537813	0.0	2.07841e-33	0.0
changepoint6	0.0	0.05221478	0.0	0.004685943	0.0012443346	0.0	0.0	0.24749453	0.0	0.0
changepoint7	0.0	0.015550267	0.0	0.0003671341	5.2723397e-08	0.0	0.0	0.26077414	0.0	0.0
changepoint8	0.0	0.01494056	1.15945535e-20	0.0014227751	0.00017216196	0.0	2.4518909e-06	0.23380615	0.00022992761	0.0
changepoint9	0.0	0.0046837577	0.0002151204	0.0012858013	8.9445223e-10	0.0	4.81545e-06	0.16860417	0.000101766396	0.09513835
changepoint10	0.0	0.0013650454	2.7573291e-05	0.0005566841	0.0	0.0	6.616929e-10	0.052016634	0.00019003027	0.8991337
bp10MB1	0.0	2.855825e-20	0.021156967	0.002353293	0.2214704	0.0	0.6013943	0.0	1.6167747e-24	0.0
bp10MB2	0.0	1.3651255e-15	0.07274505	0.09405905	0.23793393	0.0	0.23363355	0.0	0.0	0.0
bp10MB3	0.0	0.05189622	0.0773394	0.051733453	0.017113956	0.0	0.0035584678	0.0	0.07078639	0.0
bpchrarm1	0.0	0.0	0.0	0.0	0.0	0.0	0.07731847	0.0	0.0	0.0
bpchrarm2	0.0	0.0	0.0	0.0	0.04147465	0.0	0.039439302	0.0	0.0	0.0
bpchrarm3	0.0	0.0075124092	0.024816534	0.0086130425	0.02974503	0.0	0.0010524342	0.0	0.018962448	0.0
bpchrarm4	0.0	0.0021484639	0.0067226533	0.014447078	0.0	0.0	0.0	0.0	0.0059010396	0.0
bpchrarm5	0.0	0.0009565868	0.0	0.0	0.0	0.0	0.0	0.0	0.0037926568	0.0057279808
osCN1	0.0	0.0	0.0	0.34179854	0.074836954	0.0	0.001120291	0.0	0.2276148	0.0
osCN2	0.0	0.02615126	0.03858251	0.07415012	0.01871389	0.0	0.0	0.0	0.080404885	0.0
osCN3	2.2768402e-06	0.003283079	0.007307711	0.0	0.0	0.0	0.0	0.0	0.002550353	0.0
