	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.0	0.0	0.14915255	0.0	0.0	0.0	0.0	0.0	0.0	0.0011306348
segsize2	0.0	0.0	0.13643655	0.0	0.0	0.0	0.0	0.0	0.0	0.002559883
segsize3	4.2620847e-08	0.0	0.1639474	0.019936595	0.0	0.0	0.019291062	0.0	0.0	0.002112319
segsize4	0.03456161	0.0	0.1462627	0.06370606	0.0	0.0	0.056595154	1.5551363e-05	2.4e-44	9.9468e-41
segsize5	0.061103832	0.0	0.017282108	0.05703652	0.0	0.0	0.04285828	0.0	1.0765458e-24	0.0
segsize6	0.07157395	0.0	0.0	0.048494406	0.0	0.0	0.032587346	1.2469593e-21	0.0	1.4661555e-18
segsize7	0.0740578	0.0	0.0	0.033287466	0.0	0.0	0.015765822	0.0012163295	0.0	0.009141254
segsize8	0.044472814	0.0	0.0	0.013579179	0.0	0.0	0.004534457	0.0007021979	0.0	0.012737593
segsize9	0.025557347	0.0	0.0	0.006178385	0.0	0.0	8.634794e-09	0.00023226847	0.0	0.010314804
segsize10	0.034099087	0.0	0.0	0.006892462	0.0	0.0	0.0011170135	0.00016900702	0.0	0.01998634
segsize11	0.029378911	0.0	0.0	0.005957363	0.0	0.0	0.0035298301	0.0	0.0	0.026270224
segsize12	0.018387957	0.0	0.0	0.0051716845	0.0	0.0	0.0051216166	0.0	0.0	0.030072719
segsize13	0.0066114715	0.0	0.0	0.0049317945	0.0	0.0	0.0088637555	0.0	0.0	0.023248434
segsize14	0.0032897939	0.0	0.0	0.00064317556	0.0	0.0	0.0052919695	0.0008177728	0.0	0.015494913
segsize15	5.9338887e-05	0.003922579	0.0	1.0628789e-38	2.3617144e-10	0.0	0.014478541	0.0023646322	4.1815155e-25	0.023955693
segsize16	0.0	0.080707796	0.0	0.0	0.0	0.0	0.0047621094	0.0017758488	2.7167222e-34	0.010320993
segsize17	0.0	0.098070644	0.0	0.0	0.0	0.0	0.0042979573	0.0026652066	0.004311173	0.014913042
segsize18	0.0	0.07667082	0.0	0.0	0.0	0.0	0.00212078	0.0019794337	0.00277668	0.0073399
segsize19	0.0	0.10306369	0.0	0.0	0.0	0.0	0.0014540924	0.0015544648	0.00090449775	0.0057888688
segsize20	0.0	0.11492045	0.0	0.0	0.0	0.0	1.1221824e-25	0.0011364793	0.0	0.0019641425
segsize21	0.0	0.188468	0.0	0.0	0.0	0.0	0.0	0.002880937	1.216126e-16	0.0033065705
segsize22	0.0	0.33417603	0.0	0.0	0.0	0.0	0.0	0.0033418708	0.0	0.0
changepoint1	0.0	0.0	0.012647439	0.0	0.3740057	0.0	0.006302018	0.0071100164	0.0	0.005757735
changepoint2	0.023423897	0.0	0.0	0.0045688986	0.6259944	0.0	0.0	0.0015824757	0.0	0.021042861
changepoint3	4.7262604e-23	0.0	0.0	0.31796685	0.0	0.0	0.0	0.0047516776	0.0	0.055751655
changepoint4	0.0052010007	0.0	2.0182e-41	0.16623181	0.0	0.0	0.14886084	0.0034434288	0.0	0.038694177
changepoint5	0.0004139747	0.0	1.1200456e-12	0.006305376	0.0	0.0	0.45310152	0.00065540563	0.0	0.016668677
changepoint6	0.006618842	0.0	0.0	0.0	0.0	0.0	0.054848675	0.0	0.26291987	0.0
changepoint7	0.0008641164	0.0	0.0	0.0	0.0	0.0	0.014457723	0.0	0.27194935	0.0
changepoint8	0.0022428187	0.0	0.00022275733	5.511632e-39	0.0	0.002243777	0.014315751	2.822973e-06	0.24033658	8.168787e-05
changepoint9	0.001750336	0.0	0.00011394773	0.00012032581	0.0	0.103981875	0.004318158	6.470556e-06	0.16883451	4.6892847e-06
changepoint10	0.00072659564	0.0	0.00020569914	3.159077e-19	0.0	0.88658917	0.0012742797	1.8302133e-06	0.047617882	9.194015e-06
bp10MB1	0.0011160669	0.0	1.3317653e-26	0.0132438755	0.0	0.0	1.7189862e-31	0.60485053	0.0	0.20953204
bp10MB2	0.06927833	0.0	0.0	0.084124625	0.0	0.0	3.295268e-27	0.2346538	0.0	0.23654984
bp10MB3	0.059376977	0.0	0.07183526	0.0743462	0.0	0.0	0.04757547	0.0032575238	0.0	0.017678864
bpchrarm1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07680721	0.0	2.762893e-10
bpchrarm2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04038286	0.0	0.038851634
bpchrarm3	0.0036848902	0.0	0.019387634	0.028152524	0.0	0.0	0.009737382	0.00081217784	0.0	0.030410558
bpchrarm4	0.019256348	0.0	0.015079466	0.0	0.0	0.0	2.808627e-05	0.0	0.0	0.0
bpchrarm5	0.0	0.0	0.0040746694	0.0	0.0	0.0071851197	0.00072452484	0.0	0.00034944946	0.0
osCN1	0.3236182	0.0	0.17828982	0.0	0.0	0.0	0.0	0.00082974933	0.0	0.08714057
osCN2	0.079273686	0.0	0.08143925	0.03199271	0.0	0.0	0.018561512	0.0	0.0	0.02116747
osCN3	0.0	0.0	0.0036227028	0.007131673	0.0	0.0	0.0032242786	0.0	0.0	0.0
