	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.0006815478	0.0	0.14919212	0.0	0.0	0.0	0.0	0.0	0.0	0.00079567253
segsize2	2.262e-42	0.0	0.13072814	0.0	0.0	0.0035000374	0.0	0.0	0.0	0.0018584852
segsize3	0.0	0.0	0.15925199	0.0	0.0	0.022463959	0.0	0.019135835	0.0	0.0019120531
segsize4	0.031886835	0.0	0.14094196	2.9872212e-13	1.4012544e-32	0.06916271	6.6516996e-12	0.056598492	0.0	2.1404616e-34
segsize5	0.055517115	0.0	0.01610115	0.0	0.0	0.062163435	0.011828847	0.04150895	0.0	0.0
segsize6	0.06796951	0.0	0.0	5.0454186e-05	0.0	0.052126434	2.2711245e-15	0.03171583	0.0	7.6344575e-09
segsize7	0.07142926	0.0	0.0	0.0013590152	0.0	0.035948824	0.0	0.014880345	0.0	0.008812276
segsize8	0.043346796	0.0	0.0	0.0007926637	0.0	0.014886274	0.0	0.0046287877	0.0	0.012215965
segsize9	0.025263906	0.0	0.0	0.00027317213	0.0	0.0065632695	0.0	0.00026221058	0.0	0.009988569
segsize10	0.034285415	0.0	0.0	0.00022470964	0.0	0.0068747182	0.0	0.0019305084	0.0	0.019401763
segsize11	0.029456882	0.0	0.0	0.0	0.0	0.005737696	0.0	0.005323044	0.0	0.02580465
segsize12	0.019330474	0.0	0.0	0.0	0.0	0.0037768078	0.0	0.007302533	0.0	0.029579666
segsize13	0.009726507	0.0	0.0	0.0006243757	0.0	0.0012324476	0.0	0.0071204314	0.0	0.022673657
segsize14	0.0037527678	0.0	0.0	0.00083600817	4.9515136e-23	1.0239552e-21	0.0	0.0059295916	0.0	0.015382689
segsize15	1.099069e-09	0.0044106175	0.0	0.0022282882	0.00601998	0.0	0.0050009484	0.016091084	0.0	0.02312027
segsize16	0.0	0.0803764	0.0	0.001682916	0.0	0.0	0.0014661052	0.0060979454	0.0	0.0101543935
segsize17	0.0	0.100694336	0.0	0.0025151374	0.0	0.0	0.005305221	0.0056474833	0.0	0.014707187
segsize18	0.0	0.077257186	0.0	0.001890575	0.0	0.0	0.00415638	0.0026871604	0.0	0.0071163154
segsize19	0.0	0.10332822	0.0	0.001536864	0.0	0.0	0.0009306863	0.0016411548	0.0	0.00572413
segsize20	0.0	0.11667455	0.0	0.001071794	0.0	0.0	3.5211277e-34	0.0006072658	0.0	0.0017769297
segsize21	0.0	0.1880305	0.0	0.0027441843	0.0	0.0	0.0011413073	1.714e-42	0.0	0.0032225288
segsize22	0.0	0.32922816	0.0	0.003343699	0.0	0.0	0.0	0.0	0.0	0.0
changepoint1	0.0	0.0	0.011861799	0.0071003754	0.37242717	0.0	0.0	0.006830658	0.0	0.0057420637
changepoint2	0.024090093	0.0	0.0	0.0017925752	0.6215422	0.0032705225	0.0	0.0	0.0	0.02068177
changepoint3	0.0	0.0	0.0	0.0055371607	0.0	0.30206975	0.0	0.0	0.0	0.060818586
changepoint4	0.008558286	1e-45	1e-45	0.0039265277	0.0	0.15927751	0.0	0.1444338	0.0	0.041650426
changepoint5	0.008248269	0.0	4.1863072e-11	0.0003398783	0.0	0.007825562	0.0	0.45431027	0.0	0.017387472
changepoint6	0.0067060515	0.0	0.0	0.0	0.0	0.0	0.25142893	0.051891956	0.0	0.001199851
changepoint7	0.0012316755	0.0	0.0	0.0	0.0	0.0	0.2638914	0.013853919	0.0	4.865559e-07
changepoint8	0.0021776482	0.0	0.00015621782	1.6207987e-06	0.0	1.8525805e-07	0.23414187	0.013742662	0.0	0.0001751312
changepoint9	0.001672784	0.0	8.89666e-05	5.473607e-06	0.0	0.0001865836	0.16720536	0.003883514	0.09673276	2.0617328e-05
changepoint10	0.00071715185	0.0	0.00019629883	1.0228424e-30	0.0	3.271914e-05	0.051388767	0.0010455921	0.8996424	0.0
bp10MB1	0.002485128	0.0	3.011286e-29	0.60280496	0.0	0.017115671	0.0	3.3720376e-27	0.0	0.21074364
bp10MB2	0.077048935	0.0	0.0	0.23469697	0.0	0.074306406	0.0	7.34572e-19	0.0	0.2377016
bp10MB3	0.057266016	0.0	0.069756836	0.0034022203	0.0	0.076458625	0.0	0.04794849	0.0	0.01751336
bpchrarm1	0.0	0.0	0.0	0.076749735	0.0	0.0	0.0	0.0	0.0	8.6301646e-16
bpchrarm2	0.0	0.0	0.0	0.04008268	0.0	0.0	0.0	0.0	0.0	0.03963536
bpchrarm3	0.006682015	0.0	0.018429931	0.0010200038	0.0	0.024948945	0.0	0.010475913	0.0	0.030006355
bpchrarm4	0.01520511	0.0	0.0075740125	0.0	0.0	0.0061914553	0.0	5.7499517e-05	0.0	0.0
bpchrarm5	0.0	0.0	0.0053970944	0.0	0.0	0.0	0.00211418	0.0	0.0036248476	0.0
osCN1	0.31953967	0.0	0.20341314	0.001366056	0.0	0.0	0.0	0.0	0.0	0.08218146
osCN2	0.075724214	0.0	0.083949745	0.0	0.0	0.036387537	0.0	0.01922667	0.0	0.020294523
osCN3	0.0	0.0	0.002960586	0.0	1.0688637e-05	0.007491903	0.0	0.0031904331	0.0	0.0
