	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.0	0.0	0.15493195	0.0	3.7137466e-32	0.0	0.0	0.0	0.0	0.0016880151
segsize2	0.0	0.0	0.13669212	0.0	5.250651e-11	3.6287653e-05	0.0	0.002855869	0.0	0.0024542902
segsize3	0.0	0.0	0.1661348	0.0	0.0	1.878364e-06	0.019720435	0.02153956	0.0	0.0024048425
segsize4	0.0	0.0	0.1441346	0.0	0.034574464	9.876949e-05	0.05832921	0.06690764	0.0	7.542592e-28
segsize5	0.0	0.0	0.014321881	0.0	0.06049497	0.0	0.044468626	0.059739783	0.0	0.0
segsize6	0.0	0.0	0.0	0.0	0.07140437	0.0	0.03345171	0.050579388	0.0	0.0
segsize7	0.0	0.0	0.0	0.0	0.073418655	0.0012197758	0.016569044	0.0347873	0.0	0.009485352
segsize8	0.0	0.0	0.0	0.0	0.044463567	0.0007347716	0.0052946014	0.014557946	0.0	0.012608529
segsize9	0.0	0.0	0.0	0.0	0.025576273	0.00028132586	0.0002135198	0.0064620352	0.0	0.010318942
segsize10	0.0	0.0	0.0	0.0	0.03368891	0.00021069487	0.0016886499	0.0072288215	0.0	0.020078778
segsize11	0.0	0.0	0.0	0.0	0.028798237	0.0	0.00446623	0.0068239938	0.0	0.02616835
segsize12	0.0	0.0	0.0	0.0	0.017892461	0.0	0.006516006	0.0049988055	0.0	0.0299646
segsize13	0.0	0.0	0.0	0.0	0.00842323	0.0006731324	0.006820282	0.0022644266	0.0	0.022720473
segsize14	0.0	0.0	0.0	0.0	0.0033981116	0.0009166309	0.005078592	0.0002211311	0.0	0.015271471
segsize15	2.1128964e-32	0.0	0.0	0.0	9.935186e-07	0.0023614152	0.013859067	0.0	0.008375726	0.023685776
segsize16	0.0	0.0	0.0	0.00028784518	0.0	0.0018320024	0.005256164	0.0	0.079127304	0.010121369
segsize17	0.0	0.0	0.0	0.0044087167	0.0	0.0026273862	0.0036331252	0.0	0.102270775	0.01457433
segsize18	0.0	0.0	0.0	0.0024131578	0.0	0.0019564407	0.0024543565	0.0	0.07705568	0.0071836784
segsize19	0.0	0.0	0.0	0.00025317047	0.0	0.0015513106	0.0015272081	0.0	0.10357441	0.0055867997
segsize20	0.0	0.0	0.0	0.0	0.0	0.0011576808	0.0	0.0	0.11417441	0.0019162403
segsize21	0.0	0.0	0.0	0.0012144687	0.0	0.0027873148	0.0	0.0	0.18736684	0.003081637
segsize22	0.0	0.0	0.0	0.0	0.0	0.003349033	0.0	0.0	0.32805485	0.0
changepoint1	0.3757635	0.0	0.011934313	0.0	0.0	0.007119213	0.006623715	0.0	0.0	0.0057935715
changepoint2	0.6242248	0.0	0.0	0.0	0.024427839	0.0018577231	0.0	0.0037335637	0.0	0.021100208
changepoint3	0.0	0.0	0.0	0.0	0.0	0.0057541365	0.0	0.31017306	0.0	0.056313254
changepoint4	0.0	0.0	0.0	0.0	0.0048502106	0.0041141873	0.14549203	0.1621216	0.0	0.039530884
changepoint5	0.0	0.0	4.4085968e-16	0.0	1.6371617e-33	0.0008548042	0.44949606	0.003246118	0.0	0.017851869
changepoint6	0.0	0.0	0.0	0.25983605	0.004741472	0.0	0.052244566	0.0	0.0	0.0013857434
changepoint7	0.0	0.0	0.0	0.27053228	0.00036408327	0.0	0.014679672	0.0	0.0	8.1250045e-07
changepoint8	0.0	0.0	8.0674894e-05	0.23930643	0.0016599083	7.5950765e-27	0.01442911	1.12e-43	0.0	0.00018395958
changepoint9	0.0	0.10126067	0.00022911187	0.1691193	0.0016083156	1.1161717e-05	0.0042948453	7.771735e-07	0.0	6.0434104e-05
changepoint10	0.0	0.89571744	0.0001904327	0.050370123	0.0007261402	4.5261825e-13	0.0012326705	2.0038831e-05	0.0	0.0
bp10MB1	0.0	0.0	6.3772e-41	0.0	1.695442e-05	0.60183215	0.0	0.011754992	0.0	0.20698197
bp10MB2	0.0	0.0	0.0	0.0	0.07093431	0.23436943	1.26e-43	0.080065235	0.0	0.23532312
bp10MB3	0.0	0.0	0.069837004	0.0	0.05877018	0.0034658376	0.048098	0.07582522	0.0	0.018042333
bpchrarm1	0.0	0.0	0.0	0.0	0.0	0.07618246	0.0	0.0	0.0	0.0
bpchrarm2	0.0	0.0	0.0	0.0	0.0	0.04035941	0.0	0.0	0.0	0.038250916
bpchrarm3	0.0	0.0	0.020092694	0.0	0.004786959	0.0011371445	0.009691103	0.026048457	0.0	0.030255565
bpchrarm4	0.0	0.0	0.007709851	0.0	0.016911762	0.0	0.00048751038	0.005228766	0.0	0.0
bpchrarm5	0.0	0.0030218395	0.005558192	0.0022584458	0.0	0.0	0.0	0.0	0.0	0.0
osCN1	0.0	0.0	0.18510416	0.0	0.3298516	0.0011464951	0.0	0.0	0.0	0.088194445
osCN2	0.0	0.0	0.079355665	0.0	0.07821607	0.0	0.020554015	0.035595905	0.0	0.021417553
osCN3	1.1701418e-05	0.0	0.003692546	0.0	0.0	0.0	0.0033298598	0.0072195227	0.0	0.0
