	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.0010115806	0.0	0.0	0.0	1.9663706e-07	0.0	0.0	0.0	0.0	0.16364153
segsize2	0.0019512605	0.0	0.0	0.0	5.357e-42	0.0036429164	0.0	0.0	0.0	0.14190286
segsize3	0.0018912761	0.0	0.0	0.019926025	7.7025615e-13	0.0232196	0.0	0.0	0.0	0.16971941
segsize4	6.0299e-41	6.32512e-05	1.3560257e-32	0.05867591	0.03065814	0.07069759	7.734469e-18	0.0	0.0	0.14123209
segsize5	0.0	0.0	0.0	0.043378823	0.054152716	0.06231517	0.010892557	0.0	0.0	0.009173607
segsize6	1.1602735e-09	1.7506145e-21	0.0	0.032350753	0.06566918	0.051418614	9.2908274e-33	0.0	0.0	0.0
segsize7	0.008952902	0.0012706515	0.0	0.015347236	0.06963347	0.03462146	0.0	0.0	0.0	0.0
segsize8	0.012148961	0.000759658	0.0	0.0045642266	0.042927787	0.014095031	0.0	0.0	0.0	0.0
segsize9	0.009977635	0.0002691727	0.0	0.00014533628	0.025183927	0.005877784	0.0	0.0	0.0	0.0
segsize10	0.019433202	0.0001981659	0.0	0.001659608	0.033970945	0.006299783	0.0	0.0	0.0	0.0
segsize11	0.025730327	6e-45	0.0	0.0038631216	0.03026783	0.005294668	0.0	0.0	0.0	0.0
segsize12	0.02948655	0.0	0.0	0.006480867	0.020018406	0.0037884354	0.0	0.0	0.0	0.0
segsize13	0.022652388	0.0005518613	0.0	0.0066685975	0.010256031	0.0014529781	0.0	0.0	0.0	0.0
segsize14	0.015139828	0.00090080075	0.0	0.0050210278	0.004325026	2.3701672e-15	0.0	0.0	0.0	0.0
segsize15	0.023272159	0.002190892	0.009214511	0.01582741	8.671974e-07	0.0	0.008133892	0.00031832117	0.0	0.0
segsize16	0.010247836	0.0017516447	0.0	0.00636448	4.843737e-33	0.0	2.0955665e-10	0.07940742	0.0	0.0
segsize17	0.014745629	0.0025973103	0.0	0.004729093	0.0	0.0	0.008981343	0.099628806	0.0	0.0
segsize18	0.0074761542	0.001953506	0.0	0.0021378666	0.0	0.0	0.0047104848	0.07582682	0.0	0.0
segsize19	0.0057614367	0.0015510399	0.0	0.0015290176	0.0	0.0	0.0019872736	0.10325636	0.0	0.0
segsize20	0.0019960885	0.0010420366	0.0	0.0003487827	0.0	0.0	2.2941886e-37	0.1168434	0.0	0.0
segsize21	0.0033287895	0.002784731	0.0	0.0	0.0	0.0	0.0022176441	0.18881358	0.0	0.0
segsize22	0.0	0.0033408555	0.0	0.0	0.0	0.0	0.0	0.33590528	0.0	0.0
changepoint1	0.0056728106	0.0071164393	0.37211996	0.0069717783	0.0	0.0	0.0	0.0	0.0	0.01271597
changepoint2	0.020218365	0.0018993525	0.6186561	0.0	0.024765078	0.0031687892	0.0	0.0	0.0	0.0
changepoint3	0.06011581	0.0053967945	0.0	0.0	6.874681e-22	0.31325006	0.0	0.0	0.0	0.0
changepoint4	0.04156001	0.003900148	0.0	0.14454624	0.0057526645	0.16374452	0.0	0.0	0.0	0.0
changepoint5	0.018159976	0.0007504449	0.0	0.45024	8.608433e-08	0.0046377587	0.0	0.0	0.0	2.1321344e-15
changepoint6	0.0012307285	0.0	0.0	0.052588325	0.0045373007	0.0	0.2507949	0.0	0.0	0.0
changepoint7	5.4140594e-07	0.0	0.0	0.014269164	0.0003805976	0.0	0.2634667	0.0	0.0	0.0
changepoint8	0.00016673366	1.0773639e-06	0.0	0.014172569	0.0016717908	9.591221e-34	0.23168527	0.0	1.8047735e-05	0.00018065446
changepoint9	1.9474475e-05	5.3583835e-06	0.0	0.0041468437	0.0013666078	0.00016609809	0.16480361	0.0	0.09973269	3.3926648e-05
changepoint10	0.0	1.9322012e-19	0.0	0.0011442963	0.00065756595	5.0502022e-14	0.050376877	0.0	0.8972621	0.00022202438
bp10MB1	0.21246408	0.6026656	0.0	2.761699e-22	0.013897693	0.0071003838	0.0	0.0	0.0	5.547911e-35
bp10MB2	0.23561016	0.23472533	0.0	3.9264196e-21	0.086376056	0.071591236	0.0	0.0	0.0	0.0
bp10MB3	0.017380415	0.0034259183	0.0	0.04901339	0.056366663	0.07810452	0.0	0.0	0.0	0.066074386
bpchrarm1	1.31331e-40	0.07664392	0.0	0.0	1.04e-42	0.0	0.0	0.0	0.0	0.0
bpchrarm2	0.040270377	0.040081393	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bpchrarm3	0.029670158	0.00107908	0.0	0.00943938	0.008217433	0.026176255	0.0	0.0	0.0	0.016430289
bpchrarm4	0.0	0.0	0.0	0.0005615244	0.0150298765	0.0058768266	0.0	0.0	0.0	0.0070819054
bpchrarm5	0.0	0.0	0.0	0.0	0.0	0.0	0.001949445	0.0	0.0029872258	0.0058976216
osCN1	0.08217011	0.0010834571	0.0	0.0	0.3181643	0.0	0.0	0.0	0.0	0.18263039
osCN2	0.020086208	0.0	0.0	0.020810757	0.07575181	0.035841685	0.0	0.0	0.0	0.07953065
osCN3	0.0	0.0	9.467762e-06	0.0030775112	0.0	0.007617871	0.0	0.0	0.0	0.0035326364
