	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.0	0.0005653036	0.0	0.0	0.0	0.0	0.18002373	0.002634959	0.0	0.0
segsize2	0.0	0.0070027243	0.0	0.0047670505	0.0	0.0009149231	0.14807634	1.7521493e-16	0.0	0.0
segsize3	0.0	0.0300189	0.0	0.023383053	0.0	0.001546525	0.16851439	0.0	0.0	0.0
segsize4	0.0	0.096939	0.087130204	0.06478416	0.03560889	0.0	0.105689034	0.0	0.0	0.0
segsize5	0.0	0.07665703	0.044799015	0.041843873	0.0	0.0	3.6561826e-11	0.038827598	0.0	0.0
segsize6	0.0	0.05533939	0.0	0.028403182	0.0	0.0	0.0	0.059209548	0.00051426573	0.0
segsize7	0.0	0.03598654	0.0	0.013583768	0.0	0.0065731388	0.0	0.06725406	0.001723482	0.0
segsize8	0.0	0.012857947	0.0	0.0043466673	0.0	0.010085664	0.0	0.043454763	0.00087254244	0.0
segsize9	0.0	0.0045504365	0.0	0.00028168526	0.0	0.008527594	0.0	0.026381385	0.00023979016	0.0
segsize10	0.0	0.0027095717	0.0	0.0017301713	0.0	0.01715981	0.0	0.037475295	9.394791e-05	0.0
segsize11	0.0	1.8062694e-08	0.0	0.0034860473	0.0	0.022884361	0.0	0.035643335	0.0	0.0
segsize12	0.0	0.0	0.0	0.0063789957	0.0	0.026688809	0.0	0.024980854	0.0	0.0
segsize13	0.0	0.0	0.0	0.008474464	0.0	0.0217827	0.0	0.012053452	0.0	0.0
segsize14	0.0	0.0	0.0035615165	0.008833219	0.0	0.0153097315	0.0	0.0040319907	0.0	0.0
segsize15	0.0	0.0	0.015662096	0.015093302	0.017391074	0.023350265	0.0	2.1570192e-36	0.0	0.031348743
segsize16	0.0	0.0	0.0064066416	0.0057108346	0.0	0.010371179	0.0	0.0	0.0011573025	0.078659944
segsize17	0.0	0.0	0.016106578	0.0027148356	0.0	0.016271038	0.0	0.0	0.0	0.13072672
segsize18	0.0	0.0	0.008209724	0.0016116917	0.0	0.0075443718	0.0	0.0	0.0014246337	0.074639656
segsize19	0.0	0.0	0.0058088754	0.0007863939	0.0	0.0059272493	0.0	0.0	0.0011566442	0.09878516
segsize20	0.0	0.0	0.0	0.00043128358	0.0	0.002062413	0.0	0.0	0.0008768486	0.10785886
segsize21	0.0	0.0	0.0038816934	0.0	0.0	0.00343044	0.0	0.0	0.002522872	0.17329341
segsize22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003319574	0.30468747
changepoint1	0.0	0.0	0.0	0.007817993	0.35692638	0.0059355446	0.011924095	0.0	0.007074596	0.0
changepoint2	0.0	2.1607554e-34	0.0	0.0	0.5900518	0.018876173	0.0	0.027675042	0.0016218395	0.0
changepoint3	0.0	0.30455127	0.0	0.0	0.0	0.0732011	0.0	0.0	0.004793224	0.0
changepoint4	0.0	0.16077472	0.0	0.13708101	0.0	0.04764693	0.0	0.006673599	0.0037088566	0.0
changepoint5	0.0	0.0014175832	0.0	0.44513926	0.0	0.01661584	1.685207e-28	0.0026909956	0.0006740187	0.0
changepoint6	0.0	0.0	0.20385815	0.052435182	0.0	0.0	0.0	0.006612773	0.0	0.0
changepoint7	0.0	0.0	0.21417326	0.0139270285	0.0	0.0	0.0	0.00090127706	0.0	0.0
changepoint8	0.0	3.0476853e-05	0.19228967	0.013660328	0.0	8.766221e-05	4.0946126e-31	0.0016497059	2.229111e-06	0.0
changepoint9	0.075379595	0.00022387304	0.14453155	0.0037241376	0.0	0.0	4.5310052e-17	0.0012453526	1.0014682e-05	0.0
changepoint10	0.9142967	5.734235e-05	0.05358098	0.0008925679	0.0	0.0	0.00010348031	0.0004488508	1.435424e-06	0.0
bp10MB1	0.0	5.8532885e-05	0.0	8.0419e-41	0.0	0.22823134	0.0	0.019456545	0.6104926	0.0
bp10MB2	0.0	0.043994732	0.0	4.0416982e-33	0.0	0.24147777	0.0	0.10910342	0.23393854	0.0
bp10MB3	0.0	0.08317558	0.0	0.049134217	0.0	0.017238159	0.063875794	0.052542586	0.0036958032	0.0
bpchrarm1	0.0	0.0	0.0	0.0	0.0	1.2588245e-07	0.0	0.0	0.07910134	0.0
bpchrarm2	0.0	0.0	0.0	0.0	0.0	0.043353632	0.0	0.0	0.039178416	0.0
bpchrarm3	0.0	0.022227777	0.0	0.010671032	0.0	0.03013206	0.015324577	0.011563067	0.00057980424	0.0
bpchrarm4	0.0	0.008305379	0.0	0.0008878414	0.0	0.0	0.00468321	0.012573926	0.0	0.0
bpchrarm5	0.010323729	0.0013623633	0.0	0.0	0.0	0.0	0.0018702128	0.0	0.0	0.0
osCN1	0.0	0.0	0.0	0.0	0.0	0.061047737	0.2180552	0.32169205	0.0012253445	0.0
osCN2	0.0	0.042724606	0.0	0.02483713	0.0	0.015725747	0.07879877	0.0732236	0.0	0.0
osCN3	0.0	0.008468836	0.0	0.0031476067	2.1969534e-05	0.0	0.0030612177	0.0	0.0	0.0
