"V1"	"W1"	"W2"	"W3"	"W4"	"W5"	"W6"	"W7"	"W8"	"W9"	"W10"
"segsize1"	"3.92e-42"	"2.758e-42"	"5.47e-42"	"7.68e-43"	"15270.555"	"622.4026"	"1.1e-42"	"6.66e-43"	"3.57e-43"	"1.761e-42"
"segsize2"	"539.318"	"2.758e-42"	"7.294e-42"	"1.536e-42"	"13526.949"	"1860.5424"	"1.1e-42"	"1.331e-42"	"3.57e-43"	"1.41e-42"
"segsize3"	"4151.905"	"3.678e-42"	"2.5529e-41"	"6716.676"	"16353.472"	"1965.3827"	"2.201e-42"	"1.331e-42"	"3.57e-43"	"2.115e-42"
"segsize4"	"12293.887"	"11058.525"	"4.6863026e-14"	"23018.205"	"14908.806"	"2.6591337e-17"	"131.71039"	"1.331e-42"	"3.57e-43"	"3.876e-42"
"segsize5"	"8625.509"	"20156.264"	"3.4647e-41"	"21263.02"	"2042.0092"	"1.2009e-41"	"4.036e-42"	"1.331e-42"	"3.57e-43"	"1165.2891"
"segsize6"	"6373.7407"	"26120.11"	"373.21796"	"17496.031"	"6.768e-42"	"1.2009e-41"	"3.301e-42"	"1.665e-42"	"3.57e-43"	"137.22246"
"segsize7"	"3192.9546"	"28533.477"	"2465.4893"	"12131.205"	"2.256e-42"	"6779.655"	"2.934e-42"	"2.33e-42"	"3.57e-43"	"4.228e-42"
"segsize8"	"1150.6353"	"17949.672"	"1381.401"	"4776.4814"	"2.256e-42"	"9920.535"	"4.77e-42"	"2.33e-42"	"3.57e-43"	"2.466e-42"
"segsize9"	"167.70148"	"10723.501"	"491.30377"	"1906.6177"	"2.256e-42"	"8286.989"	"6.237e-42"	"1.997e-42"	"1.78e-43"	"1.761e-42"
"segsize10"	"683.4691"	"14882.039"	"304.5279"	"1723.006"	"2.707e-42"	"16364.705"	"4.403e-42"	"2.33e-42"	"3.57e-43"	"1.761e-42"
"segsize11"	"1288.3362"	"13638.186"	"2.3706e-41"	"929.8951"	"2.707e-42"	"21986.979"	"4.036e-42"	"1.997e-42"	"1.78e-43"	"2.115e-42"
"segsize12"	"1764.4587"	"9931.994"	"1.4588e-41"	"1.1959111e-36"	"2.707e-42"	"25545.36"	"3.301e-42"	"1.331e-42"	"1.78e-43"	"1.761e-42"
"segsize13"	"1968.278"	"4830.9854"	"570.2666"	"1.1521e-41"	"2.707e-42"	"19922.135"	"3.301e-42"	"2.33e-42"	"3.57e-43"	"3.171e-42"
