	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.0	0.0	0.15379377	0.0	0.0	0.0	0.0	0.0	0.0	0.0008228224
segsize2	0.0	0.0	0.13299982	0.0	0.0	2.4352224e-07	0.0	0.0	0.0035715504	0.0017985848
segsize3	0.0	0.018736238	0.15888691	0.0	0.0	2.3495348e-20	0.0	0.0	0.022727897	0.0021666144
segsize4	0.0	0.062463034	0.121147625	0.0	0.08553961	0.0	0.031105489	0.0	0.08102509	7e-45
segsize5	0.0	0.04603471	0.009536315	0.0470403	0.04653945	0.0	0.0	0.0	0.06614942	0.0
segsize6	0.0	0.03343663	0.0	0.065539144	0.013623894	8.965769e-30	0.0	0.0	0.050704528	0.0022996338
segsize7	0.0	0.01887714	0.0	0.07502292	0.0	0.0013540145	0.0	0.0	0.0342762	0.009301423
segsize8	0.0	0.0061695683	0.0	0.046943635	0.0	0.00079505634	0.0	0.0	0.01395735	0.011989932
segsize9	0.0	0.00056730816	0.0	0.028016077	0.0	0.00030035892	0.0	0.0	0.0059213694	0.009720149
segsize10	0.0	0.0020760652	0.0	0.03834686	0.0	0.00026020283	0.0	0.0	0.00627083	0.01871666
segsize11	0.0	0.004903803	0.0	0.033540744	0.0	0.0	0.0	0.0	0.005209217	0.024960274
segsize12	0.0	0.005947257	0.0	0.022668464	0.0	0.0	0.0	0.0	0.0035852701	0.028768247
segsize13	0.0	0.0058799274	0.0	0.0113737425	0.0	0.0006166665	0.0	0.0	0.0015223701	0.022086471
segsize14	0.0	0.0051188883	0.0	0.0045380304	0.0	0.000825397	0.0	0.0	9.2382555e-15	0.015097474
segsize15	1.5819071e-06	0.013688485	0.0	5.105242e-14	0.0075919903	0.0022537773	0.0095186755	0.0	0.0	0.022889137
segsize16	0.08003249	0.0044446136	0.0	0.0	0.0038380187	0.0016747685	0.0	0.0	0.0	0.010195175
segsize17	0.099217094	0.0030132076	0.0	0.0	0.00907308	0.0025260544	0.0	0.0	0.0	0.014591452
segsize18	0.07747983	1.179849e-13	0.0	0.0	0.006768123	0.0018951829	0.0	0.0	0.0	0.0074456525
segsize19	0.10278096	1.4933527e-34	0.0	0.0	0.003964301	0.0015437474	0.0	0.0	0.0	0.0057649137
segsize20	0.11641958	0.0	0.0	0.0	0.0	0.001068175	0.0	0.0	0.0	0.0020354742
segsize21	0.18755315	0.0	0.0	0.0	0.0031270657	0.0027538508	0.0	0.0	0.0	0.0032307466
segsize22	0.33651528	0.0	0.0	0.0	0.0	0.0032934065	0.0	0.0	0.0	0.0
changepoint1	0.0	0.006373414	0.011815607	0.0	0.0	0.0072672013	0.35905638	0.0	0.0	0.0056459326
changepoint2	0.0	0.0	0.0	0.027791547	0.0	0.002130004	0.6003093	0.0	0.0027523127	0.01944444
changepoint3	0.0	0.0	0.0	0.0	0.0	0.006656535	0.0	0.0	0.2933417	0.059691492
changepoint4	0.0	0.14221846	3.1698012e-30	0.004163543	0.0	0.004681198	0.0	0.0	0.15542021	0.04336484
changepoint5	0.0	0.45248717	0.008227959	9.968526e-06	5.96606e-26	0.00075427233	0.0	0.0	0.0048430557	0.022173671
changepoint6	0.0	0.050585948	0.0	0.003645053	0.21046641	0.0	0.0	0.0	0.0	0.0019290778
changepoint7	0.0	0.013145243	0.0	8.166356e-05	0.21509925	0.0	0.0	0.0	0.0	2.7606757e-05
changepoint8	0.0	0.012850302	0.00013272649	0.00074274314	0.19249366	2.676926e-06	0.0	0.0	3.88e-43	0.00033222357
changepoint9	0.0	0.0032760561	0.00025202957	0.00081680395	0.1436665	1.30994595e-05	0.0	0.07470792	0.00017268248	5.175737e-05
changepoint10	0.0	0.00029782785	0.00033375208	0.00045720156	0.05538164	3.2944988e-06	0.0	0.92271227	2.2392853e-27	0.0
bp10MB1	0.0	0.0	9.0191706e-30	4.3766785e-16	0.0	0.6008182	0.0	0.0	0.024796154	0.21048284
bp10MB2	0.0	0.0	0.0	0.090056315	0.0	0.23388731	0.0	0.0	0.071614355	0.23300347
bp10MB3	0.0	0.049898755	0.072382614	0.055796202	0.0	0.003692456	0.0	0.0	0.07549146	0.018681517
bpchrarm1	0.0	0.0	0.0	0.0	0.0	0.07694553	0.0	0.0	0.0	0.0
bpchrarm2	0.0	0.0	0.0	0.0	0.0	0.039768893	0.0	0.0	0.0	0.039368942
bpchrarm3	0.0	0.00807458	0.016400797	0.0074340696	0.0	0.0011417649	0.0	0.0	0.025551122	0.029640572
bpchrarm4	0.0	0.0018288982	0.0079485895	0.015443629	0.0	0.0	0.0	0.0	0.0061570136	0.0
bpchrarm5	0.0	0.0	0.0046765767	0.0	0.0028269968	0.0	0.0	0.0025797435	0.0	0.0
osCN1	0.0	0.0	0.21529524	0.3435481	0.0	0.0010765698	0.0	0.0	0.0	0.081878476
osCN2	0.0	0.024272954	0.08309918	0.07698326	0.0	0.0	0.0	0.0	0.037540507	0.020402256
osCN3	0.0	0.0033334356	0.0030704252	0.0	0.0	0.0	1.0123321e-05	0.0	0.007398254	0.0
