"V1"	"W1"	"W2"	"W3"	"W4"	"W5"	"W6"	"W7"	"W8"	"W9"	"W10"
"segsize1"	"934.40985"	"1.931e-42"	"5.524e-42"	"1.1615748e-28"	"6.24e-43"	"4.15e-42"	"3.59e-43"	"14938.235"	"2.084e-42"	"1.096e-42"
"segsize2"	"1732.8741"	"2.574e-42"	"2.0253e-41"	"1.6451e-41"	"9.35e-43"	"1166.9191"	"3.59e-43"	"13004.534"	"1.389e-42"	"1.46e-42"
"segsize3"	"1745.2843"	"4038.4053"	"2.323478e-22"	"9.525e-42"	"6.24e-43"	"7599.385"	"3.59e-43"	"15780.4375"	"1.389e-42"	"1.826e-42"
"segsize4"	"2.234834e-22"	"12436.679"	"56.94371"	"11873.437"	"9.35e-43"	"23374.297"	"3.59e-43"	"13663.477"	"8.612047e-26"	"9.120568e-38"
"segsize5"	"1.3256e-41"	"9599.108"	"3.3141e-41"	"21663.287"	"9.35e-43"	"20656.121"	"3.59e-43"	"1407.0447"	"0.028700734"	"2.192e-42"
"segsize6"	"2.2536e-41"	"7263.648"	"2.0036311e-19"	"25865.057"	"1.247e-42"	"17354.53"	"3.59e-43"	"3.481e-42"	"3.8667124e-28"	"1.46e-42"
"segsize7"	"8089.905"	"3686.8306"	"2053.2283"	"27265.85"	"1.871e-42"	"12046.657"	"3.59e-43"	"1.74e-42"	"3.126e-42"	"2.556e-42"
"segsize8"	"10971.539"	"1137.9153"	"1311.2949"	"16729.908"	"2.182e-42"	"4978.076"	"3.59e-43"	"2.175e-42"	"2.431e-42"	"5.112e-42"
"segsize9"	"9044.916"	"54.166336"	"459.29053"	"9852.885"	"1.558e-42"	"2168.5671"	"1.8e-43"	"2.175e-42"	"1.736e-42"	"5.843e-42"
"segsize10"	"17429.785"	"354.57138"	"435.16116"	"13244.343"	"1.558e-42"	"2509.0168"	"1.8e-43"	"2.175e-42"	"1.736e-42"	"4.382e-42"
"segsize11"	"23019.621"	"937.8108"	"1.657e-41"	"11528.292"	"9.35e-43"	"2399.2217"	"1.8e-43"	"2.61e-42"	"2.084e-42"	"4.748e-42"
"segsize12"	"26605.736"	"1180.9279"	"1.4729e-41"	"7695.03"	"6.24e-43"	"1696.7495"	"1.8e-43"	"2.61e-42"	"2.084e-42"	"4.018e-42"
"segsize13"	"20355.273"	"1235.461"	"1112.4948"	"3804.244"	"1.247e-42"	"814.902"	"3.59e-43"	"3.481e-42"	"2.779e-42"	"5.843e-42"
"segsize14"	"13825.586"	"991.885"	"1521.578"	"1627.2554"	"2.182e-42"	"131.55856"	"3.59e-43"	"6.96e-42"	"9.03e-42"	"1.0955e-41"
"segsize15"	"21038.344"	"3192.3762"	"4188.6216"	"355.6169"	"6.340102e-15"	"4.095734e-38"	"3.59e-43"	"3.915e-42"	"1.921535e-24"	"460.64917"
"segsize16"	"9253.33"	"1134.1383"	"3225.5461"	"3.7408404e-14"	"3899.86"	"1.0791e-41"	"5.38e-43"	"3.915e-42"	"37.432156"	"4.018e-42"
"segsize17"	"13421.048"	"913.4821"	"4640.0337"	"7.793e-42"	"4846.908"	"6.641e-42"	"8.98e-43"	"3.045e-42"	"433.1261"	"2.192e-42"
"segsize18"	"6773.8423"	"373.492"	"3402.3223"	"5.195e-42"	"3784.5618"	"4.15e-42"	"8.98e-43"	"5.22e-42"	"256.36725"	"2.192e-42"
"segsize19"	"5324.8823"	"3.653988e-10"	"2678.0999"	"5.195e-42"	"5173.5356"	"4.15e-42"	"1.078e-42"	"5.22e-42"	"237.28522"	"1.826e-42"
"segsize20"	"1873.3729"	"6.436e-42"	"1884.5464"	"4.33e-42"	"5738.8643"	"4.15e-42"	"7.17e-43"	"2.61e-42"	"7.294e-42"	"1.826e-42"
"segsize21"	"2989.2039"	"3.219e-42"	"4888.5645"	"3.464e-42"	"9350.049"	"2.49e-42"	"1.078e-42"	"2.175e-42"	"92.070366"	"1.46e-42"
