"V1"	"W1"	"W2"	"W3"	"W4"	"W5"	"W6"	"W7"	"W8"	"W9"	"W10"
"segsize1"	"743.45435"	"6.1542444e-20"	"3.59e-43"	"3.258e-42"	"1.554e-42"	"15119.002"	"5.525e-42"	"2.092e-42"	"1.099e-42"	"6.3e-43"
"segsize2"	"2174.9517"	"1.1748e-41"	"3.59e-43"	"5.864e-42"	"2.33e-42"	"13735.072"	"1.6577e-41"	"1.394e-42"	"1.464e-42"	"9.46e-43"
"segsize3"	"1988.6116"	"6.327e-42"	"3.59e-43"	"4182.152"	"6733.0146"	"16247.093"	"2.947e-41"	"1.394e-42"	"1.83e-42"	"9.46e-43"
"segsize4"	"5.453107e-30"	"12846.69"	"3.59e-43"	"12430.331"	"22042.744"	"13791.871"	"288.59216"	"6.099163e-28"	"4.07609e-37"	"1.261e-42"
"segsize5"	"1.193e-41"	"22124.105"	"3.59e-43"	"9122.771"	"20148.938"	"1224.9938"	"4.973e-41"	"692.2769"	"3.294e-42"	"1.261e-42"
"segsize6"	"1.193e-41"	"26955.312"	"3.59e-43"	"6838.998"	"16672.11"	"3.489e-42"	"1.8625576"	"1.780735e-09"	"2.929e-42"	"1.576e-42"
"segsize7"	"7791.6978"	"28436.934"	"3.59e-43"	"3275.4592"	"11317.834"	"1.745e-42"	"2269.8184"	"3.138e-42"	"2.929e-42"	"1.892e-42"
"segsize8"	"10796.332"	"17461.393"	"3.59e-43"	"980.1731"	"4604.148"	"2.18e-42"	"1363.5973"	"2.441e-42"	"4.757e-42"	"2.522e-42"
"segsize9"	"8881.273"	"10240.894"	"1.8e-43"	"45.69199"	"1926.6932"	"2.18e-42"	"458.6951"	"1.743e-42"	"5.125e-42"	"1.576e-42"
"segsize10"	"17421.03"	"13920.232"	"3.59e-43"	"339.78522"	"1896.1589"	"2.18e-42"	"370.01865"	"1.743e-42"	"4.026e-42"	"1.576e-42"
"segsize11"	"23011.309"	"12382.033"	"1.8e-43"	"1018.8487"	"1500.4061"	"2.616e-42"	"2.5787e-41"	"2.092e-42"	"3.66e-42"	"1.261e-42"
"segsize12"	"26520.088"	"8274.816"	"1.8e-43"	"1477.5962"	"961.0921"	"2.616e-42"	"9.21e-42"	"1.743e-42"	"2.562e-42"	"9.46e-43"
"segsize13"	"20549.098"	"4293.8994"	"3.59e-43"	"1511.1698"	"3.909592e-07"	"3.489e-42"	"1017.89966"	"2.79e-42"	"4.757e-42"	"1.261e-42"
"segsize14"	"13577.672"	"1696.0237"	"3.59e-43"	"1299.26"	"1.554e-41"	"4.361e-42"	"1396.5305"	"1.2553e-41"	"3.7023976"	"3.153e-42"
"segsize15"	"20654.36"	"7.342116e-06"	"3.59e-43"	"3597.5337"	"4.662e-42"	"3.053e-42"	"3708.4282"	"449.45526"	"651.3075"	"75.16859"
"segsize16"	"9203.335"	"2.18936e-28"	"5.4e-43"	"1325.9927"	"5.438e-42"	"3.053e-42"	"2924.298"	"120.49304"	"4.392e-42"	"4064.5503"
"segsize17"	"13223.943"	"8.135e-42"	"8.98e-43"	"1146.3367"	"3.884e-42"	"2.616e-42"	"4257.8965"	"542.92914"	"2.196e-42"	"5058.9604"
"segsize18"	"6446.536"	"5.423e-42"	"8.98e-43"	"537.7413"	"3.108e-42"	"3.925e-42"	"3343.5823"	"318.40195"	"2.562e-42"	"3893.859"
"segsize19"	"5170.68"	"5.423e-42"	"8.98e-43"	"352.2543"	"3.108e-42"	"4.361e-42"	"2531.0813"	"113.654755"	"2.196e-42"	"5272.1455"
"segsize20"	"1728.4658"	"6.327e-42"	"7.19e-43"	"104.296326"	"3.884e-42"	"3.053e-42"	"1838.8739"	"1.1034803e-10"	"1.83e-42"	"5885.0884"
"segsize21"	"2865.7542"	"5.423e-42"	"1.078e-42"	"2.9325e-41"	"2.33e-42"	"2.18e-42"	"4672.1187"	"182.7015"	"1.464e-42"	"9580.378"
"segsize22"	"2.651e-42"	"9.04e-43"	"1.8e-43"	"1.303e-42"	"7.76e-43"	"4.36e-43"	"5731.6997"	"3.49e-43"	"1.099e-42"	"16776.482"
"changepoint1"	"4938.3184"	"1.7172e-41"	"3.59e-43"	"1565.3726"	"1.2432e-41"	"1189.7003"	"12195.279"	"2.79e-42"	"25367.832"	"7.881e-42"
"changepoint2"	"18337.262"	"10225.268"	"3.59e-43"	"5.213e-42"	"645.78424"	"5.234e-42"	"3083.3997"	"1.743e-42"	"42196.363"	"1.892e-42"
"changepoint3"	"59482.957"	"1.3801484e-38"	"3.59e-43"	"2.606e-42"	"97678.36"	"6.978e-42"	"9803.257"	"1.743e-42"	"2.562e-42"	"1.576e-42"
"changepoint4"	"38980.37"	"3176.8088"	"3.59e-43"	"31225.143"	"51139.01"	"8.723e-42"	"7064.9624"	"2.441e-42"	"2.196e-42"	"8.827e-42"
"changepoint5"	"13841.4795"	"1512.3965"	"5.4e-43"	"97240.055"	"1951.1017"	"0.00010141414"	"1277.7686"	"3.486e-42"	"2.196e-42"	"4.413e-42"
"changepoint6"	"5.303e-42"	"2848.8938"	"1.8e-43"	"11711.147"	"6.216e-42"	"3.489e-42"	"3.684e-42"	"15397.497"	"7.31e-43"	"6.3e-43"
"changepoint7"	"2.651e-42"	"328.72763"	"3.59e-43"	"3205.1565"	"3.108e-42"	"2.18e-42"	"3.684e-42"	"16180.02"	"7.31e-43"	"6.3e-43"
"changepoint8"	"56.58394"	"871.33594"	"5.820429e-22"	"3089.4019"	"8.547e-42"	"30.714966"	"8.613078"	"14341.942"	"1.464e-42"	"3.153e-42"
"changepoint9"	"2.572635e-16"	"695.2129"	"1586.4801"	"899.8323"	"1.01e-41"	"38.03494"	"25.570978"	"10285.067"	"1.464e-42"	"4.097e-42"
"changepoint10"	"1.9884e-41"	"286.7561"	"14802.628"	"243.09636"	"1.0878e-41"	"18.483238"	"4.341868"	"3160.444"	"1.464e-42"	"3.468e-42"
"bp10MB1"	"185597.03"	"8132.2485"	"5.4e-43"	"1.9014276e-30"	"1.0558451e-07"	"4.400425e-33"	"1041825.44"	"4.882e-42"	"3.66e-42"	"2.522e-42"
"bp10MB2"	"212197.22"	"36604.527"	"3.59e-43"	"1.0308003e-17"	"20468.688"	"7.414e-42"	"404858.62"	"2.79e-42"	"4.757e-42"	"2.207e-42"
"bp10MB3"	"16184.724"	"22943.21"	"3.59e-43"	"10337.817"	"24262.492"	"6797.355"	"6140.862"	"4.882e-42"	"4.757e-42"	"1.576e-42"
"bpchrarm1"	"1.4141105e-30"	"2.3498e-41"	"3.59e-43"	"4.561e-42"	"6.992e-42"	"1.745e-42"	"132023.75"	"1.394e-42"	"2.929e-42"	"2.522e-42"
"bpchrarm2"	"35736.723"	"6.327e-42"	"5.4e-43"	"5.864e-42"	"5.438e-42"	"2.616e-42"	"69269.35"	"2.79e-42"	"3.294e-42"	"3.468e-42"
"bpchrarm3"	"27284.81"	"3238.5964"	"3.59e-43"	"2123.9956"	"7687.034"	"1730.5454"	"1894.1724"	"2.092e-42"	"3.66e-42"	"9.46e-43"
"bpchrarm4"	"1.326e-42"	"6037.6533"	"1.8e-43"	"7.793964"	"2050.2747"	"688.9357"	"1.841e-42"	"1.394e-42"	"3.66e-43"	"0"
"bpchrarm5"	"0"	"0"	"56.760216"	"0"	"0"	"530.305"	"0"	"132.75632"	"0"	"0"
"osCN1"	"71419.87"	"129900.34"	"7.19e-43"	"5.864e-42"	"1.1655e-41"	"17539.771"	"2018.2455"	"4.184e-42"	"5.125e-42"	"3.153e-42"
"osCN2"	"18094.38"	"30540.572"	"3.59e-43"	"4326.059"	"11317.842"	"7853.5864"	"5.525e-42"	"3.835e-42"	"1.099e-42"	"6.3e-43"
"osCN3"	"5.303e-42"	"9.04e-43"	"1.8e-43"	"698.0916"	"2456.039"	"333.3391"	"1.841e-42"	"6.98e-43"	"0.65034723"	"3.15e-43"
