	W1	W2	W3	W4	W5	W6	W7	W8	W9
segsize1	0.0	0.022013957	0.0	0.4383691	0.0	0.0	0.0	0.0	0.0036023029
segsize2	0.0	0.02137146	0.0	0.35041296	0.0	0.0	0.0012666428	0.0038920788	0.004293955
segsize3	0.0	0.03754443	0.0	0.20435522	0.04018425	0.01413983	0.00015802275	0.025816409	0.0
segsize4	0.0	0.07866573	0.0	0.0	0.10887591	0.04405999	0.0	0.06624228	0.0
segsize5	0.0	0.055787083	0.0	0.0	0.07685363	0.013789658	0.0	0.038831968	0.027275102
segsize6	0.0	0.037675545	0.0008053243	0.0	0.05127887	0.0	0.0	0.02159471	0.050098963
segsize7	0.0	0.017285941	0.0021571897	0.0	0.02454907	0.0	0.007778527	0.005515876	0.06631321
segsize8	0.0	0.0025761742	0.0012445055	0.0	0.004125263	0.0	0.010391125	1.1522008e-15	0.04653813
segsize9	0.0	7.3405647e-23	0.00044015335	0.0	2.0582366e-33	0.0	0.008187678	0.0	0.028194038
segsize10	0.0	2.8854e-41	0.0002985236	0.0	0.0	0.0	0.01632393	3.883239e-09	0.039479315
segsize11	0.0	0.0	0.0	0.0	0.0	0.0	0.021834264	0.0030111775	0.036735598
segsize12	0.0	0.0	0.0	0.0	0.0	0.0	0.025717907	0.0058520027	0.026766522
segsize13	0.0	0.0	0.0	0.0	0.0	1.2456583e-22	0.02136337	0.008723877	0.013031036
segsize14	0.0	0.0014666822	0.0	0.0	0.0	0.008659053	0.014782709	0.009188482	0.0036773433
segsize15	0.0	0.002533007	0.0012206634	0.0	0.0	0.020029107	0.022590144	0.021107027	2.1576479e-07
segsize16	0.07349675	0.0019545946	0.0014391091	0.0	0.0	0.0018474442	0.010572023	0.007967807	0.0
segsize17	0.08753885	0.004117287	0.0022290784	0.0	0.0	0.0	0.015778096	0.007725346	0.0
segsize18	0.07164313	0.0033066568	0.0016801243	0.0	0.0	0.0	0.007897716	0.0035933803	0.0
segsize19	0.10000834	0.0020960409	0.0013214533	0.0	0.0	0.0	0.0064163418	0.0023529618	0.0
segsize20	0.11807385	0.0014915785	0.001008782	0.0	0.0	0.0	0.002390768	0.0	0.0
segsize21	0.18844888	0.003354528	0.002721865	0.0	0.0	0.0	0.003947771	0.0	0.0
segsize22	0.36077592	0.0	0.003426149	0.0	0.0	0.0	0.0	0.0	0.0
changepoint1	0.0	2.4220695e-28	0.0069457665	0.0	0.001592015	0.32583466	0.0057948246	0.009371737	0.0
changepoint2	0.0	0.0	0.0019920175	0.0	0.0	0.5188419	0.017542258	0.0	0.029746598
changepoint3	0.0	0.0	0.0058009424	0.0	0.31044075	0.0	0.07033012	0.0	0.013193586
changepoint4	0.0	2.171565e-09	0.0051037236	0.0	0.1601157	0.0	0.043754492	0.113890626	0.026427567
changepoint5	0.0	0.027253168	0.0005551653	0.0	0.018038018	0.0	0.0132496925	0.3902091	0.010241656
changepoint6	0.0	0.049460735	0.0	0.0	0.0	0.0	0.00026667048	0.08366306	0.007713756
changepoint7	0.0	0.062272355	0.0	0.0	0.0	0.0	1.0018747e-09	0.0431386	0.0019183615
changepoint8	2.3705966e-06	0.06862661	0.0	0.0	0.0	0.0	0.0001807971	0.031402625	0.0022632866
changepoint9	1.1887826e-05	0.070614524	1.2417866e-34	0.0	0.0	0.0	0.00011634083	0.011141305	0.0014716797
changepoint10	0.0	0.13695708	4.4888046e-05	0.0	0.00022355207	0.0	0.0	0.0	0.0001411675
bp10MB1	0.0	1.6104186e-06	0.6039917	0.0	1.3207993e-27	0.0	0.23484504	0.0	0.030137744
bp10MB2	0.0	0.0	0.23345746	0.0	0.025818633	0.0	0.24021886	0.0	0.1276827
bp10MB3	0.0	0.03580688	0.0041876617	0.0	0.087433994	1.0041338e-23	0.016750582	0.04565697	0.050338157
bpchrarm1	0.0	0.0	0.07879699	0.0	0.0	0.0	0.0	0.0	0.0
bpchrarm2	0.0	0.0	0.038265575	0.0	0.0	1.933526e-39	0.045755506	0.0	0.0
bpchrarm3	0.0	8.7475236e-13	0.0008651412	0.0	0.02595654	0.0	0.02845266	0.011887556	0.015183292
bpchrarm4	0.0	0.0029099602	0.0	0.0	0.006151681	0.0	0.0	1.00746265e-05	0.013525984
bpchrarm5	0.0	0.0027155336	0.0	0.0	0.0012345251	0.0	0.0	0.0	0.0
osCN1	0.0	0.20637777	9.6922183e-23	0.0	3.592e-41	0.052798204	0.06881682	0.0	0.2578607
osCN2	0.0	0.04373449	0.0	0.0	0.048094887	0.0	0.016528258	0.025337517	0.06595245
osCN3	0.0	2.8590566e-05	0.0	0.006862689	0.009032766	9.6047586e-08	0.0	0.0028754512	0.00019568278
