	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.0	0.0012392803	0.0	0.0	0.0	0.0	0.0	0.15689011	0.0	2.5995052e-25
segsize2	0.0	0.002098779	1.0396136e-20	0.0	0.0	0.0	0.0	0.13738257	0.003188618	0.0
segsize3	0.0	0.002013247	0.019157816	0.0	0.0	0.0	1.462e-42	0.1664669	0.021532949	2.1576302e-20
segsize4	0.0	3.55162e-39	0.056511734	1.375899e-39	0.0	2.2822328e-35	8.000978e-05	0.1417851	0.06556966	0.034210198
segsize5	0.0	0.0	0.04312217	0.0	0.0	9.599804e-13	0.0	0.013504345	0.058253855	0.060087312
segsize6	0.0	1.6733098e-07	0.032457117	0.0	0.0	1.153e-42	1.212555e-16	0.0	0.04918259	0.07063144
segsize7	0.0	0.009363409	0.015556513	0.0	0.0	0.0	0.0012486385	0.0	0.0338455	0.07329908
segsize8	0.0	0.012602068	0.0051304027	0.0	0.0	0.0	0.00073856587	0.0	0.014281158	0.044080485
segsize9	0.0	0.010226731	0.0004715142	0.0	0.0	0.0	0.00025985323	0.0	0.006609924	0.025583979
segsize10	0.0	0.02004869	0.0022721249	0.0	0.0	0.0	0.00021069046	0.0	0.0071671237	0.033721745
segsize11	0.0	0.026199074	0.005426793	0.0	0.0	0.0	0.0	0.0	0.0069597857	0.02862669
segsize12	0.0	0.029969007	0.007185969	0.0	0.0	0.0	0.0	0.0	0.005254072	0.018485552
segsize13	0.0	0.022827763	0.0072933566	0.0	0.0	0.0	0.00062390644	0.0	0.002651409	0.008452462
segsize14	0.0	0.015414069	0.0059565785	0.0	0.0	0.0	0.0008838507	0.0	0.00055823004	0.0031700768
segsize15	0.0	0.023637649	0.015628036	0.0029697854	0.0047636153	9.262926e-25	0.0023342099	0.0	0.0	4.530777e-05
segsize16	0.0	0.010186137	0.005640811	0.0	0.08004559	2.8025456e-28	0.0018455748	0.0	0.0	0.0
segsize17	0.0	0.014700094	0.0048782346	0.0	0.1012629	0.0053700777	0.0026337004	0.0	0.0	0.0
segsize18	0.0	0.007317252	0.002305692	0.0	0.076995626	0.0028016935	0.0020059673	0.0	0.0	0.0
segsize19	0.0	0.005672437	0.0018856906	0.0	0.10232554	0.0013087845	0.0015715461	0.0	0.0	0.0
segsize20	0.0	0.001925252	2.3711955e-30	0.0	0.114601664	0.0	0.0011754864	0.0	0.0	0.0
segsize21	0.0	0.0031779709	0.0	0.0	0.19022077	0.0013394158	0.0027966788	0.0	0.0	0.0
segsize22	0.0	0.0	0.0	0.0	0.3297843	0.0	0.003468535	0.0	0.0	0.0
changepoint1	0.0	0.0058004446	0.0062032314	0.37347764	0.0	0.0	0.0071335672	0.012733061	0.0	0.0
changepoint2	0.0	0.021055443	0.0	0.62354445	0.0	0.0	0.0018403478	0.0	0.0035317694	0.024386799
changepoint3	0.0	0.05756053	0.0	0.0	0.0	0.0	0.005695709	0.0	0.29996473	3.322e-42
changepoint4	0.0	0.03989226	0.14489621	0.0	0.0	0.0	0.004043676	9.718e-42	0.15845227	0.0046093385
changepoint5	0.0	0.017011818	0.44764692	0.0	0.0	0.0	0.00067952316	2.101413e-06	0.0073768348	4.7332945e-12
changepoint6	0.0	0.0012377077	0.052714933	0.0	0.0	0.25938833	0.0	0.0	0.0	0.0055118413
changepoint7	0.0	0.0	0.014885808	0.0	0.0	0.2714054	0.0	0.0	0.0	0.00074179395
changepoint8	0.00078334135	0.00014629534	0.014391053	0.0	0.0	0.23982179	2.550258e-06	0.00017632518	2.1103937e-17	0.0021942765
changepoint9	0.1032666	1.6104359e-05	0.0043427865	0.0	0.0	0.16933207	5.1663023e-06	1.3297769e-05	0.00015967738	0.0017610118
changepoint10	0.88956106	8.46323e-40	0.0012595819	0.0	0.0	0.049232423	7.5152855e-07	0.000101171354	3.7508926e-05	0.00075482513
bp10MB1	0.0	0.20716052	1.9487304e-22	0.0	0.0	0.0	0.6018833	4.0105763e-32	0.024300551	9.077988e-05
bp10MB2	0.0	0.23653367	2.3001216e-13	0.0	0.0	0.0	0.23446408	0.0	0.08217201	0.07173136
bp10MB3	0.0	0.017519012	0.048067097	0.0	0.0	0.0	0.0034842824	0.070017375	0.074363336	0.058648694
bpchrarm1	0.0	4.01e-43	0.0	0.0	0.0	0.0	0.07640423	0.0	0.0	0.0
bpchrarm2	0.0	0.03916745	0.0	0.0	0.0	0.0	0.04016994	0.0	0.0	0.0
bpchrarm3	0.0	0.029904757	0.010077451	0.0	0.0	0.0	0.0011275503	0.018915346	0.02639554	0.0055984883
bpchrarm4	0.0	0.0	0.000527955	0.0	0.0	0.0	0.0	0.007922607	0.0055332407	0.016092137
bpchrarm5	0.0063890833	0.0	0.0	0.0	0.0	0.0	0.0	0.006204283	0.0	0.0
osCN1	0.0	0.08727967	0.0	0.0	0.0	0.0	0.0011882132	0.18573534	0.0	0.33018595
osCN2	0.0	0.021095242	0.02105621	0.0	0.0	0.0	0.0	0.07817672	0.03569969	0.07729839
osCN3	0.0	0.0	0.0030501746	8.1639755e-06	0.0	0.0	0.0	0.003973418	0.0069579724	0.0
