	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.0	0.0	0.0	0.0	0.0	0.0	0.00096279295	8.96773e-18	0.0	0.14795691
segsize2	0.0031671822	0.0	0.0	0.0	0.0	0.0019203454	0.0017474088	0.0	0.0	0.12617584
segsize3	0.021392262	0.0	6.758285e-11	0.0	0.0	0.01903004	0.0021174815	0.0	0.0	0.15384614
segsize4	0.07749987	0.07572031	0.0	0.0	0.0	0.06335576	0.0	0.0	0.028082585	0.12391029
segsize5	0.06507359	0.04314626	0.0	0.0	0.0	0.046395905	0.0	0.04458776	0.0	0.015366847
segsize6	0.051722597	0.015288915	3.531404e-27	0.0	0.0	0.03503526	0.0016313916	0.063243985	0.0	0.0
segsize7	0.035875227	0.0	0.0013643461	0.0	0.0	0.02058061	0.008659351	0.07383439	0.0	0.0
segsize8	0.015269368	0.0	0.00077106827	0.0	0.0	0.0073785023	0.011562141	0.04663775	0.0	0.0
segsize9	0.006701662	0.0	0.00029323724	0.0	0.0	0.0013105897	0.009356918	0.02802291	0.0	0.0
segsize10	0.0070824246	0.0	0.0002606252	0.0	0.0	0.0028503682	0.018369073	0.03885203	0.0	0.0
segsize11	0.0062756557	0.0	0.0	0.0	0.0	0.0046922495	0.02440402	0.03467844	0.0	0.0
segsize12	0.003801574	0.0	0.0	0.0	0.0	0.0053109443	0.02855414	0.023906326	0.0	0.0
segsize13	0.0014721387	0.0	0.00060950196	0.0	0.0	0.0056815348	0.022147449	0.012007815	0.0	0.0
segsize14	1.6926335e-19	0.0	0.0008512033	0.0	0.0	0.0048426273	0.014852324	0.0050966297	2.563153e-35	0.0
segsize15	0.0	6.6588065e-13	0.0022317288	0.0	0.0009891198	0.013438161	0.02333269	0.0014332614	0.006073025	0.0
segsize16	0.0	0.003686325	0.0017272123	0.0	0.07874801	0.0045716558	0.010246048	1.8082035e-33	0.0	0.0
segsize17	0.0	0.0110312775	0.0024882883	0.0	0.09785785	0.0023263793	0.0149565805	0.0	0.0	0.0
segsize18	0.0	0.006465471	0.0018436019	0.0	0.077524714	0.00077809807	0.0074835224	0.0	0.0	0.0
segsize19	0.0	0.003563082	0.0014969291	0.0	0.10194741	0.00032601287	0.0059134956	0.0	0.0	0.0
segsize20	0.0	0.0	0.0010789792	0.0	0.11758638	2.884847e-23	0.00205987	0.0	0.0	0.0
segsize21	0.0	0.0026429903	0.0027098092	0.0	0.1877146	0.0	0.0034000203	0.0	0.0	0.0
segsize22	0.0	0.0	0.0033292992	0.0	0.33763194	0.0	0.0	0.0	0.0	0.0
changepoint1	0.0	0.0	0.0071918834	0.0	0.0	0.0062216506	0.0057444973	0.0	0.3609433	0.011351311
changepoint2	0.0032628926	0.0	0.0020593735	0.0	0.0	0.0	0.018906726	0.02915548	0.60490113	0.0
changepoint3	0.28937855	0.0	0.006570685	0.0	0.0	0.0	0.059702054	0.0	0.0	0.0
changepoint4	0.1537934	0.0	0.004644573	0.0	0.0	0.13952027	0.042632267	1.6623601e-10	0.0	0.0
changepoint5	8.481402e-09	0.0	0.0011378849	0.0	0.0	0.4352978	0.019167833	0.0	0.0	0.0
changepoint6	0.0	0.21326256	0.0	0.0	0.0	0.052116007	0.0015137733	0.0040608514	0.0	0.0
changepoint7	0.0	0.2194815	0.0	0.0	0.0	0.0154169155	3.1509326e-06	0.0003039733	0.0	0.0
changepoint8	4.780291e-28	0.19839309	2.7421388e-06	0.0	0.0	0.014608298	0.00025811736	0.0009902572	0.0	2.8297223e-05
changepoint9	0.00017676121	0.14876536	5.834768e-06	0.07612283	0.0	0.004475311	4.127942e-05	0.0010029582	0.0	0.000229388
changepoint10	5.137168e-05	0.05621334	2.0331704e-07	0.92086375	0.0	0.00110881	0.0	0.00045236002	0.0	0.0001723644
bp10MB1	0.028744023	0.0	0.60100317	0.0	0.0	1.1330338e-17	0.21685924	2.51303e-17	0.0	1.5131504e-35
bp10MB2	0.07625873	0.0	0.23356828	0.0	0.0	1.0457483e-20	0.2352977	0.092039354	0.0	0.0
bp10MB3	0.07536861	0.0	0.0035971939	0.0	0.0	0.052413728	0.017956264	0.054132745	0.0	0.072022244
bpchrarm1	0.0	0.0	0.07725705	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bpchrarm2	0.0	0.0	0.03954239	0.0	0.0	0.0	0.04070278	0.0	0.0	0.0
bpchrarm3	0.025135692	0.0	0.0011384427	0.0	0.0	0.008084849	0.02965239	0.0073813437	0.0	0.016880034
bpchrarm4	0.006586103	0.0	0.0	0.0	0.0	0.0020041422	0.0	0.015520264	0.0	0.0070060105
bpchrarm5	0.0	0.0023394946	0.0	0.0030134267	0.0	0.0	0.0	0.0	0.0	0.0048423656
osCN1	0.0	0.0	0.0012243642	0.0	0.0	0.0	0.07989831	0.34748173	0.0	0.23385406
osCN2	0.03875994	0.0	0.0	0.0	0.0	0.025581928	0.019906892	0.07517743	0.0	0.083584666
osCN3	0.0071504097	0.0	0.0	0.0	0.0	0.0033253366	0.0	0.0	0.0	0.0027733184
