	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011304267	1.6860377e-24	0.16151178
segsize2	0.0034465212	0.0	0.0023236466	0.0	0.0	4.96e-43	0.0	0.0018898207	0.0	0.13670841
segsize3	0.023094459	0.0	0.020440169	0.0	0.0	4.7172363e-34	0.0	0.0021524625	0.0	0.16237764
segsize4	0.08148288	0.0	0.06509792	0.07938207	0.0	0.0	0.030851975	0.0	0.0	0.124446034
segsize5	0.065500006	0.0	0.04508444	0.036483735	0.0	0.0	0.0	0.0	0.047254797	0.0088545075
segsize6	0.05099102	0.0	0.034584105	5.088494e-29	0.0	0.00017602148	0.0	8.150713e-22	0.06749424	0.0
segsize7	0.03409122	0.0	0.017195158	0.0	0.0	0.001444895	0.0	0.008086196	0.074173875	0.0
segsize8	0.013514475	0.0	0.00537908	0.0	0.0	0.00081594894	0.0	0.011495521	0.046596635	0.0
segsize9	0.0058681965	0.0	0.0003610761	0.0	0.0	0.00030004626	0.0	0.009496763	0.027612282	0.0
segsize10	0.005779137	0.0	0.0018440747	0.0	0.0	0.00023671999	0.0	0.018560639	0.038052253	0.0
segsize11	0.0048112934	0.0	0.004532211	0.0	0.0	0.0	0.0	0.024817968	0.033797793	0.0
segsize12	0.0029489654	0.0	0.0055912244	0.0	0.0	0.0	0.0	0.028813928	0.023047002	0.0
segsize13	0.0011983365	0.0	0.0061591966	0.0	0.0	0.00051897037	0.0	0.022433648	0.011358866	0.0
segsize14	5.226577e-17	0.0	0.005252373	0.0	0.0	0.0008096583	0.0	0.015077809	0.0046215826	0.0
segsize15	0.0	0.009640297	0.013435296	1.8525905e-11	0.0	0.0020873416	1.8587461e-05	0.02356535	0.001983974	0.0
segsize16	0.0	0.078376405	0.0043747914	0.0046143103	0.0	0.0017266617	0.0	0.010314532	8.241e-42	0.0
segsize17	0.0	0.099415384	0.0034361787	0.009329833	0.0	0.0024302846	0.0	0.014950524	0.0	0.0
segsize18	0.0	0.07511079	0.0011974933	0.006748927	0.0	0.0018705569	0.0	0.0074449354	0.0	0.0
segsize19	0.0	0.10410175	0.00038064824	0.0034871234	0.0	0.0014502064	0.0	0.0058273417	0.0	0.0
segsize20	0.0	0.11474031	5.305096e-11	1.7947503e-37	0.0	0.0010564093	0.0	0.0020793963	0.0	0.0
segsize21	0.0	0.18711367	0.0	0.0024675482	0.0	0.0026863397	0.0	0.0033327318	0.0	0.0
segsize22	0.0	0.33150142	0.0	0.0	0.0	0.0032918954	0.0	0.0	0.0	0.0
changepoint1	0.0	0.0	0.0067618517	0.0	0.0	0.0071780253	0.36308074	0.005845424	0.0	0.011227186
changepoint2	0.0019671298	0.0	0.0	0.0	0.0	0.0019486255	0.60604006	0.019818394	0.02781254	0.0
changepoint3	0.29834408	0.0	0.0	0.0	0.0	0.00628397	0.0	0.060552552	0.0	0.0
changepoint4	0.15674259	1.210593e-39	0.14055584	0.0	0.0	0.0046017747	0.0	0.042543363	0.0033534882	0.0
changepoint5	0.00079111307	0.0	0.4407843	0.0	0.0	0.0011843249	0.0	0.018796967	5.8875104e-20	0.0020917414
changepoint6	0.0	0.0	0.051602736	0.21999861	0.0	0.0	0.0	0.0013431194	0.004219623	0.0
changepoint7	0.0	0.0	0.014674267	0.22764285	0.0	0.0	0.0	2.4872105e-07	0.0002144413	0.0
changepoint8	9.111569e-17	0.0	0.013966689	0.20392598	0.0	2.7131855e-06	0.0	0.00022112542	0.0011447768	1.31644065e-05
changepoint9	0.00020439163	0.0	0.004000581	0.15112732	0.08011824	8.875922e-06	0.0	1.9119829e-05	0.0011065692	4.7420366e-05
changepoint10	0.0	0.0	0.0009502786	0.054791715	0.9160064	1.4055122e-06	0.0	0.0	0.0005164496	0.00026582417
bp10MB1	0.021263806	0.0	1.9598768e-25	0.0	0.0	0.60165995	0.0	0.21748506	0.000130332	4.8197524e-35
bp10MB2	0.0738737	0.0	6.226329e-20	0.0	0.0	0.2334976	0.0	0.23628353	0.08983413	0.0
bp10MB3	0.077123344	0.0	0.05087945	0.0	0.0	0.0037264256	0.0	0.017456912	0.055701204	0.06810923
bpchrarm1	0.0	0.0	0.0	0.0	0.0	0.07708946	0.0	0.0	0.0	0.0
bpchrarm2	0.0	0.0	0.0	0.0	0.0	0.03971304	0.0	0.040517632	0.0	0.0
bpchrarm3	0.025788488	0.0	0.010029423	0.0	0.0	0.0010676505	0.0	0.030177752	0.006782159	0.014290464
bpchrarm4	0.0059417128	0.0	0.0007882022	0.0	0.0	0.0	0.0	0.0	0.015724132	0.0069897245
bpchrarm5	0.0	0.0	0.0	0.0	0.0038753543	0.0	0.0	0.0	0.0	0.007287719
osCN1	0.0	0.0	0.0	0.0	0.0	0.0011342576	0.0	0.07810131	0.34103405	0.21153103
osCN2	0.037990194	0.0	0.025156584	0.0	0.0	0.0	0.0	0.019367548	0.076432854	0.08080222
osCN3	0.0072430195	0.0	0.0031806764	0.0	0.0	0.0	8.695586e-06	0.0	0.0	0.0034458467
