	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.0031260445	0.0	0.0	0.0	0.16839455	0.0	2.920197e-22	0.0	0.0	0.0
segsize2	0.00096024387	0.0053135445	0.0	0.0	0.14070958	0.0	0.0008530469	0.0	0.0	0.0041799387
segsize3	0.0	0.02730833	0.0	0.0	0.16583017	0.0	0.001159041	0.0	0.0	0.02372188
segsize4	0.029145202	0.07836458	0.0	0.0	0.13276644	4.5680314e-11	0.0	6.955372e-06	5.3632286e-18	0.061149728
segsize5	0.050297994	0.0692734	0.0	0.0	0.005337269	0.0	0.0	0.016349344	0.0	0.042866774
segsize6	0.0634165	0.055185895	0.0	0.0	0.0	0.0	0.0	1.4072012e-21	0.00015229652	0.030738654
segsize7	0.06796243	0.036699966	0.0	0.0	0.0	0.0	0.008736273	0.0	0.001367463	0.014365696
segsize8	0.042555004	0.01423577	0.0	0.0	0.0	0.0	0.011860985	0.0	0.0007654257	0.0043768296
segsize9	0.024970114	0.005547301	0.0	0.0	0.0	0.0	0.009805326	0.0	0.00027804013	5.379874e-05
segsize10	0.034411453	0.00491743	0.0	0.0	0.0	0.0	0.019259583	0.0	0.00014284781	0.001797843
segsize11	0.03132164	0.0028366635	0.0	0.0	0.0	0.0	0.025456289	0.0	0.0	0.00359483
segsize12	0.021962592	1.3976874e-07	0.0	0.0	0.0	0.0	0.02920318	0.0	0.0	0.0059296433
segsize13	0.009358153	0.0010812426	0.0	0.0	0.0	0.0	0.022867048	0.0	0.0	0.009518259
segsize14	0.0040772688	0.0	0.0	0.0	0.0	1.2076984e-12	0.015139102	0.0	0.00069872395	0.006521107
segsize15	8.034721e-17	0.0	0.010143767	0.0	0.0	0.008631708	0.0229625	0.011502998	0.0017038578	0.0148425065
segsize16	0.0	0.0	0.0795916	0.0	0.0	0.0	0.010064295	0.0031502037	0.0013858209	0.0061807027
segsize17	0.0	0.0	0.10204673	0.0	0.0	0.0	0.014646672	0.010839818	0.0019803052	0.004239277
segsize18	0.0	0.0	0.07640803	0.0	0.0	0.0	0.007236995	0.0059835855	0.0016044915	0.0021932556
segsize19	0.0	0.0	0.10282691	0.0	0.0	0.0	0.0057014865	0.002820472	0.0011610138	0.0013844582
segsize20	0.0	0.0	0.13077988	0.0	0.00089370535	0.0	0.002235569	3.60928e-40	0.0	2.502448e-22
segsize21	0.0	0.0	0.18493924	0.0	0.0	0.0	0.0032021902	0.002022404	0.0022424257	0.0
segsize22	0.0	0.0	0.31326386	0.0	0.0	0.0	0.0	0.0	0.0028638297	0.0
changepoint1	0.0	0.0	0.0	0.0	0.01246844	0.37275323	0.005544543	0.0	0.007122524	0.007410145
changepoint2	0.025301415	0.00088013307	0.0	0.0	0.0	0.61860836	0.020379782	0.0	0.0017771621	0.0
changepoint3	0.0	0.31285807	0.0	0.0	0.0	0.0	0.066598825	0.0	0.0051131193	0.0
changepoint4	0.005476308	0.16324393	0.0	0.0	0.0	0.0	0.04479354	0.0	0.0038419561	0.14044943
changepoint5	2.0162882e-30	0.0020650008	0.0	0.0	4.34608e-31	0.0	0.017728452	0.0	0.00070382	0.44184366
changepoint6	0.005599437	0.0	0.0	0.0	0.0	0.0	0.0008614638	0.24431954	0.0	0.05271412
changepoint7	0.0008645839	0.0	0.0	0.0	0.0	0.0	0.0	0.2573962	0.0	0.014943884
changepoint8	0.0019349345	4.9366918e-05	0.0	0.0	1.2369929e-11	0.0	0.00011400058	0.23019655	0.0	0.014373257
changepoint9	0.0015697621	0.00021739469	0.0	0.09576353	4.7284415e-13	0.0	2.9332373e-22	0.16508059	5.793926e-06	0.004250119
changepoint10	0.00065564085	4.864747e-05	0.0	0.8941023	0.000108884444	0.0	0.0	0.050331347	3.8143135e-23	0.0012163044
bp10MB1	0.01411589	0.001123449	0.0	0.0	0.0	0.0	0.21186517	0.0	0.607024	4.6999767e-19
bp10MB2	0.089260444	0.059011374	0.0	0.0	0.0	0.0	0.23866649	0.0	0.23509793	9.161906e-22
bp10MB3	0.055229407	0.08076331	0.0	0.0	0.06492932	0.0	0.017773233	0.0	0.0035399643	0.048132095
bpchrarm1	0.0	0.0	0.0	0.0	0.0	0.0	8.8094065e-09	0.0	0.07739786	0.0
bpchrarm2	0.0	0.0	0.0	0.0	0.0	0.0	0.03993549	0.0	0.040050793	0.0
bpchrarm3	0.008239198	0.023672754	0.0	0.0	0.019057874	0.0	0.030479312	0.0	0.00084568746	0.011019658
bpchrarm4	0.014324095	0.007259779	0.0	0.0	0.005235832	0.0	0.0	0.0	0.0	0.0005221182
bpchrarm5	0.0	0.0011185341	0.0	0.01013425	0.0022469056	0.0	0.0	0.0	0.0	0.0
osCN1	0.31886417	0.0	0.0	0.0	0.20153254	0.0	0.07589991	0.0	0.0011328736	0.0
osCN2	0.075000025	0.038814034	0.0	0.0	0.077379815	0.0	0.018970221	0.0	0.0	0.022117881
osCN3	0.0	0.008110006	0.0	0.0	0.0031086297	6.7261053e-06	0.0	0.0	0.0	0.0033521864
