	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.17230552	0.0028204399	0.0	0.0	0.0	0.0	0.00027960373	0.0	0.0	0.0
segsize2	0.14390379	8.296669e-15	0.0	0.0	0.0	0.0	0.0010341252	0.0	0.0055029187	0.0047052335
segsize3	0.16834551	0.0	0.0	0.0	0.0	0.0	0.0012188349	0.0	0.026240924	0.024156652
segsize4	0.12701169	0.028538575	0.0	0.0	0.0	0.022156995	0.0	0.0028464054	0.075818725	0.06049315
segsize5	0.0020720467	0.052710813	0.0	0.0	0.0	0.02332948	0.0	0.0	0.06612315	0.04412827
segsize6	0.0	0.065263145	4.598947e-14	0.0	0.0	0.0	0.002759622	0.0	0.050093967	0.029603457
segsize7	0.0	0.07035874	0.0013285181	0.0	0.0	0.0	0.0099826045	0.0	0.034520265	0.014552426
segsize8	0.0	0.04366029	0.0007875242	0.0	0.0	0.0	0.012681833	0.0	0.013489355	0.0043195854
segsize9	0.0	0.025803545	0.00030225114	0.0	0.0	0.0	0.010010436	0.0	0.0057823844	1.39887015e-05
segsize10	0.0	0.035008	0.00021123952	0.0	0.0	0.0	0.019426826	0.0	0.0055848365	0.0015679963
segsize11	0.0	0.03105331	3.6948e-41	0.0	0.0	0.0	0.025351578	0.0	0.004543825	0.004600727
segsize12	0.0	0.020847159	0.0	0.0	0.0	0.0	0.029045388	0.0	0.0026844542	0.0064903093
segsize13	0.0	0.010412633	0.0005912135	0.0	0.0	0.0	0.022251254	0.0	0.0006466552	0.007160841
segsize14	0.0	0.0041616396	0.0007856196	0.0	0.0	0.0	0.014985754	0.0	8.731125e-31	0.005887367
segsize15	0.0	5.3485887e-15	0.0022320673	1.9925772e-09	0.0	0.008512771	0.022531288	0.008198004	0.0	0.015131577
segsize16	0.0	0.0	0.0017093985	0.08093918	0.0	0.002696084	0.009959924	0.0	0.0	0.005655744
segsize17	0.0	0.0	0.0024970707	0.09963672	0.0	0.009135713	0.014471279	0.0	0.0	0.0045977705
segsize18	0.0	0.0	0.0019109489	0.07698318	0.0	0.0056454907	0.0070907935	0.0	0.0	0.002295346
segsize19	0.0	0.0	0.0015387404	0.10209327	0.0	0.0032620742	0.0056506214	0.0	0.0	0.0014570338
segsize20	0.0	0.0	0.0011311413	0.11687789	0.0	0.0	0.0018940758	0.0	0.0	1.7883853e-36
segsize21	0.0	0.0	0.0027892198	0.18779615	0.0	0.0028893468	0.0032183935	0.0	0.0	0.0
segsize22	0.0	0.0	0.0033757822	0.33567354	0.0	0.0	0.0	0.0	0.0	0.0
changepoint1	0.012130137	0.0	0.0070970044	0.0	0.0	0.0	0.005447075	0.37201682	0.0	0.007433661
changepoint2	0.0	0.025507526	0.0018476935	0.0	0.0	0.0	0.02031554	0.6169319	0.0017303779	0.0
changepoint3	0.0	0.0	0.0055405265	0.0	0.0	0.0	0.06317135	0.0	0.30226403	0.0
changepoint4	0.0	0.0054673753	0.0041207722	0.0	0.0	0.0	0.043191798	0.0	0.15779258	0.14062671
changepoint5	0.0	9.18077e-36	0.00083946204	0.0	0.0	0.0	0.017735545	0.0	0.0030367514	0.44253355
changepoint6	0.0	0.00520118	0.0	0.0	0.0	0.24097484	0.0011611655	0.0	0.0	0.051708966
changepoint7	0.0	0.00078367227	0.0	0.0	0.0	0.24880011	3.090627e-07	0.0	0.0	0.014876519
changepoint8	1.209327e-09	0.0019228855	1.4422012e-06	0.0	0.0	0.22221677	0.00015032792	0.0	3.4918445e-05	0.014083819
changepoint9	1.4097395e-10	0.0016170389	5.4687716e-06	0.0	0.09337842	0.16001678	1.665753e-05	0.0	0.00019662343	0.0041421833
changepoint10	8.7674074e-05	0.00067639357	1.35e-43	0.0	0.89646953	0.050363507	0.0	0.0	4.3291977e-05	0.0011686072
bp10MB1	0.0	8.907669e-05	0.60251486	0.0	0.0	0.0	0.21028368	0.0	0.019141067	1.3102838e-22
bp10MB2	0.0	0.08318166	0.23444848	0.0	0.0	0.0	0.23472564	0.0	0.06899344	4.0586586e-22
bp10MB3	0.065803856	0.056809686	0.0034563823	0.0	0.0	0.0	0.018425008	0.0	0.07847646	0.04906363
bpchrarm1	0.0	0.0	0.076807156	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bpchrarm2	0.0	0.0	0.03977703	0.0	0.0	0.0	0.039837558	0.0	0.0	0.0
bpchrarm3	0.02051523	0.0074813794	0.0010836372	0.0	0.0	0.0	0.029409079	0.0	0.024505885	0.010498414
bpchrarm4	0.0054020477	0.015474031	0.0	0.0	0.0	0.0	0.0	0.0	0.0065296954	0.0009902937
bpchrarm5	0.0022776944	0.0	0.0	0.0	0.010152026	0.0	0.0	0.0	0.001073043	0.0
osCN1	0.2002361	0.32835674	0.0012692999	0.0	0.0	0.0	0.08191104	0.0	0.0	0.0
osCN2	0.07641052	0.076793164	0.0	0.0	0.0	0.0	0.020374019	0.0	0.03750263	0.022806354
osCN3	0.0034981736	0.0	0.0	0.0	0.0	0.0	0.0	6.938459e-06	0.0076477206	0.0032498548
