	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.0	0.0	0.0	0.0	0.00052394427	0.0	0.0	0.14075403	0.0	0.0
segsize2	8.525841e-08	0.0	0.0	0.0	0.0013622368	0.004399649	0.0	0.12090433	0.0	0.0
segsize3	0.0	0.0	0.0	0.0	0.0012987638	0.023449678	0.01841259	0.14742945	0.0	0.0
segsize4	0.0	0.0	0.0	0.06872067	2.3334485e-06	0.08181436	0.061352354	0.14049141	0.0	0.0
segsize5	0.0	0.0	0.0457158	0.0389629	0.0	0.06511391	0.04463497	0.02031413	0.0	0.0
segsize6	5.0513518e-05	0.0	0.064952895	0.011299558	0.0015984724	0.051265087	0.03370574	0.0	0.0	0.0
segsize7	0.0013934571	0.0	0.074534826	0.0	0.0085430425	0.035077572	0.01863175	0.0	0.0	0.0
segsize8	0.0008066589	0.0	0.04677221	0.0	0.0113684395	0.014595047	0.0068025147	0.0	0.0	0.0
segsize9	0.0003036354	0.0	0.028208207	0.0	0.009410814	0.0060921963	0.0006553439	0.0	0.0	0.0
segsize10	0.00024080963	0.0	0.039051533	0.0	0.018377649	0.006144021	0.002292667	0.0	0.0	0.0
segsize11	4.6893988e-26	0.0	0.03414278	0.0	0.024670063	0.0054424573	0.004820627	0.0	0.0	0.0
segsize12	0.0	0.0	0.023734972	0.0	0.028583962	0.0030766774	0.0063179396	0.0	0.0	0.0
segsize13	0.0005965003	0.0	0.011759	0.0	0.022102857	0.0010943658	0.0063551147	0.0	0.0	0.0
segsize14	0.00077111117	0.0	0.0049454556	0.0	0.015074137	1.3539231e-32	0.005152934	0.0	1e-45	0.0
segsize15	0.0021175006	0.0	1.2442998e-10	0.0076297824	0.022983644	0.0	0.015001116	0.0	0.009934407	1.0902368e-05
segsize16	0.0017015166	0.0	0.0	0.003782863	0.010430211	0.0	0.004228104	0.0	0.0	0.07955264
segsize17	0.0024446873	0.0	0.0	0.010250916	0.014828119	0.0	0.003193032	0.0	0.0	0.09930902
segsize18	0.0018579811	0.0	0.0	0.0063750204	0.007592268	0.0	0.0006868221	0.0	0.0	0.07765286
segsize19	0.0014428952	0.0	0.0	0.004228949	0.0058586234	0.0	0.0005258276	0.0	0.0	0.10238905
segsize20	0.0010194032	0.0	0.0	0.0	0.0020579672	0.0	3.8e-44	0.0	0.0	0.11768897
segsize21	0.0027439897	0.0	0.0	0.0027269549	0.0033220109	0.0	0.0	0.0	0.0	0.18791167
segsize22	0.0033521054	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3354849
changepoint1	0.0072436417	0.0	0.0	0.0	0.0056615053	0.0	0.0061723003	0.013141333	0.36933523	0.0
changepoint2	0.0021563987	0.0	0.029415056	0.0	0.01898804	0.002330861	0.0	0.0	0.62073034	0.0
changepoint3	0.006374966	0.0	0.0	0.0	0.061993953	0.29564005	0.0	0.0	0.0	0.0
changepoint4	0.0045541297	0.0	0.003223031	0.0	0.04316951	0.15589227	0.14204608	0.0	0.0	0.0
changepoint5	0.0010663474	0.0	1.0936e-41	0.0	0.018436596	0.0017381358	0.446361	3.1300896e-15	0.0	0.0
changepoint6	0.0	0.0	0.004282402	0.2170744	0.0013219966	0.0	0.052178964	0.0	0.0	0.0
changepoint7	0.0	0.0	0.00021276121	0.2251855	4.000545e-07	0.0	0.01425518	0.0	0.0	0.0
changepoint8	2.410585e-06	0.0	0.001161775	0.20137726	0.00019829687	3.436372e-38	0.013745675	0.00010984188	0.0	0.0
changepoint9	7.791744e-06	0.081253566	0.0010784584	0.14886397	1.6809927e-05	0.00020361086	0.0038720206	0.00020014036	0.0	0.0
changepoint10	0.0	0.9107941	0.00047472015	0.053521343	0.0	3.321047e-05	0.00095213257	0.00022084736	0.0	0.0
bp10MB1	0.6015069	0.0	0.0016450469	0.0	0.21882953	0.020409971	5.395127e-26	1.3220276e-33	0.0	0.0
bp10MB2	0.23385358	0.0	0.09388251	0.0	0.23630947	0.071831115	5.304071e-33	0.0	0.0	0.0
bp10MB3	0.0035987396	0.0	0.05367903	0.0	0.017769322	0.077018954	0.05002268	0.0724598	0.0	0.0
bpchrarm1	0.07710638	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bpchrarm2	0.039595567	0.0	0.0	0.0	0.041163728	0.0	0.0	0.0	0.0	0.0
bpchrarm3	0.0011051265	0.0	0.008019681	0.0	0.029318392	0.024181718	0.008786869	0.020247867	0.0	0.0
bpchrarm4	0.0	0.0	0.015374666	0.0	0.0	0.006698015	0.0014589117	0.0058411974	0.0	0.0
bpchrarm5	0.0	0.007952327	0.0	0.0	0.0	0.0008333959	0.0	0.002832066	0.0	0.0
osCN1	0.0009852352	0.0	0.33818594	0.0	0.0774465	0.0	0.0	0.2306323	0.0	0.0
osCN2	0.0	0.0	0.075547256	0.0	0.01938641	0.03831721	0.023828488	0.08192379	0.0	0.0
osCN3	0.0	0.0	0.0	0.0	0.0	0.007306564	0.0035502235	0.0024974174	0.0	0.0
