	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.0	0.0	0.0	0.0	0.0	0.0	0.0025985534	0.15661989	0.0	0.0
segsize2	0.0	0.004551436	0.0	0.0	0.003972567	0.0	0.0015617751	0.13335277	0.0	0.00064838154
segsize3	0.0	0.02670552	0.0	0.0	0.02098883	0.0	7.1135224e-38	0.15742952	0.0	0.0023078641
segsize4	0.0	0.09477529	2.0521e-26	0.0	0.0589445	0.06922014	2.6046063e-10	0.10937087	0.02809867	0.00053556514
segsize5	0.0	0.085847124	0.0	0.0	0.041372955	0.07018093	0.017970454	7.615201e-07	0.008462501	0.0
segsize6	0.0	0.064959966	3.1859528e-12	0.0	0.027075557	0.03188203	0.036568195	0.0	0.0	0.0
segsize7	0.0	0.04346798	0.001686713	0.0	0.016497195	0.0	0.056375284	0.0	0.0	1.7709566e-32
segsize8	0.0	0.016163005	0.0010194335	0.0	0.0059297155	0.0	0.041243814	0.0	0.0	0.0039029305
segsize9	0.0	0.006596455	0.00037385416	0.0	0.0015176293	0.0	0.025889026	0.0	0.0	0.0045713917
segsize10	0.0	0.0049045812	0.00024440448	0.0	0.00384261	0.0	0.038484897	0.0	0.0	0.011414948
segsize11	0.0	0.0017448413	0.0	0.0	0.0064876424	0.0	0.038109533	0.0	0.0	0.01803865
segsize12	0.0	0.0	0.0	0.0	0.008257031	0.0	0.029587062	0.0	0.0	0.023999209
segsize13	0.0	0.0	2.1828902e-13	0.0	0.009638579	0.0	0.0155682545	0.0	0.0	0.021427492
segsize14	0.0	0.0	0.0001774722	0.0	0.009015466	0.0	0.0063069975	0.0	0.007255472	0.015153396
segsize15	0.0	0.0	0.0007972579	6.295579e-15	0.02155509	0.017923225	1.4791232e-05	0.0	0.027454223	0.0258154
segsize16	0.0	0.0	0.0015345723	0.07678479	0.006774847	0.008031365	0.00024656646	0.0	0.0	0.012231499
segsize17	0.0	0.0	0.0020153518	0.09908894	0.006106878	0.01706311	3.2069978e-36	0.0	0.0	0.018136978
segsize18	0.0	0.0	0.0017499963	0.07608443	0.0024898755	0.010454708	0.0	0.0	0.0	0.009005201
segsize19	0.0	0.0	0.0014604729	0.10434164	0.0014062338	0.00739199	0.0	0.0	0.0	0.0071796463
segsize20	0.0	0.0	0.0012509868	0.11792751	0.00016194428	0.002248785	0.0	0.0	0.0	0.002486071
segsize21	0.0	0.0	0.0030513222	0.18833031	6.7455945e-25	0.006022545	0.0	0.0	0.0	0.0042858627
segsize22	0.0	0.0	0.004362066	0.3374424	0.0	0.0	0.0	0.0	0.0	0.0
changepoint1	0.0	0.0	0.006847404	0.0	0.008553982	0.0	1.1096626e-35	0.012572415	0.35163343	0.00673288
changepoint2	0.0	9.997999e-07	0.001944606	0.0	0.0	0.0	0.03245843	0.0	0.57709575	0.013532291
changepoint3	0.0	0.27887797	0.004330803	0.0	0.0	0.0	0.0	0.0	0.0	0.0992344
changepoint4	0.0	0.15616634	0.003344169	0.0	0.13276465	0.0	8.690187e-06	0.0	0.0	0.063405685
changepoint5	0.0	0.005139926	0.00053468684	0.0	0.43059427	0.0	6.724971e-06	0.0	0.0	0.018599069
changepoint6	0.0	0.0	0.0	0.0	0.051024072	0.18243007	0.00467626	0.0	0.0	0.0
changepoint7	0.0	0.0	0.0	0.0	0.014560395	0.19194971	0.00013460028	0.0	0.0	0.0
changepoint8	0.0	9.573383e-05	6.3349387e-07	0.0	0.013498107	0.17426935	0.0007222367	7.249137e-12	0.0	0.00010216712
changepoint9	0.05676741	0.00034999597	8.176284e-06	0.0	0.0036373814	0.13693814	0.00043231988	0.00011680145	0.0	1.3446934e-28
changepoint10	0.9330651	0.00013239612	1.0474932e-06	0.0	0.00058304257	0.060365245	0.00012058703	0.000107841544	0.0	0.0
bp10MB1	0.0	1.3205483e-06	0.605493	0.0	6.9115257e-22	0.0	0.045388073	9.19e-43	0.0	0.2604818
bp10MB2	0.0	0.03305538	0.23279351	0.0	4.3351412e-07	0.0	0.1459537	0.0	0.0	0.25247353
bp10MB3	0.0	0.08471481	0.0038460554	0.0	0.04704663	0.0	0.045219984	0.07220973	0.0	0.013597212
bpchrarm1	0.0	0.0	0.07887687	0.0	0.0	0.0	0.0	0.0	0.0	4.353608e-28
bpchrarm2	0.0	0.0	0.038146473	0.0	7.92e-43	4.2963144e-27	0.00097386615	0.0	0.0	0.054108527
bpchrarm3	0.0	0.017275522	0.00082534243	0.0	0.009621818	0.0	0.017933205	0.017919485	0.0	0.030641347
bpchrarm4	0.0	0.018962573	0.0	0.0	0.0077549103	0.013628696	0.0	1.9481791e-16	0.0	0.0
bpchrarm5	0.010167462	0.0014648422	0.0	0.0	0.0	0.0	0.0	0.0012588219	0.0	0.0
osCN1	0.0	1.995591e-15	0.0032833368	0.0	0.0	0.0	0.32724723	0.25230598	0.0	2.6024477e-15
osCN2	0.0	0.045413245	0.0	0.0	0.02555524	0.0	0.068198904	0.084150024	0.0	0.0059505277
osCN3	0.0	0.008632733	0.0	0.0	0.0027699638	0.0	0.0	0.002585134	0.0	0.0
