	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.0	0.0	0.0	0.0	0.0	0.0026545154	0.0	0.00026263006	0.16168642	0.0
segsize2	0.0	0.004218672	0.0	0.0	0.0	4.8153046e-20	0.005048804	0.0011454056	0.13589871	0.0
segsize3	0.0	0.022708716	0.0	0.0	3e-44	0.0	0.024739021	0.0013732279	0.16189964	0.0
segsize4	1.6855918e-05	0.06157756	0.0	9.254395e-18	1.7036112e-27	0.029524213	0.072183326	8.973854e-31	0.13522437	0.0
segsize5	0.0	0.04480551	0.0	0.012621979	0.0	0.052859664	0.064062245	0.0	0.009218461	0.0
segsize6	0.0	0.033647504	0.0	1.0716997e-12	8.3901484e-13	0.06593139	0.05260022	5.9227095e-27	0.0	0.0
segsize7	0.0	0.016517818	0.0	0.0	0.0012733729	0.07046946	0.035739437	0.008887476	0.0	0.0
segsize8	0.0	0.005695772	0.0	0.0	0.00076859316	0.04363092	0.014374354	0.01199006	0.0	0.0
segsize9	0.0	0.00013569003	0.0	0.0	0.0002569508	0.025941543	0.0064655393	0.009823119	0.0	0.0
segsize10	0.0	0.0019859776	0.0	0.0	0.00022357791	0.035216067	0.006025809	0.019302849	0.0	0.0
segsize11	0.0	0.004547794	0.0	0.0	0.0	0.031241102	0.004888363	0.025363151	0.0	0.0
segsize12	0.0	0.00627268	0.0	0.0	0.0	0.020837916	0.0027715748	0.029469883	0.0	0.0
segsize13	0.0	0.0063629146	0.0	0.0	0.00054973946	0.010514299	0.0010319356	0.022580672	0.0	0.0
segsize14	1.9808271e-25	0.0062146154	0.0	0.0	0.0008040244	0.004011712	1.099e-42	0.015091772	0.0	0.0
segsize15	0.008839563	0.015054119	0.0021501926	0.007796568	0.0022207673	3.8015062e-07	0.0	0.022914877	0.0	0.0
segsize16	0.0	0.005263217	0.08040068	0.002572244	0.0017029333	5.438774e-23	0.0	0.010188142	0.0	0.0
segsize17	0.0	0.0040741796	0.10188444	0.008977302	0.0024662795	0.0	0.0	0.014663857	0.0	0.0
segsize18	0.0	0.002163995	0.07588638	0.005733482	0.0019279172	0.0	0.0	0.0072424444	0.0	0.0
segsize19	0.0	0.0013791211	0.10341609	0.0014220594	0.0015678523	0.0	0.0	0.0057253516	0.0	0.0
segsize20	0.0	0.0003723396	0.11454825	7.76379e-25	0.0010828682	0.0	0.0	0.0019371446	0.0	0.0
segsize21	0.0	0.0	0.1899551	0.0015694755	0.002786655	0.0	0.0	0.0032091993	0.0	0.0
segsize22	0.0	0.0	0.3317589	0.0	0.003388371	0.0	0.0	0.0	0.0	0.0
changepoint1	0.372278	0.007039338	0.0	0.0	0.0070347823	0.0	0.0	0.0055935695	0.012382255	0.0
changepoint2	0.6188601	0.0	0.0	0.0	0.0017407024	0.026095375	0.002209255	0.020305878	0.0	0.0
changepoint3	0.0	0.0	0.0	0.0	0.0055355676	0.0	0.30180362	0.06296023	0.0	0.0
changepoint4	0.0	0.14289671	0.0	0.0	0.0039229733	2.747536e-10	0.1597471	0.04377631	0.0	0.0
changepoint5	0.0	0.43347844	0.0	0.0	0.0010191014	1.1400986e-37	2.5479447e-09	0.018288078	0.0	0.0
changepoint6	0.0	0.05210738	0.0	0.24900034	0.0	0.0047769006	0.0	0.0012362764	0.0	0.0
changepoint7	0.0	0.015092097	0.0	0.26097536	0.0	0.00059116626	0.0	8.837503e-08	0.0	0.0
changepoint8	0.0	0.014460655	0.0	0.232595	2.5396023e-06	0.0017383364	3.7514068e-18	0.00014986593	3.5273224e-05	0.0
changepoint9	0.0	0.00438134	0.0	0.16641958	5.1046604e-06	0.0015444573	0.0002088268	2.1833215e-09	3.6609656e-06	0.096909426
changepoint10	0.0	0.0012820648	0.0	0.050316583	5.835453e-07	0.0006726824	3.3223645e-05	0.0	0.00011772745	0.89264834
bp10MB1	0.0	1.0051583e-10	0.0	0.0	0.6026723	0.0012124811	0.01946007	0.21305157	2.704488e-30	0.0
bp10MB2	0.0	2.1733353e-13	0.0	0.0	0.2344957	0.08332906	0.07225843	0.23722625	0.0	0.0
bp10MB3	0.0	0.049218267	0.0	0.0	0.0034490651	0.056860674	0.076878786	0.017565958	0.06786472	0.0
bpchrarm1	0.0	0.0	0.0	0.0	0.07694172	0.0	0.0	7.566205e-15	0.0	0.0
bpchrarm2	0.0	0.0	0.0	0.0	0.039815277	0.0	0.0	0.04015933	0.0	0.0
bpchrarm3	0.0	0.008254182	0.0	0.0	0.00105182	0.0076853745	0.024701137	0.030073246	0.020526342	0.0
bpchrarm4	0.0	0.0012485196	0.0	0.0	0.0	0.014992958	0.0065705315	0.0	0.0059203175	0.0
bpchrarm5	0.0	0.0	0.0	0.0	0.0	0.0	0.0009977546	0.0	0.0021820911	0.010442318
osCN1	0.0	0.0	0.0	0.0	0.001292942	0.33129656	2.2132e-41	0.07898475	0.20607094	0.0
osCN2	0.0	0.024266608	0.0	0.0	0.0	0.07637083	0.037602454	0.01945727	0.07823734	0.0
osCN3	5.4994766e-06	0.0032762287	0.0	0.0	0.0	0.0	0.007598172	0.0	0.0027316695	0.0
