Old	New	ReactomePathway
AAAS	AAAS	Cell-Cycle
ABL1	ABL1	Cell-Cycle
ABRAXAS1	FAM175A	Cell-Cycle
ACD	ACD	Cell-Cycle
ACTR1A	ACTR1A	Cell-Cycle
AHCTF1	AHCTF1	Cell-Cycle
AJUBA	AJUBA	Cell-Cycle
AKAP9	AKAP9	Cell-Cycle
AKT1	AKT1	Cell-Cycle
AKT2	AKT2	Cell-Cycle
AKT3	AKT3	Cell-Cycle
ALMS1	ALMS1	Cell-Cycle
ANAPC1	ANAPC1	Cell-Cycle
ANAPC10	ANAPC10	Cell-Cycle
ANAPC11	ANAPC11	Cell-Cycle
ANAPC15	ANAPC15	Cell-Cycle
ANAPC16	ANAPC16	Cell-Cycle
ANAPC2	ANAPC2	Cell-Cycle
ANAPC4	ANAPC4	Cell-Cycle
ANAPC5	ANAPC5	Cell-Cycle
ANAPC7	ANAPC7	Cell-Cycle
ANKLE2	ANKLE2	Cell-Cycle
ARPP19	ARPP19	Cell-Cycle
ATM	ATM	Cell-Cycle
ATR	ATR	Cell-Cycle
ATRIP	ATRIP	Cell-Cycle
AURKA	AURKA	Cell-Cycle
AURKB	AURKB	Cell-Cycle
B9D2	B9D2	Cell-Cycle
BABAM1	BABAM1	Cell-Cycle
BABAM2	BRE	Cell-Cycle
BANF1	BANF1	Cell-Cycle
BARD1	BARD1	Cell-Cycle
BIRC5	BIRC5	Cell-Cycle
BLM	BLM	Cell-Cycle
BLZF1	BLZF1	Cell-Cycle
BORA	BORA	Cell-Cycle
BRCA1	BRCA1	Cell-Cycle
BRCA2	BRCA2	Cell-Cycle
BRCC3	BRCC3	Cell-Cycle
BRIP1	BRIP1	Cell-Cycle
BTRC	BTRC	Cell-Cycle
BUB1	BUB1	Cell-Cycle
BUB1B	BUB1B	Cell-Cycle
BUB3	BUB3	Cell-Cycle
CABLES1	CABLES1	Cell-Cycle
CCNA1	CCNA1	Cell-Cycle
CCNA1	CCNA1	Cell-Cycle
CCNA2	CCNA2	Cell-Cycle
CCNA2	CCNA2	Cell-Cycle
CCNB1	CCNB1	Cell-Cycle
CCNB1	CCNB1	Cell-Cycle
CCNB2	CCNB2	Cell-Cycle
CCNB2	CCNB2	Cell-Cycle
CCND1	CCND1	Cell-Cycle
CCND2	CCND2	Cell-Cycle
CCND3	CCND3	Cell-Cycle
CCNE1	CCNE1	Cell-Cycle
CCNE1	CCNE1	Cell-Cycle
CCNE2	CCNE2	Cell-Cycle
CCNH	CCNH	Cell-Cycle
CCP110	CCP110	Cell-Cycle
CDC14A	CDC14A	Cell-Cycle
CDC16	CDC16	Cell-Cycle
CDC20	CDC20	Cell-Cycle
CDC23	CDC23	Cell-Cycle
CDC25A	CDC25A	Cell-Cycle
CDC25A	CDC25A	Cell-Cycle
CDC25B	CDC25B	Cell-Cycle
CDC25C	CDC25C	Cell-Cycle
CDC26	CDC26	Cell-Cycle
CDC27	CDC27	Cell-Cycle
CDC45	CDC45	Cell-Cycle
CDC45	CDC45	Cell-Cycle
CDC6	CDC6	Cell-Cycle
CDC6	CDC6	Cell-Cycle
CDC7	CDC7	Cell-Cycle
CDCA5	CDCA5	Cell-Cycle
CDCA8	CDCA8	Cell-Cycle
CDK1	CDK1	Cell-Cycle
CDK1	CDK1	Cell-Cycle
CDK11A	CDK11A	Cell-Cycle
CDK11B	CDK11B	Cell-Cycle
CDK2	CDK2	Cell-Cycle
CDK4	CDK4	Cell-Cycle
CDK5RAP2	CDK5RAP2	Cell-Cycle
CDK6	CDK6	Cell-Cycle
CDK7	CDK7	Cell-Cycle
CDKN1A	CDKN1A	Cell-Cycle
CDKN1A	CDKN1A	Cell-Cycle
CDKN1A	CDKN1A	Cell-Cycle
CDKN1B	CDKN1B	Cell-Cycle
CDKN1C	CDKN1C	Cell-Cycle
CDKN2A	CDKN2A	Cell-Cycle
CDKN2A	CDKN2A	Cell-Cycle
CDKN2B	CDKN2B	Cell-Cycle
CDKN2C	CDKN2C	Cell-Cycle
CDKN2D	CDKN2D	Cell-Cycle
CDT1	CDT1	Cell-Cycle
CDT1	CDT1	Cell-Cycle
CENPA	CENPA	Cell-Cycle
CENPC	CENPC	Cell-Cycle
CENPE	CENPE	Cell-Cycle
CENPF	CENPF	Cell-Cycle
CENPF	CENPF	Cell-Cycle
CENPH	CENPH	Cell-Cycle
CENPI	CENPI	Cell-Cycle
CENPJ	CENPJ	Cell-Cycle
CENPK	CENPK	Cell-Cycle
CENPL	CENPL	Cell-Cycle
CENPM	CENPM	Cell-Cycle
CENPN	CENPN	Cell-Cycle
CENPO	CENPO	Cell-Cycle
CENPP	CENPP	Cell-Cycle
CENPQ	CENPQ	Cell-Cycle
CENPS	APITD1	Cell-Cycle
CENPT	CENPT	Cell-Cycle
