AMP	DEL	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	In_Frame_Ins	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	RNA	Splice_Site	Translation_Start_Site
AAAS	0	0	3	0	1	0	24	2	0	0	0	0
ABL1	0	0	4	1	1	0	64	5	0	0	1	0
ACD	0	0	1	1	0	0	30	6	0	0	0	0
ACTB	0	1	2	1	3	0	64	1	0	0	2	1
ACTL6A	0	0	0	0	1	0	26	2	0	0	2	0
ACTL6B	0	0	2	3	1	0	35	2	0	0	4	0
ACTR1A	0	1	1	0	0	0	20	0	0	0	1	0
ACTR5	0	0	3	0	0	0	30	1	0	0	1	0
ACTR8	0	1	2	0	0	0	27	3	0	0	1	0
ACVR1B	0	1	2	0	0	0	61	6	1	0	3	0
ACVR2A	0	0	46	2	2	1	44	9	0	0	4	1
ADPRHL2	0	0	1	0	0	0	12	0	0	0	0	0
AEBP2	0	0	1	0	0	0	19	1	0	0	0	0
AHCTF1	0	0	7	4	0	0	143	12	0	0	5	0
AJUBA	0	0	12	8	2	0	30	13	0	0	3	0
AKAP9	0	0	20	6	2	0	235	30	0	0	4	0
AKT1	79	0	0	0	0	0	77	0	0	0	0	0
AKT2	0	0	0	0	0	0	40	2	0	0	1	0
AKT3	0	0	1	0	0	0	48	4	0	0	3	0
ALK	0	0	4	0	2	0	137	12	0	0	6	0
ALKBH2	0	0	1	0	0	0	23	1	0	0	0	0
ALKBH3	0	0	0	0	0	0	17	1	0	0	1	0
ALKBH5	0	0	0	0	0	0	21	1	0	0	0	0
ALMS1	0	0	10	5	2	1	264	29	0	0	0	0
AMER1	0	2	8	2	0	0	123	39	0	0	1	0
ANAPC1	0	0	5	0	1	0	93	5	0	0	2	0
ANAPC10	0	0	0	0	0	0	5	0	0	0	0	0
ANAPC11	0	0	0	0	0	0	7	0	0	0	0	0
ANAPC15	0	0	1	0	0	0	5	1	0	0	0	0
ANAPC16	0	0	0	0	0	0	4	0	0	0	0	0
ANAPC2	0	0	0	0	1	0	62	1	0	0	0	0
ANAPC4	0	0	5	0	0	0	27	4	0	0	3	0
ANAPC7	0	1	1	0	0	0	32	1	0	0	1	0
ANKLE2	0	0	2	1	1	0	75	2	0	0	3	0
APBB1	0	0	2	0	0	0	51	1	0	0	2	0
APC	0	0	107	58	2	0	175	297	0	0	17	0
APEX1	0	0	0	0	1	0	12	0	0	0	0	0
