Signature	Driver	SampsMut	SampsNonMut	MeanDriverPos	MeanDriverNeg	MeanDiff	pValTTest	pAdjTTest	plot
CX1	CDKN2C	12	5198	0.8702	-0.01338	0.8836	1.147e-05	0.000534310833333333	7.5345328034559
CX1	VHL	58	5152	0.7579	-0.02001	0.7779	3.522e-12	7.875192e-10	20.9621333645736
CX1	RPL22	23	5187	0.5882	-0.014	0.6022	1.873e-05	0.0008376056	7.08496321266143
CX1	IDH1	307	4903	0.4595	-0.04083	0.5003	5.952e-25	3.327168e-22	49.4547505541653
CX1	CIC	100	5110	0.439	-0.02016	0.4592	1.121e-06	7.37222352941176e-05	9.51520610421542
CX1	PBRM1	119	5091	0.3911	-0.02075	0.4118	2.27e-06	0.000139338105263158	8.87860716639391
CX1	SOX9	53	5157	0.3939	-0.01551	0.4094	4.891e-05	0.0020252362962963	6.20206889570229
CX10	PPP2R1A	166	5044	0.5435	0.01563	0.5279	6.48e-05	0.000883492682926829	7.03162754815525
CX10	FBXW7	192	5018	0.5344	0.01324	0.5212	6.789e-05	0.000914470120481928	6.99716576373227
CX10	CDK4	193	5017	0.5062	0.01422	0.492	4.002e-06	7.58345084745763e-05	9.48695711199341
CX10	ERBB2	322	4888	0.4906	0.00227	0.4883	2.194e-07	5.33237391304348e-06	12.1417140318793
CX11	CDK4	193	5017	1.101	-0.02235	1.123	2.016e-07	4.59977142857143e-06	12.2895039451448
CX13	CDK4	193	5017	2.148	-0.05082	2.199	2.019e-12	4.25894716981132e-11	23.8794140364349
CX14	CIC	100	5110	0.5114	-0.02168	0.5331	0.0001806	0.00276590136986301	5.89038870441474
CX17	U2AF1	92	5118	0.8718	0.00584	0.866	0.0001034	0.000955381818181818	6.95339948777164
CX17	PMS1	124	5086	0.5727	0.007685	0.565	8.497e-05	0.000798289579831933	7.13303914434531
CX2	BRCA1	123	5087	0.4368	-0.01087	0.4477	5.982e-05	0.00321345142857143	5.740409708073
CX3	BRCA1	123	5087	1.054	-0.02285	1.077	2.644e-16	9.85330666666667e-14	29.9483842008684
CX3	PMS1	124	5086	0.6621	-0.0135	0.6756	4.107e-09	3.826355e-07	14.7761829980449
CX3	PCBP1	128	5082	0.5896	-0.0122	0.6018	7.081e-11	1.13093685714286e-08	18.2976343776051
CX3	U2AF1	92	5118	0.5237	-0.006786	0.5305	5.174e-06	0.000275453904761905	8.19709025820881
CX3	BRCA2	162	5048	0.4995	-0.01336	0.5129	2.587e-09	2.892266e-07	15.0560553730215
CX3	PPP2R1A	166	5044	0.4797	-0.01312	0.4928	1.116e-09	1.38632e-07	15.7914428966085
CX3	SOS1	113	5097	0.4762	-0.007918	0.4841	1.568e-05	0.0007012096	7.26270371419517
CX3	PIK3R2	107	5103	0.4725	-0.007272	0.4798	4.926e-07	3.93376285714286e-05	10.1433290271602
CX3	MAPK1	109	5101	0.4434	-0.006838	0.4502	1.369e-05	0.000665453043478261	7.31504248087802
CX3	NFE2L2	190	5020	0.4362	-0.01383	0.45	6.417e-08	5.51862e-06	12.1073827289305
CX3	TP53	2031	3179	0.2687	-0.1674	0.4361	1.43e-55	1.59874e-52	119.265209016686
CX3	MYC	258	4952	0.3912	-0.01766	0.4089	3.705e-09	3.76562727272727e-07	14.7921811972817
CX3	ERCC2	131	5079	0.4005	-0.007682	0.4082	1.641e-05	0.00070563	7.25641953716871
CX4	PIK3R2	107	5103	0.9314	0.02377	0.9076	8.802e-10	1.9681272e-07	15.4410132202706
CX4	PCBP1	128	5082	0.7129	0.02553	0.6874	5.939e-09	1.10663366666667e-06	13.7141878834257
CX4	AKT1	117	5093	0.664	0.02813	0.6359	9.017e-05	0.0030548503030303	5.7910246882039
CX4	IDH2	76	5134	0.664	0.03321	0.6308	1.471e-06	0.000137048166666667	8.89517811241793
CX4	U2AF1	92	5118	0.6047	0.03231	0.5724	1.069e-06	0.000108649272727273	9.12738554500469
CX4	PPP2R1A	166	5044	0.5674	0.02514	0.5423	1.625e-07	2.01861111111111e-05	10.8105157587978
CX4	MAPK1	109	5101	0.5222	0.03216	0.49	3.299e-05	0.00131724357142857	6.63221392918394
CX4	ERCC2	131	5079	0.4995	0.03062	0.4689	1.262e-05	0.000742587368421053	7.2053700263026
CX4	CDK4	193	5017	0.4374	0.02722	0.4102	5.365e-06	0.0004232748	7.76748894445614
CX5	U2AF1	92	5118	0.829	0.02465	0.8044	9.877e-06	0.00044169944	7.72488090719144
CX5	CDK4	193	5017	0.7183	0.01272	0.7056	2.199e-10	3.0731025e-08	17.2979931063326
CX5	PCBP1	128	5082	0.726	0.02155	0.7044	5.259e-05	0.00172928294117647	6.36004844126414
CX5	PMS1	124	5086	0.7198	0.02226	0.6975	1.426e-06	8.85704444444445e-05	9.33171234015329
CX5	PIK3R2	107	5103	0.6455	0.02614	0.6194	2.374e-05	0.000856171612903226	7.06303971955285
CX5	ERBB2	322	4888	0.5267	0.006718	0.52	3.725e-13	8.3291e-11	23.2086806158101
CX5	MAPK1	109	5101	0.5346	0.02827	0.5063	5.451e-05	0.00174120514285714	6.35317779466246
CX5	PPP2R1A	166	5044	0.5157	0.02317	0.4925	2.175e-06	0.000127981578947368	8.96362421887503
CX5	BRCA1	123	5087	0.5157	0.02733	0.4884	0.0001056	0.00319083243243243	5.74747344562129
CX6	PSMA4	8	5202	1.454	0.0308	1.423	5.001e-05	0.00266243714285714	5.92851335654184
CX6	CUL1	275	4935	0.4796	0.008098	0.4715	6.413e-13	5.51518e-11	23.6209317325024
CX6	H3F3A	218	4992	0.4827	0.01335	0.4694	1.384e-09	1.03154133333333e-07	16.0870415271381
CX6	RAC1	235	4975	0.4524	0.01317	0.4392	1.19e-09	9.503e-08	16.1690732057232
CX8	U2AF1	92	5118	1.083	0.02655	1.056	1.494e-06	5.06149090909091e-05	9.89126437900508
CX8	PCBP1	128	5082	0.9757	0.02176	0.9539	6.803e-08	3.45716090909091e-06	12.5750628522327
CX8	PIK3R2	107	5103	0.8489	0.02835	0.8206	1.482e-06	5.06149090909091e-05	9.89126437900508
CX8	PMS1	124	5086	0.7844	0.02718	0.7572	1.889e-07	8.447608e-06	11.6816272335921
CX8	ERCC2	131	5079	0.7034	0.02822	0.6752	6.89e-06	0.000175068636363636	8.65033245314193
CX8	AKT1	117	5093	0.6896	0.0304	0.6592	7.455e-06	0.000185215333333333	8.59399144580285
CX8	PPP2R1A	166	5044	0.5645	0.02811	0.5364	1.232e-07	5.73906666666667e-06	12.0682139624799
CX8	ERBB3	142	5068	0.5188	0.03193	0.4869	0.0002022	0.00358824761904762	5.63009132405439
CX8	MAPK1	109	5101	0.5042	0.03539	0.4688	7.994e-05	0.001595945	6.4402892417012
CX8	CDK4	193	5017	0.4948	0.0279	0.4669	8.665e-06	0.000201822291666667	8.50812299198955
CX8	SPOP	195	5015	0.4831	0.02817	0.4549	1.182e-06	4.40492e-05	10.0302033669275
CX8	MYC	258	4952	0.4598	0.0236	0.4362	1.782e-06	5.5341e-05	9.80199651365672
CX8	RAC1	235	4975	0.4444	0.02634	0.4181	7.425e-07	3.0745e-05	10.3897831785588
CX9	CDK4	193	5017	1.238	-0.001558	1.24	3.257e-10	1.07097823529412e-08	18.3521082745475
CX9	CCND1	333	4877	0.6271	0.004557	0.6225	5.02e-13	1.93529655172414e-11	24.6681754514904
CX9	ERBB2	322	4888	0.5818	0.00894	0.5729	3.368e-12	1.21465290322581e-10	22.8313925703186
