Signature	Driver	SampsMut	SampsNonMut	MeanDriverPos	MeanDriverNeg	MeanDiff	pValTTest	pAdjTTest
CX1	EGFR	379	4831	0.07131	-0.01783	0.08914	0.06088	0.391683314285714
CX1	FGFR2	85	5125	-0.3014	-0.006535	-0.2949	0.02234	0.254858367346939
CX1	PIK3CA	957	4253	-0.2059	0.03243	-0.2383	1.026e-10	1.433835e-08
CX1	IDH1	307	4903	0.4595	-0.04083	0.5003	5.952e-25	3.327168e-22
CX1	MSH3	77	5133	0.2152	-0.01474	0.2299	0.035	0.310555555555556
CX1	KRAS	491	4719	-0.1019	-0.001926	-0.09997	0.03152	0.298406016260163
CX1	BRAF	319	4891	0.03776	-0.01455	0.05231	0.3123	0.735758893280632
CX1	CUL1	275	4935	-0.08451	-0.007268	-0.07724	0.2013	0.669804747774481
CX1	ERBB2	322	4888	-0.3524	0.01112	-0.3635	1.238e-10	1.53787111111111e-08
CX1	CTNNB1	197	5013	0.1597	-0.01807	0.1778	0.01728	0.220405714285714
CX1	PIK3CG	92	5118	-0.03224	-0.01097	-0.02127	0.8345	0.963813016528926
CX1	CHD4	214	4996	-0.3666	0.00387	-0.3705	7.363e-07	5.14489625e-05
CX1	SETBP1	120	5090	-0.2335	-0.006108	-0.2274	0.01531	0.211315802469136
CX1	SOS1	113	5097	-0.4929	-0.0006692	-0.4922	5.918e-06	0.000300742
CX1	FGFR3	106	5104	-0.2423	-0.006548	-0.2358	0.02617	0.27864819047619
CX1	HRAS	58	5152	0.2468	-0.01425	0.261	0.01681	0.220405714285714
CX1	CACNA1A	192	5018	-0.2064	-0.003883	-0.2025	0.004937	0.104501358490566
CX1	SF1	61	5149	-0.3293	-0.007578	-0.3217	0.01742	0.220405714285714
CX1	NFE2L2	190	5020	-0.3742	0.002387	-0.3766	2.368e-06	0.000139338105263158
CX1	SMARCA4	264	4946	-0.2474	0.001256	-0.2487	0.000101	0.00389372413793103
CX1	ERBB3	142	5068	-0.3392	-0.002161	-0.337	0.0003347	0.0113392303030303
CX1	WT1	64	5146	-0.05751	-0.01077	-0.04674	0.6917	0.918310223266745
CX1	MAP2K1	67	5143	-0.327	-0.007233	-0.3198	0.02053	0.23967125
CX1	ERCC2	131	5079	-0.4777	0.0006824	-0.4784	4.009e-06	0.000213431523809524
CX1	MACF1	221	4989	-0.3387	0.003155	-0.3419	6.72e-06	0.000326650434782609
CX1	MTOR	142	5068	-0.2023	-0.005996	-0.1963	0.04712	0.355947027027027
CX1	SF3B1	158	5052	-0.3415	-0.00102	-0.3405	0.000233	0.00840303225806452
CX1	PTPN11	90	5120	-0.3051	-0.006182	-0.2989	0.006581	0.122625966666667
CX1	KIT	97	5113	0.1698	-0.01478	0.1846	0.05114	0.365806751592357
CX1	EEF1A1	71	5139	-0.03364	-0.01104	-0.0226	0.8565	0.965180658025922
CX1	MAPK1	109	5101	-0.4768	-0.0014	-0.4754	3.52e-06	0.000196768
CX1	NRAS	198	5012	0.1718	-0.01858	0.1904	0.002619	0.0622987659574468
CX1	H3F3A	218	4992	-0.03253	-0.01042	-0.02211	0.734	0.933021818181818
CX1	RQCD1	51	5159	-0.3522	-0.007976	-0.3442	0.02008	0.238823829787234
CX1	AKT1	117	5093	-0.3774	-0.002937	-0.3745	0.0001088	0.00405461333333333
