"signature"	"gene"	"rho"	"p.value"	"q.value"
"CX1"	"KPNA2"	"-0.349134411488549"	"3.25703600073905e-148"	8.924278642025e-146
"CX1"	"ACTL6A"	"-0.333897376801406"	"5.81812311625006e-135"	7.97082866926258e-133
"CX1"	"EME1"	"-0.328156911040852"	"3.68043796292795e-130"	3.36146667280753e-128
"CX1"	"BLM"	"-0.308064099651603"	"3.70372521065547e-114"	2.537051769299e-112
"CX1"	"RFC4"	"-0.304783750641293"	"1.16156596714715e-111"	6.36538149996638e-110
"CX1"	"RAD51AP1"	"-0.285473186756171"	"1.31062838327383e-97"	5.98520295028382e-96
"CX1"	"POLQ"	"-0.28311303200594"	"5.76391394401781e-96"	2.25616060094411e-94
"CX1"	"CCNH"	"0.26663315013072"	"6.22301495230926e-85"	2.13138262116592e-83
"CX1"	"TOPBP1"	"-0.264407884894121"	"1.68052203501559e-83"	5.11625597326968e-82
"CX1"	"MSH2"	"-0.254444048843109"	"2.93256195837582e-77"	8.03521976594975e-76
"CX1"	"EXO1"	"-0.254340310479757"	"3.39470302287531e-77"	8.45589662061668e-76
"CX1"	"MSH6"	"-0.253341638392741"	"1.38398325249294e-76"	3.16009509319221e-75
"CX1"	"FANCD2"	"-0.251892412164512"	"1.05192139306113e-75"	2.21712662845192e-74
"CX1"	"POLK"	"0.245538314421759"	"6.55968335251891e-72"	1.28382374185013e-70
"CX1"	"FANCI"	"-0.24342438416605"	"1.13571868994569e-70"	2.07457947363413e-69
"CX1"	"CCNA2"	"-0.236876863026818"	"6.53276101508112e-67"	1.11873532383264e-65
"CX1"	"BRIP1"	"-0.23664067163372"	"8.88367767698428e-67"	1.43183981381982e-65
"CX1"	"UBA7"	"0.236293947922867"	"1.39409954622066e-66"	2.122129309247e-65
"CX1"	"RAD51"	"-0.233269190350883"	"6.88726530539403e-65"	9.9321615456735e-64
"CX1"	"MSH3"	"0.230812184412136"	"1.57068577586997e-63"	2.15183951294186e-62
"CX1"	"UBE2T"	"-0.228339995845999"	"3.5195682541562e-62"	4.59219857923238e-61
"CX1"	"RAD1"	"-0.226041533046467"	"6.13219519795654e-61"	7.63737038290951e-60
"CX1"	"FANCB"	"-0.228398297289198"	"7.15089817315072e-59"	8.51889608453607e-58
"CX1"	"DNA2"	"-0.219857498492989"	"1.14406175685964e-57"	1.30613717241476e-56
"CX1"	"MDC1"	"-0.215274658613879"	"2.6206417034329e-55"	2.87222330696246e-54
"CX1"	"CHEK2"	"-0.213867218048537"	"1.35614419962888e-54"	1.42916734883967e-53
"CX1"	"XRCC2"	"-0.211840623287502"	"1.41682920111603e-53"	1.43781926335479e-52
"CX1"	"CLSPN"	"-0.211441328811241"	"2.24309804478307e-53"	2.19503165810915e-52
"CX1"	"TIMELESS"	"-0.208705963981"	"5.09050207135257e-52"	4.80964678465726e-51
"CX1"	"GEN1"	"-0.207733059356838"	"1.52903807341741e-51"	1.3965214403879e-50
"CX1"	"RAD51C"	"-0.197737539290055"	"8.96628964457772e-47"	7.9250431052074e-46
"CX1"	"ISY1"	"-0.200698370177961"	"4.17578829947286e-46"	3.57551873142364e-45
"CX1"	"XPC"	"0.19603951257509"	"5.46450919326584e-46"	4.53719854228739e-45
"CX1"	"POLR2D"	"-0.191103683602181"	"9.50924545675479e-44"	7.66333310338474e-43
"CX1"	"RUVBL1"	"-0.190791421538298"	"1.311735835164e-43"	1.02690176809982e-42
"CX1"	"RAD17"	"0.190459808558847"	"1.84475005357267e-43"	1.40405976299698e-42
"CX1"	"RNF168"	"-0.189759103074284"	"3.78403617049095e-43"	2.80223219112032e-42
"CX1"	"MPG"	"0.18521386601043"	"3.73455024207222e-41"	2.69280727980997e-40
"CX1"	"CDK2"	"-0.184110063001736"	"1.11894120695694e-40"	7.86127924887696e-40
"CX1"	"POLR2K"	"-0.180930260438146"	"2.54006871751603e-39"	1.73994707149848e-38
"CX1"	"FANCE"	"-0.179621906435168"	"9.02714720695646e-39"	6.03277642611237e-38
"CX1"	"DDB2"	"0.179096661160456"	"1.49777822871617e-38"	9.77121987305311e-38
