"signature"	"gene"	"rho"	"p.value"	"q.value"
"CX2"	"KPNA2"	"0.174546587239601"	"1.12716133286523e-36"	3.08842205205073e-34
"CX2"	"EME1"	"0.147191918329808"	"1.8787777894006e-26"	2.57392557147882e-24
"CX2"	"BLM"	"0.132697157890139"	"9.23825589174206e-22"	8.43760704779108e-20
"CX2"	"POLK"	"-0.127854335264968"	"2.648358608022e-20"	1.81412564649507e-18
"CX2"	"FANCD2"	"0.127134000356769"	"4.31587499220818e-20"	2.36509949573008e-18
"CX2"	"CCNH"	"-0.118598509410718"	"1.13837585295154e-17"	5.19858306181203e-16
"CX2"	"MAD2L2"	"0.117125482995099"	"2.8643889686267e-17"	1.12120368200531e-15
"CX2"	"CCNA2"	"0.109892555684754"	"2.24981281329164e-15"	7.70560888552387e-14
"CX2"	"NEIL2"	"-0.106082266566602"	"2.00505332062647e-14"	6.10427344279614e-13
"CX2"	"GPS1"	"0.104223271349443"	"5.66948940119553e-14"	1.55344009592758e-12
"CX2"	"FAAP100"	"0.102333299244932"	"1.60099841802519e-13"	3.98794151399002e-12
"CX2"	"DDB2"	"-0.101097982244208"	"3.12369644318026e-13"	7.13244021192826e-12
"CX2"	"POLQ"	"0.100794219506909"	"3.67718200342618e-13"	7.75036822260595e-12
"CX2"	"MSH3"	"-0.100363216335258"	"4.6310238559511e-13"	9.06357526093287e-12
"CX2"	"RAD51AP1"	"0.0991525509394712"	"8.80572076726126e-13"	1.60851166015306e-11
"CX2"	"NSD2"	"0.0987736215875428"	"1.07505917469237e-12"	1.73274243450417e-11
"CX2"	"RAD51"	"0.0988735125249163"	"1.02004030074878e-12"	1.73274243450417e-11
"CX2"	"CLSPN"	"0.098421851923011"	"1.29299196062101e-12"	1.96822109561198e-11
"CX2"	"BRIP1"	"0.0977801599650702"	"1.80760836302918e-12"	2.60676153405261e-11
"CX2"	"FANCI"	"0.0966858753349217"	"3.18482056201225e-12"	4.36320416995678e-11
"CX2"	"GEN1"	"0.095377564963963"	"6.2174229378242e-12"	8.11225659506586e-11
"CX2"	"XPA"	"-0.0926681766313856"	"2.41509513945024e-11"	3.00789121913348e-10
"CX2"	"RAD51C"	"0.0898768860068604"	"9.39123210156469e-11"	1.11878156340379e-09
"CX2"	"MSH2"	"0.0892960949839864"	"1.23946002357401e-10"	1.41505019358033e-09
"CX2"	"PPIE"	"0.0890466793997174"	"1.39556861860552e-10"	1.52954320599165e-09
"CX2"	"UBE2V2"	"0.0887531325309516"	"1.60400615748252e-10"	1.6903757198085e-09
"CX2"	"POLR2K"	"0.0870245885702838"	"3.60794388826066e-10"	3.66139490882748e-09
"CX2"	"KDM4A"	"0.0861304078812572"	"5.45433349027536e-10"	5.33745491548375e-09
"CX2"	"UBE2T"	"0.0850411272776525"	"8.973431297841e-10"	8.47834543313253e-09
"CX2"	"GTF2H4"	"0.0841176202489643"	"1.3620247851889e-09"	1.2439826371392e-08
"CX2"	"MDC1"	"0.0838212937229214"	"1.55571537160365e-09"	1.37505165103032e-08
"CX2"	"NEIL1"	"-0.0817165764821399"	"3.94837310755577e-09"	3.38079447334463e-08
"CX2"	"ZNF830"	"-0.0801172047862704"	"7.89158441608633e-09"	6.55240645456865e-08
"CX2"	"RAD17"	"-0.0798904310420575"	"8.69649723208789e-09"	7.00835365174142e-08
"CX2"	"MPG"	"-0.0792977537592735"	"1.11954391079036e-08"	8.76442947304453e-08
"CX2"	"DCLRE1B"	"0.0787001579844045"	"1.67012691660595e-08"	1.27115215319453e-07
"CX2"	"WRN"	"-0.0781150051268144"	"1.84336479576009e-08"	1.36508636226558e-07
"CX2"	"TIMELESS"	"0.077520043621055"	"2.36251763949627e-08"	1.70349956111047e-07
"CX2"	"POLI"	"-0.0771415694972726"	"2.76386601660282e-08"	1.94179304756198e-07
"CX2"	"CDK7"	"-0.0761496560299358"	"4.15521000344433e-08"	2.84631885235937e-07
"CX2"	"NEIL3"	"0.074236693394576"	"8.99334035779699e-08"	6.01018355618628e-07
"CX2"	"ABRAXAS1"	"-0.0741577600875771"	"9.28074791407108e-08"	6.05458316298923e-07
"CX2"	"EXO1"	"0.0738485353368599"	"1.0494727913563e-07"	6.68733825189828e-07
"CX2"	"FAAP24"	"0.0734377476073982"	"1.23471462008206e-07"	7.68890467960192e-07
"CX2"	"INO80"	"-0.0732946493247796"	"1.30638367116896e-07"	7.95442502000656e-07
"CX2"	"PRKDC"	"0.0726421188923629"	"1.68746618751881e-07"	1.00514290300033e-06
"CX2"	"TP53"	"-0.0721063481095325"	"2.07875656274345e-07"	1.21187084721639e-06
"CX2"	"COPS2"	"-0.0717868194531568"	"2.35242358679778e-07"	1.34284179746373e-06
"CX2"	"DNA2"	"0.0709706853886107"	"3.21870167851884e-07"	1.79984542839625e-06
"CX2"	"RAD18"	"0.0706562504641864"	"3.62868101549993e-07"	1.98851719649396e-06
"CX2"	"FTO"	"-0.0704820434936932"	"3.87705669901461e-07"	2.0829677167255e-06
"CX2"	"MSH6"	"0.0683662684490869"	"8.55799022042611e-07"	4.50940253922453e-06
"CX2"	"RAD9A"	"0.0683084510873148"	"8.7423891615596e-07"	4.51965024578742e-06
"CX2"	"MUTYH"	"0.0671709179524196"	"1.32521949856866e-06"	6.66269514177887e-06
"CX2"	"UBE2B"	"-0.0671285503305969"	"1.34574090451065e-06"	6.66269514177887e-06
"CX2"	"XRCC2"	"0.0670959911553283"	"1.36171871510809e-06"	6.66269514177887e-06
"CX2"	"KDM4B"	"-0.0644706556963948"	"3.46532463188396e-06"	1.66578763006352e-05
"CX2"	"ACTL6A"	"0.0642873234913896"	"3.69408527183638e-06"	1.74513683531581e-05
"CX2"	"BRCA2"	"0.0634632218007095"	"4.91355660101278e-06"	2.28188899775848e-05
"CX2"	"XPC"	"-0.0619246911783788"	"8.29298476343641e-06"	3.78712970863596e-05
"CX2"	"USP1"	"0.0618729219626363"	"8.43858678412664e-06"	3.79044717844377e-05
"CX2"	"FAAP20"	"0.0608061102960341"	"1.20429650512717e-05"	5.32221358717491e-05
"CX2"	"FANCA"	"0.0603609364220363"	"1.39462123039748e-05"	6.06549550998269e-05
"CX2"	"RTEL1"	"0.0597426008606106"	"1.7070627327285e-05"	7.30836232449389e-05
"CX2"	"UBA7"	"-0.059528887681316"	"1.82978299875181e-05"	7.71323910243071e-05
"CX2"	"POLR2B"	"0.0589380922154535"	"2.21426963799631e-05"	9.13006042753705e-05
"CX2"	"TINF2"	"-0.0589125254545187"	"2.23253302425176e-05"	9.13006042753705e-05
"CX2"	"YY1"	"0.0584561413671286"	"2.58368258936138e-05"	0.000104107210218385
"CX2"	"CENPS"	"0.0596367670744588"	"2.71222565678516e-05"	0.000107702873907121
"CX2"	"ATM"	"-0.0571041137359204"	"3.95847700999598e-05"	0.000154946100105557
"CX2"	"AQR"	"-0.0569544908571923"	"4.14753028669565e-05"	0.000157836569243696
"CX2"	"RAD50"	"-0.0569554248799528"	"4.14632398819858e-05"	0.000157836569243696
"CX2"	"SIRT6"	"-0.0563052738487288"	"5.07157216724013e-05"	0.000190357640249835
"CX2"	"FANCB"	"0.0572515187949089"	"6.20286824266439e-05"	0.000229673770066222
"CX2"	"EYA4"	"0.0554850080455975"	"6.51937491822073e-05"	0.000238174497012331
"CX2"	"TERF2IP"	"-0.0551191840954534"	"7.28412090421014e-05"	0.000262611727335997
"CX2"	"BRCA1"	"0.0546713644400281"	"8.33588728446176e-05"	0.000296627677395133
"CX2"	"CHEK2"	"0.0541280526322633"	"9.80473027524527e-05"	0.000344422576335539
"CX2"	"PPP5C"	"0.0540598078704662"	"0.00010005620385491"	0.000347030377927156
"CX2"	"TERF2"	"-0.0538013165030578"	"0.000108023070772353"	0.000365411375205244
"CX2"	"XRCC6"	"-0.0538341103969149"	"0.000106980181924344"	0.000365411375205244
"CX2"	"DDB1"	"0.0536717314118258"	"0.000112238602840121"	0.000375041185099916
"CX2"	"RAD1"	"0.0533805784634804"	"0.000122282727602726"	0.000403680329676469
"CX2"	"RNF4"	"0.053290013398397"	"0.0001255759010183"	0.000409616629512074
"CX2"	"PCLAF"	"0.0525854900021286"	"0.000154200047961445"	0.000497068389899246
"CX2"	"CDK2"	"0.0525330761425643"	"0.000156558389776585"	0.000498802311613771
"CX2"	"ACD"	"-0.0520787407329512"	"0.000178471306187694"	0.000562082044775036
"CX2"	"FANCE"	"0.051785770168708"	"0.000194097098402111"	0.000604347783661118
"CX2"	"ELL"	"0.0516253170012069"	"0.000210238104287406"	0.000647249894098306
"CX2"	"LIG1"	"0.0510365099860176"	"0.000240105317546751"	0.000730987300086775
"CX2"	"ISG15"	"0.0509361080999926"	"0.000246995864234635"	0.00074370183297022
"CX2"	"RFC4"	"0.0503400286962563"	"0.000291875222824305"	0.000869280554933256
"CX2"	"XRCC3"	"0.0501378233826413"	"0.000308759796939126"	0.000909679401734629
"CX2"	"USP10"	"-0.0500973255843877"	"0.00031224952128439"	0.000910174136509818
