CX1	CX2	CX3	CX4	CX5	CX6	CX7	CX8	CX9	CX10	CX11	CX12	CX13	CX14	CX15	CX16	CX17
TCGA-02-0001	4.778	13.5	13.23	4.558	0	3.596	7.556	0	0	0	0	0	0	0	1.952	0	0
TCGA-02-0007	5.161	11.6	4.672	0	0.4842	0	0	0	0	0	0.1754	0.5549	0.8359	0	0	1.129	0
TCGA-02-0009	5.12	49.28	0	0	3.042	0	5.823	0	6.901	3.17	3.392	0	0.546	0	0	0	0
TCGA-02-0010	4.336	21.95	15.34	0	3.838	1.167	17.94	0	0	0	0	0.6001	0	0	14.58	0	0
TCGA-02-0011	4.69	0	15.52	26.03	0	2.761	0	0.6432	0	0	0	0.11	0	4.857	0	0	0
TCGA-02-0014	3.626	28.89	30.17	0	6.391	0	0	4.957	0	4.401	0.9562	0	4.789	0	0	3.206	0
TCGA-02-0015	4.828	34.24	9.387	0	0	0	1.207	0	0	0	0	0.1986	0	15.62	0	0	0
TCGA-02-0016	4.835	0	10.38	17.08	0.9126	1.565	3.641	0	3.597	2.967	0	0	4.05	10.28	0	0	13.93
TCGA-02-0021	5.18	33.49	0	0	5.728	0	13.65	0	1.902	3	3.597	0	0.3454	0	0	0	0
TCGA-02-0023	5.373	13.05	0	1.313	1.751	0.4186	1.829	0	0	0	0	0.06967	5.229	0	0	0.3984	0
TCGA-02-0024	4.283	7.34	21.75	27.03	0.6849	4.566	0	0	0	0	0	0	7.12	0	0	0	4.184
TCGA-02-0026	4.537	12.28	14.51	0	0	0	5.331	0	0	0	0	0	0	1.443	9.575	0	0
TCGA-02-0028	5.228	10.83	3.675	0	0.3641	0.2001	0	0	1.194	0	0.5696	0	0	0	0	0	0
TCGA-02-0033	5.551	5.102	0	0	0	0	0.6229	0	3.421	0.8644	1.687	0	0	13.62	0	0	0
TCGA-02-0034	5.026	24.09	7.213	0	0	1.39	2.54	0	0	0	0	0	0	5.713	0	0	0
TCGA-02-0037	5.42	12	0	0	1.89	0.4816	1.279	8.927	0	2.651	1.453	0	0	0	0	0	0
TCGA-02-0038	4.673	19.34	10.74	0	0	1.43	6.185	0	0	0	0	0.2394	1.752	0	12.47	0	0
TCGA-02-0039	5.386	8.351	0	0	0	3.13	6.58	0	0	0	0.5996	0.07972	2.833	2.684	5.5	0	0
TCGA-02-0043	4.72	0	13.2	27.44	2.057	4.248	0	0	3.302	0	0.8697	0	2.991	0.6873	0	1.786	2.646
TCGA-02-0046	5.403	11.03	0	0	2.433	0	1.407	0	0	1.026	1.673	0	9.517	0	0	0	0
TCGA-02-0048	5.286	22.01	0	0	2.917	1.066	5.247	4.438	9.434	3.426	2.206	0	0	0	0	0	0
TCGA-02-0051	5.361	14.74	0	0	0	6.671	10.47	0	0	0	0	0	0	0	6.784	0	0
TCGA-02-0052	5.468	3.794	0	0	0.7327	1.29	6.228	0	0	0.5921	0.8906	0	2.617	4.807	0	0	0
TCGA-02-0054	5.438	8.443	0	1.464	0	4.322	6.85	0	0	0	0	0	0	0	3.955	0	0
TCGA-02-0055	5.283	3.652	3.416	11.23	0.8473	5.282	7.886	0	0	0	0	0.09898	0	4.785	3.389	0	0
TCGA-02-0058	4.782	7.178	12.78	24.78	0	5.976	4.66	0	0	0	0	0.2396	0	0	2.493	0	0
TCGA-02-0059	5.502	8.625	0	0	0	0.5397	1.936	0	1.205	0	0.4144	0.2154	0	6.985	0	0	0
TCGA-02-0060	5.229	0.868	0	23.82	3.102	6.034	0	3.682	2.721	0	0	0.1658	4.313	0	10.32	0	0
TCGA-02-0064	5.197	35.34	1.514	0	0	0.3762	1.044	0	3.28	0	1.991	0.3531	2.658	0	0	0	0
TCGA-02-0069	3.976	32.41	25.69	11.64	3.971	3.63	0	4.211	2.834	0	0	0	0	0	0	0	0
TCGA-02-0071	5.282	5.084	0	21.42	2.822	3.776	0	0	0	0	1.184	0.5274	15.16	5.663	0	0	13.99
TCGA-02-0074	5.333	16.42	0	0	4.483	5.829	21.83	0	3.463	0	0.7033	0.3889	2.537	0	0	0	0
TCGA-02-0075	5.49	8.982	0	17.1	0	4.809	0	0	0	0	0.7805	0	0	4.588	0	0	0
TCGA-02-0079	5.189	30.57	0	0	1.546	2.667	0	2.046	0	1.766	0	0	10.03	0	2.823	2.098	0
TCGA-02-0080	4.502	21.65	10.51	8.71	2.479	0	7.958	2.051	0	1.637	0	0	0	3.415	18.41	0.6699	0
TCGA-02-0083	4.693	0	10.26	40.67	6.708	4.871	0	8.724	0	10.72	0	0	6.81	1.042	0	0	8.443
TCGA-02-0084	5.463	7.248	0	14.31	0	6.123	0	0	0	0	0	0	0	1.797	0	0	5.826
TCGA-02-0086	5.438	21.23	0	2.677	0.3861	7.194	7.919	0	1.961	0	0	0	0	0	0	0	0
TCGA-02-0089	5.244	20	0	19.59	3.9	0	4.099	0	1.246	0	2.828	1.164	1.3	0	0	0	3.549
TCGA-02-0099	4.889	24.6	7.781	0	3.186	0.9921	2.712	0	3.586	0	7.601	0	21.13	0	0	0	0
