sample_barcode	amplicon_index	amplicon_classification	amplicon_intervals
SA530559	9	Linear	3:151369982-152722949
SA515463	1	Linear	"6:250041-58699999,GL000220.1:842-161802"
SA515463	2	Linear	8:38536010-39088280
SA515463	3	Linear	6:63300000-66311508
SA515463	4	Linear	8:26610538-26744992
SA501507	1	BFB	8:35706154-146364021
SA501507	2	Circular	"1:86927404-109661934,1:115318418-115329079,1:118854014-249250620,9:94383980-94404641,21:30489635-30510296"
SA520314	10	Linear	1:225117771-225174707
SA520314	11	Linear	1:111922500-112067981
SA520314	2	Linear	1:108524374-108913788
SA520314	3	Linear	1:81228193-81552691
SA520314	4	Linear	1:231791288-232267249
SA520314	5	Linear	1:110178658-110441539
SA520314	6	Linear	1:74155617-76456734
SA520314	7	Linear	1:77817219-78391940
SA520314	8	Heavily-rearranged	"1:73466809-73856865,1:227795606-230091632"
SA520314	9	BFB	"1:85980205-86005633,1:143502500-223844442,17:30266679-30277377"
SA520243	1	Linear	12:110107-1113641
SA533651	1	Linear	8:125483058-129615661
SA501544	3	Linear	4:37161179-39349511
SA501544	7	Linear	4:34507926-34555240
SA543254	12	Circular	6:19305603-22564629
SA543254	3	Circular	6:6719960-7703869
SA543254	4	BFB	"9:80126887-85284489,9:85536405-87445214,20:54949074-57175600,20:57240185-57677060"
SA543254	5	BFB	"6:17430751-18810303,20:44455943-46859099,20:47031414-53374780"
SA517376	1	Linear	17:78772501-81195209
SA528884	13	Linear	4:31303-2514300
SA528884	35	Linear	10:42397373-51569122
SA528884	43	Heavily-rearranged	"1:28597904-31216341,1:120388268-121477499,1:183714255-202070960,1:223254101-223264530,3:102919-60110317,3:60132360-60331774,3:126305080-169141028,3:170443541-192862753,5:0-52613917,5:56477922-60859736,7:40386-111395141,7:111566617-134678629,8:10001-9800697,8:9804323-12685189,8:48100000-123635690,8:124102616-146364021,9:66502500-130033710,9:130054283-140273200,10:96469-31014338,10:51573534-89661937,11:20721-785544,11:809473-63846352,11:63918863-116269674,11:116276703-134452200,13:25177964-41812990,14:1-106368400,16:85149-78490869,17:25800000-39907917,17:41337468-51938860,18:135788-27571570,20:14049132-25599999,20:29400000-35281198,20:55939992-62432500,GL000220.1:0-161802"
SA528884	52	Linear	19:28600000-40350398
SA528884	6	Linear	"1:128900000-176004026,3:60647763-126304129"
SA541966	2	Linear	14:19100000-20437980
SA541966	3	Linear	12:110107-33299999
SA528949	1	Linear	19:28600000-37347745
SA528949	2	Heavily-rearranged	"4:27791-11002131,11:20721-39273897,13:94779885-115169877,17:30266679-30277187,19:37355646-58239964,20:15411999-62435800"
SA528949	21	Linear	1:225380308-245840460
SA528949	22	Linear	20:17500-14514532
SA528949	33	Heavily-rearranged	13:1-57091509
SA528949	41	Linear	16:46266002-61708187
SA501649	1	Linear	13:86127918-115169877
SA543785	1	Linear	11:28225674-31245128
SA543785	16	Linear	1:153300670-154939626
SA543785	19	Linear	14:19792500-20476244
SA543785	35	Linear	1:149709802-153050129
SA543785	40	Linear	7:133811233-158821400
SA543785	42	Linear	1:153142841-153299198
SA543785	43	Heavily-rearranged	"10:90127-82315912,12:110107-38199999,17:30266679-30276947"
SA543785	46	Linear	9:50700000-66718937
SA543785	47	Linear	"1:154940757-160947421,1:160949778-180645678"
SA543785	5	BFB	"2:33031362-33251628,8:10001-146364021,GL000220.1:0-161802"
SA543785	6	Linear	1:153050931-153087187
SA543785	8	Linear	2:69756131-235320027
SA413598	1	Heavily-rearranged	"8:10001-146364021,GL000220.1:0-161802"
SA515302	2	Linear	"9:29676495-29938264,9:30382940-39108358"
SA543762	1	Linear	16:59873480-90354752
SA543762	11	Linear	5:296905-851581
SA543762	14	Linear	5:1611675-1957503
SA543762	15	Linear	5:2024516-2428191
SA543762	16	Linear	21:10900000-23745606
SA543762	27	Heavily-rearranged	"8:48100000-131897691,13:90038123-90048384,GL000220.1:0-161802"
SA543762	34	Linear	1:128900000-143287938
SA543762	37	Linear	14:19100000-19489201
SA543762	4	Linear	17:18833377-50117002
SA543762	42	Linear	22:1-47426678
SA543762	43	Linear	14:25072807-27680190
SA543762	45	Linear	14:28826270-35718193
SA543762	46	Linear	5:2429710-2943523
SA543762	5	Linear	20:45269054-62432500
SA543762	8	Heavily-rearranged	"14:22430273-22553416,14:35972692-38844484"
SA542525	6	BFB	1:143119939-249250620
SA515427	1	Linear	1:162953042-163195290
SA515427	13	Linear	9:36443279-36619252
SA515427	14	Linear	9:38175288-39169306
SA515427	15	Linear	10:113948431-114105243
SA515427	19	Linear	"8:90652737-146364021,10:6867931-6878442"
SA515427	20	Linear	1:160564395-161930357
SA515427	21	Linear	1:145097227-145724489
SA515427	7	Linear	1:150393102-150576298
SA515427	9	Linear	7:121707444-121886083
SA557489	12	Linear	11:90668922-90969982
SA557489	21	Linear	11:99234262-99270620
SA557489	23	Circular	5:105613985-110424991
SA557489	27	Linear	5:0-209996
SA557489	30	Linear	11:74255369-82393719
SA557489	39	Linear	7:132165551-132314705
SA557489	41	Linear	11:95022259-95190737
SA557489	42	Linear	7:132314798-138222734
SA557489	43	Linear	"7:71688168-109442495,7:121190812-132163231,7:138944972-140157475"
SA557489	44	Heavily-rearranged	"1:143343002-249250620,8:10001-146364021,GL000220.1:0-161802"
SA557489	48	Linear	7:148562007-150218311
SA557489	5	Linear	11:98573183-99055030
SA557489	53	Linear	1:1-121499999
SA557489	59	Linear	12:57251607-59298022
SA557489	60	Linear	5:747501-1732156
SA557489	66	Linear	11:97116931-98572592
SA557489	68	Linear	11:48991297-49546103
SA557489	71	Heavily-rearranged	11:83535222-89181369
SA557489	72	Linear	"11:20721-23204069,11:68689215-73717290"
SA557489	73	Linear	11:55700000-56234297
SA557483	1	Linear	8:71016202-81109424
SA557483	2	Linear	"8:1-43099999,8:48100000-70734938,8:81389957-146364021"
SA411825	13	Linear	1:118306679-121485202
SA411825	14	Linear	1:172344237-180634570
SA411825	16	Linear	1:234701940-234818395
SA411825	2	Linear	1:227249614-229650157
SA411825	3	Linear	1:147013987-151236487
SA411825	6	Circular	1:128900000-146953204
SA501595	1	Linear	8:48100000-146364021
SA501595	6	BFB	1:150770021-243032374
SA558699	1	Linear	17:27549631-28350753
SA558699	2	Circular	18:33239502-33394877
SA558699	4	Linear	17:33143740-33211234
SA558699	5	Linear	3:40513999-40840790
SA558699	8	Linear	17:34439013-34850390
SA410303	1	BFB	1:118254279-249250620
SA501397	1	Linear	1:120029476-120514521
SA541850	2	Linear	X:46971467-49992710
SA541850	8	Linear	5:11610977-17717484
SA528863	5	Circular	17:32935640-33155452
SA528813	14	Linear	6:205610-2008733
SA528813	15	Linear	19:58563763-58885283
SA528813	2	Circular	19:28600000-30930950
SA528813	27	Linear	19:4125375-4379866
SA528813	31	Linear	19:46659561-46742535
SA528813	36	Linear	19:39345647-40326290
SA528813	39	Linear	19:9606130-9739118
SA533777	1	Linear	6:41379587-57340008
SA533777	3	Linear	6:63300000-81981645
SA533777	4	Linear	6:58098601-58699999
SA530599	7	Linear	19:28600000-59128982
SA518703	3	Circular	"1:234658191-234858696,19:29551887-40740185"
SA321012	2	Linear	"Y:13400000-59373565,GL000199.1:0-169874"
SA321012	3	Linear	Y:1-11599999
SA543302	1	Heavily-rearranged	"5:0-46099999,8:48100000-100757863,GL000220.1:0-161802"
SA543302	15	Linear	15:20700000-48624043
SA543302	16	Linear	16:33389787-34599999
SA543302	20	Linear	18:19000000-26479914
SA543302	24	Linear	"11:68301319-134452200,14:19100000-106368400"
SA543302	25	Linear	22:18792501-22562500
SA543302	3	Linear	4:27500-48199999
SA543302	9	Linear	9:50700000-140273200
SA529777	4	Heavily-rearranged	17:41407500-81195209
SA542126	2	Circular	9:47500-44396213
SA501399	1	Linear	1:144840333-145658468
SA501399	3	Circular	1:149664002-249250620
SA541920	2	Linear	19:28600000-30934434
SA505478	2	Circular	12:26853988-27110402
SA544238	1	Circular	"4:31028-190810910,10:6867791-6878461,18:27500-78077247,19:260137-59128982,20:40479-63025519,21:45838787-45849457"
SA528866	14	Linear	9:32703527-34456797
SA528866	17	Heavily-rearranged	"7:107390630-107411104,12:68886862-71928921"
SA528866	23	Linear	1:21998155-22028646
