chr	start	name	ensembl	Status
1	948803	ISG15	ENSG00000187608	Unknown
1	1588714	CDK11B	ENSG00000248333	Unknown
1	1654270	CDK11A	ENSG00000008128	Unknown
1	2126180	C1orf86	ENSG00000162585	Unknown
1	2985775	PRDM16	ENSG00000142611	Unknown
1	6257817	RPL22	ENSG00000116251	possible tsg
1	10490159	APITD1	ENSG00000175279	Unknown
1	11322564	MTOR	ENSG00000198793	possible oncogene
1	11751707	MAD2L2	ENSG00000116670	Unknown
1	16482582	EPHA2	ENSG00000142627	tsg
1	17445930	PADI2	ENSG00000117115	Unknown
1	17559778	PADI1	ENSG00000142623	Unknown
1	17575593	PADI3	ENSG00000142619	Unknown
1	17634690	PADI4	ENSG00000159339	Unknown
1	17698691	PADI6	ENSG00000256049	Unknown
1	17766220	RCC2	ENSG00000179051	Unknown
1	23345941	KDM1A	ENSG00000004487	Unknown
1	23857712	E2F2	ENSG00000007968	Unknown
1	27022895	ARID1A	ENSG00000117713	tsg
1	27189633	SFN	ENSG00000175793	Unknown
1	27248217	NUDC	ENSG00000090273	Unknown
1	28241254	RPA2	ENSG00000117748	Unknown
1	28415075	EYA3	ENSG00000158161	Unknown
1	28969578	TAF12	ENSG00000120656	Unknown
1	32757993	HDAC1	ENSG00000116478	Unknown
1	33116957	RBBP4	ENSG00000162521	Unknown
1	36107445	PSMB2	ENSG00000126067	Unknown
1	36235529	CLSPN	ENSG00000092853	Unknown
1	36554476	ADPRHL2	ENSG00000116863	Unknown
1	36690033	THRAP3	ENSG00000054118	tsg
1	37940153	ZC3H12A	ENSG00000163874	
1	37980375	MEAF6	ENSG00000163875	Unknown
1	38158153	CDCA8	ENSG00000134690	Unknown
1	39546988	MACF1	ENSG00000127603	possible oncogene
1	40204554	PPIE	ENSG00000084072	Unknown
1	43824684	CDC20	ENSG00000117399	Unknown
1	44115829	KDM4A	ENSG00000066135	Unknown
1	44679127	DMAP1	ENSG00000178028	Unknown
1	45205492	KIF2C	ENSG00000142945	Unknown
1	45806060	MUTYH	ENSG00000132781	Unknown
1	51426417	CDKN2C	ENSG00000123080	possible tsg
1	52870059	ORC1	ENSG00000085840	Unknown
1	54303969	NDC1	ENSG00000058804	Unknown
1	62901975	USP1	ENSG00000162607	Unknown
